symbol,industry
002034.SZ,6116000000000000 
600859.SH,6120000000000000 
002036.SZ,6108000000000000 
600521.SH,6115000000000000 
000625.SZ,1000012588000000 
000860.SZ,6112000000000000 
601607.SH,6115000000000000 
002047.SZ,6106020000000000 
603939.SH,6115000000000000 
002049.SZ,6108000000000000 
002050.SZ,6111000000000000 
002051.SZ,6106020000000000 
002056.SZ,6105000000000000 
002061.SZ,6106020000000000 
002063.SZ,1000012601000000 
002064.SZ,6103000000000000 
002065.SZ,1000012601000000 
002074.SZ,6107010000000000 
002075.SZ,6104000000000000 
002078.SZ,6114000000000000 
002079.SZ,6108000000000000 
002080.SZ,6103000000000000 
002081.SZ,6106020000000000 
002385.SZ,6101000000000000 
600739.SH,6115000000000000 
002091.SZ,6120000000000000 
002092.SZ,6103000000000000 
002093.SZ,1000012611000000 
002097.SZ,6107000000000000 
002821.SZ,6115000000000000 
300251.SZ,6122010000000000 
002106.SZ,6108000000000000 
002110.SZ,6104000000000000 
002117.SZ,6114000000000000 
000963.SZ,6115000000000000 
002120.SZ,6117000000000000 
002123.SZ,6122010000000000 
002705.SZ,6111000000000000 
600655.SH,6120000000000000 
601799.SH,1000012588000000 
002128.SZ,6102000000000000 
002129.SZ,6107010000000000 
002130.SZ,6105000000000000 
603866.SH,6112000000000000 
002135.SZ,6106020000000000 
002138.SZ,6108000000000000 
002142.SZ,1000012612000000 
002145.SZ,6103000000000000 
002146.SZ,6118000000000000 
002151.SZ,1000012579000000 
002152.SZ,1000012601000000 
002153.SZ,1000012601000000 
002155.SZ,6105000000000000 
002156.SZ,6108000000000000 
002739.SZ,6122010000000000 
002161.SZ,6108000000000000 
002168.SZ,6122010000000000 
002169.SZ,6107010000000000 
002171.SZ,6105000000000000 
002174.SZ,6122010000000000 
002179.SZ,1000012579000000 
002180.SZ,1000012601000000 
002182.SZ,6105000000000000 
002183.SZ,6117000000000000 
002185.SZ,6108000000000000 
002191.SZ,6114000000000000 
002194.SZ,1000012611000000 
002195.SZ,1000012601000000 
002201.SZ,6103000000000000 
002202.SZ,6107010000000000 
002203.SZ,6105000000000000 
002204.SZ,6107000000000000 
002212.SZ,1000012601000000 
002214.SZ,6108000000000000 
002508.SZ,6111000000000000 
002217.SZ,6108000000000000 
600079.SH,6115000000000000 
002226.SZ,6103000000000000 
002230.SZ,1000012601000000 
002233.SZ,6106010000000000 
002236.SZ,6108000000000000 
002237.SZ,6105000000000000 
002241.SZ,6108000000000000 
601689.SH,1000012588000000 
002243.SZ,6114000000000000 
002244.SZ,6118000000000000 
002249.SZ,6107010000000000 
002250.SZ,6103000000000000 
002299.SZ,6101000000000000 
000513.SZ,6115000000000000 
002254.SZ,6103000000000000 
002258.SZ,6103000000000000 
002266.SZ,6116000000000000 
002267.SZ,6116000000000000 
002268.SZ,1000012601000000 
002271.SZ,6106010000000000 
002273.SZ,6108000000000000 
002276.SZ,6107010000000000 
002281.SZ,1000012611000000 
002285.SZ,6118000000000000 
002773.SZ,6115000000000000 
603816.SH,6114000000000000 
600132.SH,6112000000000000 
002301.SZ,6114000000000000 
002302.SZ,6106010000000000 
002303.SZ,6114000000000000 
002310.SZ,6106020000000000 
600637.SH,6122010000000000 
002312.SZ,1000012601000000 
002313.SZ,1000012611000000 
002318.SZ,6104000000000000 
002320.SZ,6117000000000000 
002324.SZ,6103000000000000 
002326.SZ,6103000000000000 
300595.SZ,6115000000000000 
002340.SZ,6105000000000000 
600998.SH,6115000000000000 
