Release_date,date,GDP_QOQ
2009-11-30,,
2009-12-31,,
2010-01-31,2009-12-31,5.6
2010-02-28,,
2010-03-31,,
2010-04-30,2010-03-31,2.7
2010-05-31,,
2010-06-30,,
2010-07-31,2010-06-30,1.7
2010-08-31,,
2010-09-30,,
2010-10-31,2010-09-30,2.6
2010-11-30,,
2010-12-31,,
2011-01-31,2010-12-31,3.1
2011-02-28,,
2011-03-31,,
2011-04-30,2011-03-31,1.9
2011-05-31,,
2011-06-30,,
2011-07-31,2011-06-30,1.3
2011-08-31,,
2011-09-30,,
2011-10-31,2011-09-30,1.8
2011-11-30,,
2011-12-31,,
2012-01-31,2011-12-31,3.0
2012-02-29,,
2012-03-31,,
2012-04-30,2012-03-31,1.9
2012-05-31,,
2012-06-30,,
2012-07-31,2012-06-30,1.3
2012-08-31,,
2012-09-30,,
2012-10-31,2012-09-30,3.1
2012-11-30,,
2012-12-31,,
2013-01-31,2012-12-31,0.4
2013-02-28,,
2013-03-31,,
2013-04-30,2013-03-31,1.8
2013-05-31,,
2013-06-30,,
2013-07-31,2013-06-30,2.5
2013-08-31,,
2013-09-30,,
2013-10-31,2013-09-30,4.1
2013-11-30,,
2013-12-31,,
2014-01-31,2013-12-31,2.6
2014-02-28,,
2014-03-31,,
2014-04-30,2014-03-31,-2.9
2014-05-31,,
2014-06-30,,
2014-07-31,2014-06-30,4.6
2014-08-31,,
2014-09-30,,
2014-10-31,2014-09-30,5.0
2014-11-30,,
2014-12-31,,
2015-01-31,2014-12-31,2.2
2015-02-28,,
2015-03-31,,
2015-04-30,2015-03-31,-0.2
2015-05-31,,
2015-06-30,,
2015-07-31,2015-06-30,3.9
2015-08-31,,
2015-09-30,,
2015-10-31,2015-09-30,2.0
2015-11-30,,
2015-12-31,,
2016-01-31,2015-12-31,1.4
2016-02-29,,
2016-03-31,,
2016-04-30,2016-03-31,1.1
2016-05-31,,
2016-06-30,,
2016-07-31,2016-06-30,1.4
2016-08-31,,
2016-09-30,,
2016-10-31,2016-09-30,3.5
2016-11-30,,
2016-12-31,,
2017-01-31,2016-12-31,2.1
2017-02-28,,
2017-03-31,,
2017-04-30,2017-03-31,1.4
2017-05-31,,
2017-06-30,,
2017-07-31,2017-06-30,3.1
2017-08-31,,
2017-09-30,,
2017-10-31,2017-09-30,3.2
2017-11-30,,
2017-12-31,,
2018-01-31,2017-12-31,2.9
2018-02-28,,
2018-03-31,,
2018-04-30,2018-03-31,2.0
2018-05-31,,
2018-06-30,,
2018-07-31,2018-06-30,4.2
2018-08-31,,
2018-09-30,,
2018-10-31,2018-09-30,3.4
2018-11-30,,
2018-12-31,,
2019-01-31,2018-12-31,2.2
2019-02-28,,
2019-03-31,,
2019-04-30,2019-03-31,3.1
