,SECUCODE
567,300017.SZ
568,300020.SZ
569,300024.SZ
570,300026.SZ
571,300031.SZ
572,300033.SZ
573,300034.SZ
574,300036.SZ
575,300037.SZ
576,300038.SZ
577,300043.SZ
578,300045.SZ
579,300053.SZ
580,300054.SZ
581,300058.SZ
582,300059.SZ
583,300068.SZ
584,300070.SZ
585,300072.SZ
586,300073.SZ
587,300078.SZ
588,300079.SZ
589,300080.SZ
590,300083.SZ
591,300085.SZ
592,300088.SZ
593,300098.SZ
594,300113.SZ
595,300114.SZ
596,300115.SZ
597,300118.SZ
598,300119.SZ
599,300122.SZ
600,300123.SZ
601,300124.SZ
602,300130.SZ
603,300131.SZ
604,300132.SZ
605,300133.SZ
606,300136.SZ
607,300142.SZ
608,300144.SZ
609,300145.SZ
610,300146.SZ
611,300149.SZ
612,300159.SZ
613,300166.SZ
614,300168.SZ
615,300170.SZ
616,300177.SZ
617,300180.SZ
618,300182.SZ
619,300183.SZ
620,300184.SZ
621,300188.SZ
622,300191.SZ
623,300194.SZ
624,300197.SZ
625,300202.SZ
626,300203.SZ
627,300207.SZ
628,300209.SZ
629,300212.SZ
630,300222.SZ
631,300223.SZ
632,300224.SZ
633,300226.SZ
634,300229.SZ
635,300232.SZ
636,300233.SZ
637,300236.SZ
638,300244.SZ
639,300251.SZ
640,300253.SZ
641,300256.SZ
642,300257.SZ
643,300271.SZ
644,300274.SZ
645,300276.SZ
646,300284.SZ
647,300285.SZ
648,300287.SZ
649,300292.SZ
650,300294.SZ
651,300296.SZ
652,300297.SZ
653,300298.SZ
654,300300.SZ
655,300303.SZ
656,300308.SZ
657,300315.SZ
658,300316.SZ
659,300319.SZ
660,300322.SZ
661,300324.SZ
662,300326.SZ
663,300327.SZ
664,300328.SZ
665,300339.SZ
666,300347.SZ
667,300348.SZ
668,300349.SZ
669,300352.SZ
670,300357.SZ
671,300365.SZ
672,300369.SZ
673,300373.SZ
674,300376.SZ
675,300377.SZ
676,300379.SZ
677,300383.SZ
678,300386.SZ
679,300388.SZ
680,300394.SZ
681,300395.SZ
682,300397.SZ
683,300398.SZ
684,300401.SZ
685,300406.SZ
686,300408.SZ
687,300413.SZ
688,300418.SZ
689,300423.SZ
690,300428.SZ
691,300429.SZ
692,300433.SZ
693,300438.SZ
694,300448.SZ
695,300450.SZ
696,300451.SZ
697,300454.SZ
698,300455.SZ
699,300456.SZ
700,300457.SZ
701,300458.SZ
702,300459.SZ
703,300463.SZ
704,300468.SZ
705,300474.SZ
706,300476.SZ
707,300477.SZ
708,300482.SZ
709,300487.SZ
710,300495.SZ
711,300496.SZ
712,300498.SZ
713,300502.SZ
714,300504.SZ
715,300523.SZ
716,300525.SZ
717,300526.SZ
718,300527.SZ
719,300529.SZ
720,300552.SZ
721,300558.SZ
722,300559.SZ
723,300567.SZ
724,300568.SZ
725,300570.SZ
726,300571.SZ
727,300572.SZ
728,300573.SZ
729,300577.SZ
730,300579.SZ
731,300590.SZ
732,300595.SZ
733,300596.SZ
734,300601.SZ
735,300602.SZ
736,300603.SZ
737,300604.SZ
738,300607.SZ
739,300613.SZ
740,300616.SZ
741,300618.SZ
742,300623.SZ
743,300624.SZ
744,300628.SZ
745,300630.SZ
746,300633.SZ
747,300634.SZ
748,300638.SZ
749,300653.SZ
750,300657.SZ
751,300659.SZ
752,300661.SZ
753,300662.SZ
754,300663.SZ
755,300664.SZ
756,300666.SZ
757,300672.SZ
758,300674.SZ
759,300676.SZ
760,300677.SZ
761,300679.SZ
762,300682.SZ
763,300684.SZ
764,300685.SZ
765,300699.SZ
766,300702.SZ
767,300709.SZ
768,300723.SZ
769,300724.SZ
770,300725.SZ
771,300726.SZ
772,300735.SZ
773,300737.SZ
774,300741.SZ
775,300747.SZ
776,300748.SZ
777,300750.SZ
778,300751.SZ
779,300755.SZ
780,300759.SZ
781,300760.SZ
782,300761.SZ
783,300762.SZ
784,300765.SZ
785,300766.SZ
786,300768.SZ
787,300770.SZ
788,300771.SZ
789,300773.SZ
790,300775.SZ
791,300776.SZ
792,300777.SZ
793,300782.SZ
794,300783.SZ
795,300785.SZ
796,300788.SZ
797,600000.SH
798,600004.SH
799,600007.SH
800,600008.SH
801,600009.SH
802,600010.SH
803,600011.SH
804,600012.SH
805,600015.SH
806,600016.SH
807,600018.SH
808,600019.SH
809,600020.SH
810,600021.SH
811,600025.SH
812,600026.SH
813,600027.SH
814,600028.SH
815,600029.SH
816,600030.SH
817,600031.SH
818,600036.SH
819,600038.SH
820,600039.SH
821,600048.SH
822,600050.SH
823,600053.SH
824,600056.SH
825,600057.SH
826,600061.SH
827,600062.SH
828,600066.SH
829,600068.SH
830,600070.SH
831,600072.SH
832,600073.SH
833,600079.SH
834,600085.SH
835,600089.SH
836,600093.SH
837,600094.SH
838,600104.SH
839,600105.SH
840,600109.SH
841,600111.SH
842,600115.SH
843,600118.SH
844,600120.SH
845,600125.SH
846,600131.SH
847,600132.SH
848,600136.SH
849,600138.SH
850,600141.SH
851,600143.SH
852,600150.SH
853,600153.SH
854,600155.SH
855,600160.SH
856,600161.SH
857,600162.SH
858,600167.SH
859,600170.SH
860,600171.SH
861,600176.SH
862,600177.SH
863,600180.SH
864,600183.SH
865,600185.SH
866,600188.SH
867,600196.SH
868,600197.SH
869,600201.SH
870,600206.SH
871,600208.SH
872,600210.SH
873,600216.SH
874,600219.SH
875,600221.SH
876,600223.SH
877,600233.SH
878,600236.SH
879,600252.SH
880,600256.SH
881,600258.SH
882,600260.SH
883,600261.SH
884,600271.SH
885,600273.SH
886,600276.SH
887,600277.SH
888,600282.SH
889,600284.SH
890,600285.SH
891,600295.SH
892,600298.SH
893,600299.SH
894,600305.SH
895,600309.SH
896,600310.SH
897,600312.SH
898,600315.SH
899,600323.SH
900,600325.SH
901,600326.SH
902,600329.SH
903,600332.SH
904,600335.SH
905,600337.SH
906,600338.SH
907,600340.SH
908,600346.SH
909,600348.SH
910,600350.SH
911,600352.SH
912,600362.SH
913,600363.SH
914,600366.SH
915,600368.SH
916,600369.SH
917,600372.SH
918,600373.SH
919,600376.SH
920,600377.SH
921,600378.SH
922,600380.SH
923,600383.SH
924,600387.SH
925,600388.SH
926,600392.SH
927,600395.SH
928,600406.SH
929,600409.SH
930,600420.SH
931,600422.SH
932,600426.SH
933,600436.SH
934,600438.SH
935,600439.SH
936,600446.SH
937,600452.SH
938,600459.SH
939,600460.SH
940,600466.SH
941,600477.SH
942,600483.SH
943,600486.SH
944,600487.SH
945,600489.SH
946,600491.SH
947,600498.SH
948,600500.SH
949,600502.SH
950,600507.SH
951,600511.SH
952,600516.SH
953,600519.SH
954,600521.SH
955,600522.SH
956,600529.SH
957,600531.SH
958,600536.SH
959,600545.SH
960,600547.SH
961,600548.SH
962,600549.SH
963,600557.SH
964,600559.SH
965,600563.SH
966,600565.SH
967,600566.SH
968,600567.SH
969,600570.SH
970,600572.SH
971,600577.SH
972,600580.SH
973,600582.SH
974,600583.SH
975,600585.SH
976,600587.SH
977,600588.SH
978,600596.SH
979,600597.SH
980,600598.SH
981,600600.SH
982,600604.SH
983,600606.SH
984,600611.SH
985,600612.SH
986,600621.SH
987,600622.SH
988,600626.SH
989,600635.SH
990,600637.SH
991,600639.SH
992,600641.SH
993,600642.SH
994,600643.SH
995,600648.SH
996,600655.SH
997,600657.SH
998,600660.SH
999,600663.SH
1000,600667.SH
1001,600668.SH
1002,600673.SH
1003,600674.SH
1004,600675.SH
1005,600681.SH
1006,600682.SH
1007,600685.SH
1008,600688.SH
1009,600690.SH
1010,600694.SH
1011,600699.SH
1012,600702.SH
1013,600703.SH
1014,600704.SH
1015,600705.SH
1016,600708.SH
1017,600711.SH
1018,600720.SH
1019,600728.SH
1020,600729.SH
1021,600733.SH
1022,600736.SH
1023,600737.SH
1024,600738.SH
1025,600739.SH
1026,600740.SH
1027,600741.SH
1028,600742.SH
1029,600745.SH
1030,600748.SH
1031,600750.SH
1032,600754.SH
1033,600755.SH
1034,600756.SH
1035,600760.SH
1036,600763.SH
1037,600764.SH
1038,600765.SH
1039,600775.SH
1040,600776.SH
1041,600777.SH
1042,600779.SH
1043,600782.SH
1044,600787.SH
1045,600795.SH
1046,600801.SH
1047,600802.SH
1048,600803.SH
1049,600808.SH
1050,600809.SH
1051,600811.SH
1052,600820.SH
1053,600823.SH
1054,600828.SH
1055,600835.SH
1056,600837.SH
1057,600845.SH
1058,600846.SH
1059,600848.SH
1060,600850.SH
1061,600859.SH
1062,600863.SH
1063,600867.SH
1064,600871.SH
1065,600872.SH
1066,600874.SH
1067,600875.SH
1068,600876.SH
1069,600879.SH
1070,600885.SH
1071,600886.SH
1072,600887.SH
1073,600893.SH
1074,600895.SH
1075,600897.SH
1076,600900.SH
1077,600903.SH
1078,600909.SH
1079,600917.SH
1080,600919.SH
1081,600926.SH
1082,600928.SH
1083,600933.SH
1084,600958.SH
1085,600967.SH
1086,600968.SH
1087,600970.SH
1088,600971.SH
1089,600973.SH
1090,600975.SH
1091,600977.SH
1092,600984.SH
1093,600985.SH
1094,600987.SH
1095,600988.SH
1096,600989.SH
1097,600990.SH
1098,600993.SH
1099,600996.SH
1100,600998.SH
1101,600999.SH
1102,601000.SH
1103,601001.SH
1104,601003.SH
1105,601005.SH
1106,601006.SH
1107,601009.SH
1108,601012.SH
1109,601016.SH
1110,601018.SH
1111,601019.SH
1112,601021.SH
1113,601038.SH
1114,601058.SH
1115,601066.SH
1116,601068.SH
1117,601069.SH
1118,601088.SH
1119,601098.SH
1120,601099.SH
1121,601100.SH
1122,601107.SH
1123,601108.SH
1124,601111.SH
1125,601117.SH
1126,601128.SH
1127,601138.SH
1128,601139.SH
1129,601155.SH
1130,601158.SH
1131,601162.SH
1132,601166.SH
1133,601169.SH
1134,601186.SH
1135,601198.SH
1136,601200.SH
1137,601211.SH
1138,601216.SH
1139,601225.SH
1140,601229.SH
1141,601231.SH
1142,601233.SH
1143,601236.SH
1144,601238.SH
1145,601288.SH
1146,601298.SH
1147,601311.SH
1148,601318.SH
1149,601319.SH
1150,601326.SH
1151,601328.SH
1152,601330.SH
1153,601333.SH
1154,601336.SH
1155,601360.SH
1156,601375.SH
1157,601377.SH
1158,601390.SH
1159,601398.SH
1160,601519.SH
1161,601555.SH
1162,601567.SH
1163,601577.SH
1164,601588.SH
1165,601598.SH
1166,601600.SH
1167,601607.SH
1168,601615.SH
1169,601618.SH
1170,601619.SH
1171,601628.SH
1172,601633.SH
1173,601636.SH
1174,601666.SH
1175,601668.SH
1176,601669.SH
1177,601678.SH
1178,601688.SH
1179,601689.SH
1180,601698.SH
1181,601699.SH
1182,601717.SH
1183,601727.SH
1184,601766.SH
1185,601788.SH
1186,601789.SH
1187,601799.SH
1188,601800.SH
1189,601801.SH
1190,601808.SH
1191,601811.SH
1192,601818.SH
1193,601828.SH
1194,601838.SH
1195,601857.SH
1196,601858.SH
1197,601860.SH
1198,601865.SH
1199,601866.SH
1200,601869.SH
1201,601872.SH
1202,601877.SH
1203,601878.SH
1204,601880.SH
1205,601881.SH
1206,601888.SH
1207,601898.SH
1208,601899.SH
1209,601901.SH
1210,601919.SH
1211,601933.SH
1212,601939.SH
1213,601949.SH
1214,601952.SH
1215,601958.SH
1216,601966.SH
1217,601985.SH
1218,601988.SH
1219,601989.SH
1220,601990.SH
1221,601991.SH
1222,601992.SH
1223,601998.SH
1224,603000.SH
1225,603008.SH
1226,603012.SH
1227,603018.SH
1228,603019.SH
1229,603025.SH
1230,603027.SH
1231,603039.SH
1232,603043.SH
1233,603056.SH
1234,603060.SH
1235,603068.SH
1236,603077.SH
1237,603098.SH
1238,603103.SH
1239,603108.SH
1240,603113.SH
1241,603118.SH
1242,603121.SH
1243,603127.SH
1244,603128.SH
1245,603160.SH
1246,603180.SH
1247,603185.SH
1248,603198.SH
1249,603218.SH
1250,603220.SH
1251,603225.SH
1252,603228.SH
1253,603233.SH
1254,603236.SH
1255,603259.SH
1256,603260.SH
1257,603267.SH
1258,603279.SH
1259,603283.SH
1260,603288.SH
1261,603298.SH
1262,603305.SH
1263,603317.SH
1264,603327.SH
1265,603328.SH
1266,603337.SH
1267,603338.SH
1268,603355.SH
1269,603357.SH
1270,603360.SH
1271,603363.SH
1272,603367.SH
1273,603368.SH
1274,603369.SH
1275,603379.SH
1276,603387.SH
1277,603393.SH
1278,603421.SH
1279,603429.SH
1280,603444.SH
1281,603466.SH
1282,603486.SH
1283,603501.SH
1284,603505.SH
1285,603508.SH
1286,603515.SH
1287,603517.SH
1288,603520.SH
1289,603533.SH
1290,603556.SH
1291,603568.SH
1292,603569.SH
1293,603579.SH
1294,603583.SH
1295,603585.SH
1296,603587.SH
1297,603588.SH
1298,603589.SH
1299,603590.SH
1300,603596.SH
1301,603599.SH
1302,603600.SH
1303,603601.SH
1304,603605.SH
1305,603606.SH
1306,603609.SH
1307,603613.SH
1308,603626.SH
1309,603638.SH
1310,603639.SH
1311,603650.SH
1312,603658.SH
1313,603659.SH
1314,603660.SH
1315,603666.SH
1316,603669.SH
1317,603678.SH
1318,603680.SH
1319,603681.SH
1320,603686.SH
1321,603687.SH
1322,603690.SH
1323,603707.SH
1324,603708.SH
1325,603711.SH
1326,603712.SH
1327,603713.SH
1328,603728.SH
1329,603730.SH
1330,603733.SH
1331,603737.SH
1332,603766.SH
1333,603799.SH
1334,603801.SH
1335,603803.SH
1336,603806.SH
1337,603808.SH
1338,603816.SH
1339,603833.SH
1340,603848.SH
1341,603858.SH
1342,603866.SH
1343,603868.SH
1344,603871.SH
1345,603876.SH
1346,603881.SH
1347,603882.SH
1348,603883.SH
1349,603885.SH
1350,603888.SH
1351,603899.SH
1352,603915.SH
1353,603920.SH
1354,603929.SH
1355,603939.SH
1356,603956.SH
1357,603960.SH
1358,603982.SH
1359,603983.SH
1360,603986.SH
1361,603989.SH
1362,603993.SH
1363,603997.SH
