,AHAS,Hang Seng Index
2018/3/1,2.065832939,1.494185794
2018/3/2,2.045580962,1.472007104
2018/3/5,2.013974261,1.438457021
2018/3/6,2.045180745,1.468507029
2018/3/7,2.024201068,1.45340309
2018/3/8,2.060161942,1.475427762
2018/3/9,2.073427501,1.491873589
2018/3/12,2.097641223,1.520661606
2018/3/13,2.097001241,1.521004298
2018/3/14,2.091927932,1.512993401
2018/3/15,2.100133983,1.518099602
2018/3/16,2.104993734,1.516216242
2018/3/19,2.098172515,1.516783704
2018/3/20,2.099153636,1.518524597
2018/3/21,2.093365761,1.5120072
2018/3/22,2.081546456,1.495475701
2018/3/23,2.044139626,1.458811553
2018/3/26,2.054833169,1.470337926
2018/3/27,2.078906337,1.481988477
2018/3/28,2.043433,1.445009554
2018/3/29,2.062285789,1.448419624
2018/4/3,2.079499535,1.452593529
2018/4/4,2.073061615,1.420759312
2018/4/6,2.076601292,1.436461998
2018/4/9,2.08725113,1.454975043
2018/4/10,2.104953698,1.479000033
2018/4/11,2.107655825,1.4871327
2018/4/12,2.106448563,1.483935369
2018/4/13,2.094941473,1.482833173
2018/4/16,2.07479817,1.459114777
2018/4/17,2.063015901,1.446945376
2018/4/18,2.061831802,1.457606357
2018/4/19,2.077304414,1.478022977
2018/4/20,2.058598899,1.464059739
2018/4/23,2.047272795,1.456169651
2018/4/24,2.072982123,1.47454793
2018/4/25,2.065075412,1.4597193
2018/4/26,2.047117313,1.44429481
2018/4/27,2.054776005,1.457434048
2018/4/30,2.091169463,1.482836543
2018/5/2,2.086118246,1.478766117
2018/5/3,2.064477761,1.459007927
2018/5/4,2.051623888,1.440387549
2018/5/7,2.056356897,1.443648894
2018/5/8,2.066205109,1.463312749
2018/5/9,2.066340366,1.469730034
2018/5/10,2.074520823,1.482873603
2018/5/11,2.078974747,1.497930854
2018/5/14,2.089948574,1.518098639
2018/5/15,2.097955952,1.499373336
2018/5/16,2.094425564,1.497360022
2018/5/17,2.09265134,1.489271636
2018/5/18,2.097815384,1.494361953
2018/5/21,2.108710669,1.503335466
2018/5/23,2.112934988,1.475962977
