,AQM_HUABAO_Enhanced_50,AQM_HUABAO_50,Benchmark_50
2017/5/10,1.114687537,1.107044066,1.072009527
2017/5/11,1.114503614,1.105626715,1.071351999
2017/5/12,1.116749789,1.106639784,1.073811431
2017/5/15,1.121075411,1.110194892,1.076655263
2017/5/16,1.124555038,1.111966174,1.07854154
2017/5/17,1.115622003,1.103515293,1.074747533
2017/5/18,1.111434819,1.105112217,1.072370154
2017/5/19,1.118156023,1.110418072,1.076293863
2017/5/22,1.120163616,1.113449425,1.079455791
2017/5/23,1.121000545,1.113169624,1.079141741
2017/5/24,1.122526848,1.115093143,1.080004166
2017/5/25,1.123573812,1.116464555,1.082804063
2017/5/26,1.123789875,1.116068577,1.082401787
2017/5/30,1.123469769,1.115434753,1.082446963
2017/5/31,1.12437762,1.115999431,1.08304432
2017/6/1,1.128755632,1.121156164,1.085788786
2017/6/2,1.132770065,1.125302792,1.090849481
2017/6/5,1.130217552,1.123225796,1.089621556
2017/6/6,1.129854663,1.122195684,1.088931003
2017/6/7,1.13045924,1.121588318,1.088491735
2017/6/8,1.131452153,1.121983176,1.087542956
2017/6/9,1.130288829,1.120267011,1.086981667
2017/6/12,1.130028187,1.11954796,1.084971166
2017/6/13,1.133767598,1.123870933,1.087843153
2017/6/14,1.13255526,1.122964113,1.090506997
2017/6/15,1.128403726,1.118880736,1.085518439
2017/6/16,1.129679962,1.120459409,1.087510956
2017/6/19,1.132883826,1.123926564,1.091093029
2017/6/20,1.126945794,1.119103267,1.088201755
2017/6/21,1.127162843,1.117961499,1.087372315
2017/6/22,1.127854755,1.119134844,1.088017599
2017/6/23,1.13024189,1.12133866,1.089408698
2017/6/26,1.133262004,1.122330736,1.090945912
2017/6/27,1.130106225,1.118686975,1.086815002
2017/6/28,1.134932611,1.124437581,1.089957212
2017/6/29,1.130578958,1.118633792,1.085908864
2017/6/30,1.13204506,1.11942081,1.084121823
2017/7/3,1.13100775,1.11908035,1.084439334
2017/7/5,1.131615501,1.119476035,1.084541059
2017/7/6,1.126704132,1.114275889,1.080503251
2017/7/7,1.128887805,1.116591183,1.080849841
2017/7/10,1.129825902,1.117357699,1.083091377
2017/7/11,1.130329,1.118287577,1.083524451
2017/7/12,1.137302021,1.124390212,1.089977763
2017/7/13,1.138561673,1.125438933,1.091285376
2017/7/14,1.142600771,1.129319271,1.095217382
2017/7/17,1.140780716,1.129504911,1.096144825
2017/7/18,1.143485743,1.130560861,1.097699599
2017/7/19,1.147655376,1.134042376,1.100558233
2017/7/20,1.148824537,1.135142352,1.101952868
2017/7/21,1.148216981,1.134404117,1.101745959
2017/7/24,1.14823841,1.134100022,1.100442661
2017/7/25,1.148403627,1.134705223,1.099881111
2017/7/26,1.15026715,1.13682294,1.101501995
2017/7/27,1.148144978,1.134527803,1.101775301
2017/7/28,1.148581564,1.134713783,1.101253732
2017/7/31,1.150867452,1.135120282,1.101645567
2017/8/1,1.153167854,1.137717349,1.105486521
2017/8/2,1.152438372,1.136799769,1.105347849
2017/8/3,1.151786164,1.135860768,1.105425711
2017/8/4,1.151084804,1.136386993,1.104329068
