,AQM_HUABAO_50,Benchmark_50
2017/11/27,1.16848043,1.13530893
2017/11/28,1.173441844,1.138160745
2017/11/29,1.171311309,1.136800129
2017/11/30,1.173416142,1.137581765
2017/12/1,1.172543325,1.136644058
2017/12/4,1.170212857,1.13688296
2017/12/5,1.168265419,1.135610136
2017/12/6,1.167871503,1.133772487
2017/12/7,1.169825867,1.134054669
2017/12/8,1.172679372,1.137290152
2017/12/11,1.174249658,1.13984194
2017/12/12,1.17402826,1.139713709
2017/12/13,1.175591666,1.141972989
2017/12/14,1.172965018,1.140629863
2017/12/15,1.177344153,1.14246554
2017/12/18,1.182162151,1.147255435
2017/12/19,1.178796352,1.143484283
2017/12/20,1.178374949,1.142329528
2017/12/21,1.179992369,1.14446799
2017/12/22,1.180534084,1.144476158
2017/12/26,1.180477951,1.144937402
2017/12/27,1.181690113,1.147906798
2017/12/28,1.182959882,1.149135232
2017/12/29,1.181431144,1.149263848
2018/1/2,1.186778543,1.152338807
2018/1/3,1.191185636,1.15586118
2018/1/4,1.193843139,1.160693692
2018/1/5,1.19749542,1.164346777
2018/1/8,1.19871338,1.165117918
2018/1/9,1.198150807,1.164451592
2018/1/10,1.196556047,1.164131677
2018/1/11,1.202041627,1.167292457
2018/1/12,1.205903891,1.171433562
2018/1/16,1.203471529,1.173175088
2018/1/17,1.208276096,1.175593714
2018/1/18,1.206537861,1.174199957
2018/1/19,1.209722805,1.176575002
2018/1/22,1.214233424,1.179975277
2018/1/23,1.217714533,1.184260454
2018/1/24,1.216701837,1.18451559
2018/1/25,1.216454442,1.186648089
2018/1/26,1.222505972,1.190042439
2018/1/29,1.217286218,1.185179013
2018/1/30,1.210568817,1.17779076
2018/1/31,1.21168238,1.178380574
2018/2/1,1.209920995,1.176425783
2018/2/2,1.195620952,1.162383072
2018/2/5,1.172517049,1.144635381
2018/2/6,1.183239927,1.141536667
2018/2/7,1.177797439,1.140105362
2018/2/8,1.156555393,1.124015635
2018/2/9,1.162694354,1.124438353
2018/2/12,1.171603675,1.131135861
2018/2/13,1.172722754,1.133165964
2018/2/14,1.182104787,1.139125139
2018/2/15,1.190577433,1.147743389
2018/2/16,1.191555712,1.149957764
2018/2/20,1.187396223,1.146135734
2018/2/21,1.183460397,1.143760598
2018/2/22,1.184517126,1.14339412
2018/2/23,1.194575668,1.151798256
2018/2/26,1.200820013,1.157439258
2018/2/27,1.191873991,1.150636697
2018/2/28,1.186277727,1.144587032
2018/3/1,1.17841743,1.138411978
2018/3/2,1.183224749,1.136232887
2018/3/5,1.188893805,1.139732598
2018/3/6,1.192552856,1.144106825
2018/3/7,1.192454411,1.143037004
2018/3/8,1.194997709,1.146402367
2018/3/9,1.204020005,1.152925705
2018/3/12,1.204425608,1.155839485
2018/3/13,1.199795767,1.153808858
2018/3/14,1.198600667,1.151623693
2018/3/15,1.197475755,1.150888319
2018/3/16,1.198056568,1.150418823
2018/3/19,1.189645908,1.143713032
2018/3/20,1.19067283,1.143222624
2018/3/21,1.190891054,1.142098212
2018/3/22,1.176783607,1.133410791
2018/3/23,1.165519157,1.122238156
2018/3/26,1.181309492,1.131303496
2018/3/27,1.171149538,1.129379979
2018/3/28,1.169429077,1.126135789
2018/3/29,1.178435215,1.132358992
2018/4/2,1.165049035,1.125535611
2018/4/3,1.171491161,1.127063671
2018/4/4,1.177787548,1.129386443
2018/4/5,1.181310417,1.134414531
2018/4/6,1.170447889,1.128257007
2018/4/9,1.174035403,1.13054482
2018/4/10,1.183701822,1.138715519
2018/4/11,1.181706356,1.137079994
2018/4/12,1.185850497,1.138287145
2018/4/13,1.184480449,1.137404223
2018/4/16,1.188882049,1.139984536
2018/4/17,1.195532331,1.14493295
2018/4/18,1.196430791,1.146183129
2018/4/19,1.191810423,1.143265866
2018/4/20,1.185818235,1.136947318
2018/4/23,1.184784007,1.135147394
2018/4/24,1.177500849,1.130354811
2018/4/25,1.177496913,1.127134353
2018/4/26,1.184105397,1.132443112
2018/4/27,1.184954464,1.135227328
2018/4/30,1.180701655,1.133754993
2018/5/1,1.182072643,1.131736917
2018/5/2,1.17943124,1.129383733
2018/5/3,1.179322354,1.12754344
2018/5/4,1.186342872,1.132286248
2018/5/7,1.188991294,1.134521758
2018/5/8,1.188751823,1.133707914
2018/5/9,1.193562869,1.136889514
2018/5/10,1.199427696,1.142253303
2018/5/11,1.200071736,1.145276945
2018/5/14,1.200216839,1.14635246
2018/5/15,1.194218295,1.138491298
2018/5/16,1.197128298,1.139274229
2018/5/17,1.196806492,1.138833158
2018/5/18,1.195643608,1.138279188
2018/5/21,1.199895947,1.140934234
2018/5/22,1.198253918,1.140812552
2018/5/23,1.199675594,1.140294111
2018/5/24,1.199714143,1.139884423
2018/5/25,1.198416614,1.139338266
2018/5/29,1.193052685,1.135644935
2018/5/30,1.200168833,1.137269489
2018/5/31,1.196398994,1.136258182
2018/6/1,1.202253023,1.139336124
2018/6/4,1.205166023,1.142838632
2018/6/5,1.20656137,1.142372803
2018/6/6,1.211091098,1.145795193
2018/6/7,1.209646995,1.14707754
2018/6/8,1.210592582,1.146010631
2018/6/11,1.212429792,1.14746308
2018/6/12,1.213200687,1.14800076
2018/6/13,1.211803427,1.145784752
2018/6/14,1.214764863,1.146587901
2018/6/15,1.212803726,1.144273143
2018/6/18,1.211733166,1.141393982
2018/6/19,1.208957202,1.136883857
2018/6/20,1.210856394,1.138253929
2018/6/21,1.206105321,1.134693916
2018/6/22,1.207794042,1.137440485
2018/6/25,1.198052923,1.129188164
2018/6/26,1.199744947,1.129715759
2018/6/27,1.193772513,1.126978513
2018/6/28,1.196581284,1.126995472
2018/6/29,1.197876267,1.1312511
2018/7/2,1.19818961,1.128234261
2018/7/3,1.19699893,1.128986371
2018/7/5,1.203105095,1.132681534
2018/7/6,1.209112692,1.138235913
2018/7/9,1.214394838,1.143453896
2018/7/10,1.215198382,1.144555932
2018/7/11,1.209662617,1.139666871
2018/7/12,1.216127194,1.143574514
2018/7/13,1.216762923,1.145693458
2018/7/16,1.21557773,1.144206814
2018/7/17,1.21772075,1.145525792
2018/7/18,1.21851193,1.146262145
2018/7/19,1.21697417,1.144591861
2018/7/20,1.216800305,1.145116312
2018/7/23,1.216626169,1.14338589
2018/7/24,1.218709097,1.147927043
2018/7/25,1.224808182,1.151751346
2018/7/26,1.221881107,1.15103411
2018/7/27,1.21757993,1.150157198
2018/7/30,1.213576588,1.147698837
2018/7/31,1.21743757,1.149295897
2018/8/1,1.216680684,1.14726893
2018/8/2,1.219495987,1.145949058
2018/8/3,1.221835553,1.149423503
2018/8/6,1.223879131,1.150307905
2018/8/7,1.225806112,1.152453834
2018/8/8,1.225594938,1.152303458
2018/8/9,1.225312252,1.152378137
2018/8/10,1.220253372,1.146794531
2018/8/13,1.217820183,1.14164034
2018/8/14,1.221444162,1.143816898
2018/8/15,1.214810431,1.137931416
2018/8/16,1.219194485,1.141575524
2018/8/17,1.221955072,1.143601451
2018/8/20,1.223996531,1.147642556
2018/8/21,1.226587123,1.149538418
2018/8/22,1.227920532,1.151490352
2018/8/23,1.225914679,1.149665301
2018/8/24,1.231010292,1.152934378
2018/8/27,1.236183729,1.158608035
2018/8/28,1.235610338,1.15847814
2018/8/29,1.239556756,1.160638278
2018/8/30,1.236542002,1.157870658
2018/8/31,1.236497718,1.156342551
2018/9/4,1.233551728,1.150545134
2018/9/5,1.229915737,1.146674268
2018/9/6,1.227832971,1.145012976
2018/9/7,1.224603986,1.141897735
2018/9/10,1.227121329,1.142794025
2018/9/11,1.229020022,1.142548798
2018/9/12,1.229872404,1.144574386
2018/9/13,1.233930825,1.148286893
2018/9/14,1.233869935,1.149307177
2018/9/17,1.229841265,1.146820491
2018/9/18,1.233488715,1.14882647
2018/9/19,1.233102785,1.150130885
2018/9/20,1.239079789,1.155746829
2018/9/21,1.238016836,1.15826731
2018/9/24,1.236226794,1.155680279
2018/9/25,1.23658005,1.155329551
2018/9/26,1.235604388,1.155516395
2018/9/27,1.23743889,1.156053267
2018/9/28,1.236935101,1.154703776
2018/10/1,1.238090956,1.155200927
2018/10/2,1.236547319,1.1537246
2018/10/3,1.23571939,1.1510273
2018/10/4,1.227540553,1.143401294
2018/10/5,1.222043148,1.138152921
2018/10/8,1.222043148,1.135737887
2018/10/9,1.219453256,1.135069394
2018/10/10,1.199217614,1.120999144
2018/10/11,1.190215709,1.109641636
2018/10/12,1.1985415,1.115937878
