Date,AQUMON
2016-09-20,0.9561382673730009
2016-09-21,0.9566096883730011
2016-09-22,0.9611715753730011
2016-09-23,0.9605430063730013
2016-09-26,0.9336250753730014
2016-09-27,0.9407361723730016
2016-09-28,0.9382377553730015
2016-09-29,0.9469437403730012
2016-09-30,0.9458091453730014
2016-10-10,0.9665182736910014
2016-10-11,0.9795558326910015
2016-10-12,0.9744181396910014
2016-10-13,0.9810740266910013
2016-10-14,0.9792543646910016
2016-10-17,0.9743047606910014
2016-10-18,0.9867080986910014
2016-10-19,0.9841617566910015
2016-10-20,0.9816995236910014
2016-10-21,0.9801084546910013
2016-10-24,0.9906958006910012
2016-10-25,0.9952181106910014
2016-10-26,1.0002965706910014
2016-10-27,0.9951950256910014
2016-10-28,0.9899756486910014
2016-10-31,0.9846629576910013
