,0,1
759,00883.HK,中国海洋石油
760,00884.HK,旭辉控股集团
761,00885.HK,仁天科技控股
762,00886.HK,银基集团
763,00887.HK,英皇钟表珠宝
764,00888.HK,贝森金融
765,00889.HK,连达科技控股
766,00891.HK,利邦
767,00893.HK,中国铁钛
768,00894.HK,万裕科技
769,00895.HK,东江环保
770,00896.HK,兴胜创建
771,00897.HK,位元堂
772,00898.HK,万事昌国际
773,00899.HK,亚洲资源
774,00900.HK,AEON CREDIT
775,00901.HK,鹰力投资
776,00902.HK,华能国际电力股份
777,00903.HK,冠捷科技
778,00904.HK,中绿
779,00905.HK,环球大通投资
780,00906.HK,中粮包装
781,00907.HK,高雅光学
782,00908.HK,珠海控股投资
783,00910.HK,中国三迪
784,00911.HK,前海健康
785,00912.HK,信佳国际
786,00913.HK,合一投资
787,00914.HK,海螺水泥
788,00915.HK,道和环球
789,00916.HK,龙源电力
790,00918.HK,国能国际资产
791,00919.HK,现代美容
792,00921.HK,海信家电
793,00922.HK,安贤园中国
794,00923.HK,综合环保集团
795,00924.HK,坤集团
796,00925.HK,北京建设
797,00926.HK,碧生源
798,00927.HK,富士高实业
799,00928.HK,莲和医疗
800,00929.HK,国际精密
801,00931.HK,中国天然气
802,00932.HK,顺腾国际控股
803,00933.HK,光汇石油
804,00934.HK,中石化冠德
805,00935.HK,龙翔集团
806,00936.HK,鹏程亚洲
807,00938.HK,民生国际
808,00939.HK,建设银行
809,00940.HK,中国动物保健品
810,00941.HK,中国移动
811,00943.HK,意科控股
812,00945.HK,宏利金融-S
813,00947.HK,摩比发展
814,00948.HK,阿尔法企业
815,00950.HK,李氏大药厂
816,00951.HK,超威动力
817,00952.HK,中国通海金融
818,00953.HK,邵氏兄弟控股
819,00954.HK,常茂生物
820,00956.HK,新天绿色能源
821,00958.HK,华能新能源
822,00959.HK,奥玛仕国际
823,00960.HK,龙湖集团
824,00966.HK,中国太平
825,00967.HK,桑德国际
826,00968.HK,信义光能
827,00969.HK,华联国际
828,00970.HK,耀莱集团
829,00973.HK,L'OCCITANE
830,00974.HK,中国顺客隆
831,00975.HK,MONGOL MINING
832,00976.HK,齐合环保
833,00978.HK,招商局置地
834,00979.HK,绿色能源科技集团
835,00980.HK,联华超市
836,00981.HK,中芯国际
837,00982.HK,华金国际资本
838,00983.HK,瑞安建业
839,00984.HK,永旺
840,00985.HK,中誉集团
841,00986.HK,中国环保能源
842,00987.HK,中国再生能源投资
843,00988.HK,丝路物流控股
844,00989.HK,广泽国际发展
845,00990.HK,荣晖国际
846,00991.HK,大唐发电
847,00992.HK,联想集团
848,00993.HK,华融金控
849,00994.HK,中天宏信
850,00995.HK,安徽皖通高速公路
851,00996.HK,嘉年华国际
852,00997.HK,普汇中金国际
853,00998.HK,中信银行
854,00999.HK,I.T
855,01000.HK,北青传媒
856,01001.HK,沪港联合
857,01002.HK,威铖国际
858,01003.HK,欢喜传媒
859,01004.HK,中国智慧能源
860,01005.HK,MATRIX HOLDINGS
861,01006.HK,长寿花食品
862,01007.HK,龙辉国际控股
863,01008.HK,贵联控股
864,01009.HK,国际娱乐
865,01010.HK,太睿国际控股
866,01011.HK,泰凌医药
867,01013.HK,伟俊集团控股
868,01019.HK,康宏环球
869,01020.HK,赛伯乐国际控股
870,01021.HK,麦达斯控股-S
871,01022.HK,飞鱼科技
872,01023.HK,时代集团控股
873,01025.HK,嘉艺控股
874,01026.HK,环球实业科技
875,01027.HK,中国集成控股
876,01028.HK,千百度
877,01029.HK,铁货
878,01030.HK,新城发展控股
879,01031.HK,金利丰金融
880,01033.HK,中石化油服
881,01034.HK,富汇建筑控股
882,01035.HK,BBI生命科学
883,01036.HK,万科置业海外
884,01037.HK,云智汇科技
885,01038.HK,长江基建集团
886,01039.HK,鑫网易商
887,01041.HK,林达控股
888,01043.HK,光宇国际集团科技
889,01044.HK,恒安国际
890,01045.HK,亚太卫星
891,01046.HK,寰宇娱乐文化
892,01047.HK,毅兴行
893,01048.HK,煜新控股
894,01049.HK,时富投资
895,01050.HK,嘉利国际
896,01051.HK,国际资源
897,01052.HK,越秀交通基建
898,01053.HK,重庆钢铁股份
899,01055.HK,中国南方航空股份
900,01057.HK,浙江世宝
901,01058.HK,粤海制革
902,01059.HK,看通集团
903,01060.HK,阿里影业
904,01061.HK,亿胜生物科技
905,01062.HK,国开国际投资
906,01063.HK,新确科技
907,01064.HK,中华国际
908,01065.HK,天津创业环保股份
909,01066.HK,威高股份
910,01068.HK,雨润食品
911,01069.HK,中国农林低碳
912,01070.HK,TCL电子
913,01071.HK,华电国际电力股份
914,01072.HK,东方电气
915,01073.HK,大禹金融
916,01075.HK,首都信息
917,01076.HK,博华太平洋
918,01079.HK,松景科技
