,ADP CHNG Index,AHE MOM% Index,CHPMINDX Index,CONCCONF Index,CONSCURR Index,CONSPXMD Index,CONSSENT Index,CPI CHNG Index,CPI XYOY Index,CPI YOY Index,CPUPXCHG Index,DGNOCHNG Index,DGNOXTCH Index,EMPRGBCI Index,FDIDSGMO Index,FRNTTOTL Index,IP  CHNG Index,JOLTTOTL Index,LMCILMCC Index,MPMIUSCA Index,MPMIUSMA Index,MPMIUSSA Index,NAPMNMI  Index,NAPMPMI Index,NAPMPRIC Index,NFP PCH Index,NFP TCH Index,NHCHSTCH Index,NHSLCHNG Index,NHSLTOT Index,NHSPATOT Index,NHSPSTOT Index,NYPMCURR Index,OUTFGAF Index,PCE CMOM Index,PCE CRCH Index,PCE CYOY Index,PITLCHNG Index,PRUSTOT Index,RCHSINDX Index,RSTAMOM Index,RSTAXAGM Index,RSTAXMOM Index,SAARTOTL Index,SBOITOTL Index,USHBMIDX Index,USPHTYOY Index,USTBTOT Index,USTGTTCB Index,USURTOT Index
2016-10-27,rg,r,r,,,fg,r,,,f,,,,r,f,,r,,f,,,,r,r,r,,r,,,,,,rfg,r,,r,,,fg,r,r,,r,r,,,,,rfg,fg
2017-01-26,rg,r,r,,,fg,r,,,f,,,,r,f,,r,,f,rfg,rfg,rfg,r,r,r,,r,,,,,,rfg,r,,r,,,fg,r,r,,r,,,,,,,fg
2017-04-27,rg,r,r,,,fg,,,,f,,,,r,,,r,,f,rfg,r,rfg,r,r,,,r,,,,,,rfg,r,,r,,,fg,r,r,,r,,,,,,,fg
2017-07-27,rg,r,r,,,fg,,,,f,,,,r,,,r,,f,rfg,r,rfg,r,r,,,r,,,,,,rfg,r,,r,,,fg,r,r,,r,,,,,,,fg
2017-10-26,rg,r,r,,,fg,,,,f,,,,r,,,r,,f,fg,r,fg,r,r,,,r,,,,,,rfg,r,,r,,,fg,r,r,,r,,,,,,,fg
2018-01-25,rg,r,r,,,fg,,,,f,,,,r,,,r,,f,fg,,f,r,r,,,r,,,,,,rfg,r,,r,,,fg,r,r,,r,,,,,,,fg
2018-04-26,rg,r,r,,r,fg,,,,f,,,,r,,,r,,f,fg,,f,r,r,,,r,,,,,,rfg,r,,r,,,fg,r,r,,r,,,,,,,fg
2018-07-26,rg,,r,,r,,r,,,f,,,,r,,,r,,f,fg,,fg,r,r,r,,r,,,,,,rfg,r,,r,,,fg,r,r,,r,,,,,,,fg
2018-10-25,rg,,r,,r,g,r,,,,,,,r,,,r,,f,,,,r,r,r,,r,,,,,,rfg,r,,r,,,fg,r,r,,r,,,,,,r,fg
2019-02-27,rg,,r,,r,,r,,,,,,,r,,,r,,f,,,,r,r,r,,r,,,,,,rfg,r,,r,,,,r,r,,r,,,,,,r,fg
