,SECUCODE
642,300386.SZ
643,300388.SZ
644,300394.SZ
645,300395.SZ
646,300397.SZ
647,300398.SZ
648,300401.SZ
649,300406.SZ
650,300408.SZ
651,300413.SZ
652,300418.SZ
653,300423.SZ
654,300428.SZ
655,300429.SZ
656,300433.SZ
657,300438.SZ
658,300448.SZ
659,300450.SZ
660,300451.SZ
661,300455.SZ
662,300456.SZ
663,300457.SZ
664,300458.SZ
665,300459.SZ
666,300463.SZ
667,300468.SZ
668,300474.SZ
669,300476.SZ
670,300477.SZ
671,300482.SZ
672,300487.SZ
673,300495.SZ
674,300496.SZ
675,300498.SZ
676,300502.SZ
677,300523.SZ
678,300525.SZ
679,300526.SZ
680,300527.SZ
681,300529.SZ
682,300552.SZ
683,300558.SZ
684,300559.SZ
685,300567.SZ
686,300568.SZ
687,300570.SZ
688,300571.SZ
689,300572.SZ
690,300573.SZ
691,300577.SZ
692,300579.SZ
693,300590.SZ
694,300595.SZ
695,300596.SZ
696,300601.SZ
697,300602.SZ
698,300603.SZ
699,300607.SZ
700,600000.SH
701,600004.SH
702,600007.SH
703,600008.SH
704,600009.SH
705,600010.SH
706,600011.SH
707,600012.SH
708,600015.SH
709,600016.SH
710,600018.SH
711,600019.SH
712,600020.SH
713,600021.SH
714,600026.SH
715,600027.SH
716,600028.SH
717,600029.SH
718,600030.SH
719,600031.SH
720,600036.SH
721,600038.SH
722,600039.SH
723,600048.SH
724,600050.SH
725,600053.SH
726,600056.SH
727,600057.SH
728,600061.SH
729,600062.SH
730,600066.SH
731,600068.SH
732,600070.SH
733,600072.SH
734,600073.SH
735,600079.SH
736,600085.SH
737,600089.SH
738,600093.SH
739,600094.SH
740,600104.SH
741,600105.SH
742,600109.SH
743,600111.SH
744,600115.SH
745,600118.SH
746,600120.SH
747,600125.SH
748,600131.SH
749,600132.SH
750,600136.SH
751,600138.SH
752,600141.SH
753,600143.SH
754,600150.SH
755,600153.SH
756,600155.SH
757,600160.SH
758,600161.SH
759,600162.SH
760,600167.SH
761,600170.SH
762,600171.SH
763,600176.SH
764,600177.SH
765,600180.SH
766,600183.SH
767,600185.SH
768,600188.SH
769,600196.SH
770,600197.SH
771,600201.SH
772,600206.SH
773,600208.SH
774,600210.SH
775,600216.SH
776,600219.SH
777,600221.SH
778,600223.SH
779,600233.SH
780,600236.SH
781,600252.SH
782,600256.SH
783,600258.SH
784,600260.SH
785,600261.SH
786,600271.SH
787,600273.SH
788,600276.SH
789,600277.SH
790,600282.SH
791,600284.SH
792,600285.SH
793,600295.SH
794,600298.SH
795,600299.SH
796,600305.SH
797,600309.SH
798,600310.SH
799,600312.SH
800,600315.SH
801,600323.SH
802,600325.SH
803,600326.SH
804,600329.SH
805,600332.SH
806,600335.SH
807,600337.SH
808,600338.SH
809,600340.SH
810,600346.SH
811,600348.SH
812,600350.SH
813,600352.SH
814,600362.SH
815,600363.SH
816,600366.SH
817,600368.SH
818,600369.SH
819,600372.SH
820,600373.SH
821,600376.SH
822,600377.SH
823,600378.SH
824,600380.SH
825,600383.SH
826,600387.SH
827,600388.SH
828,600392.SH
829,600395.SH
830,600406.SH
831,600409.SH
832,600420.SH
833,600422.SH
834,600426.SH
835,600436.SH
836,600438.SH
837,600439.SH
838,600446.SH
839,600452.SH
840,600459.SH
841,600460.SH
842,600466.SH
843,600477.SH
844,600483.SH
845,600486.SH
846,600487.SH
847,600489.SH
848,600491.SH
849,600498.SH
850,600500.SH
851,600502.SH
852,600507.SH
853,600511.SH
854,600516.SH
855,600519.SH
856,600521.SH
857,600522.SH
858,600529.SH
859,600531.SH
860,600536.SH
861,600545.SH
