,SECUCODE
749,002285.SZ
750,002286.SZ
751,002287.SZ
752,002288.SZ
753,002289.SZ
754,002290.SZ
755,002291.SZ
756,002292.SZ
757,002293.SZ
758,002294.SZ
759,002295.SZ
760,002296.SZ
761,002297.SZ
762,002298.SZ
763,002299.SZ
764,002300.SZ
765,002301.SZ
766,002302.SZ
767,002303.SZ
768,002304.SZ
769,002305.SZ
770,002306.SZ
771,002307.SZ
772,002308.SZ
773,002309.SZ
774,002310.SZ
775,002311.SZ
776,002312.SZ
777,002313.SZ
778,002314.SZ
779,002315.SZ
780,002316.SZ
781,002317.SZ
782,002318.SZ
783,002319.SZ
784,002320.SZ
785,002321.SZ
786,002322.SZ
787,002323.SZ
788,002324.SZ
789,002325.SZ
790,002326.SZ
791,002327.SZ
792,002328.SZ
793,002329.SZ
794,002330.SZ
795,002331.SZ
796,002332.SZ
797,002333.SZ
798,002334.SZ
799,002335.SZ
800,002336.SZ
801,002337.SZ
802,002338.SZ
803,002339.SZ
804,002340.SZ
805,002341.SZ
806,002342.SZ
807,002343.SZ
808,002344.SZ
809,002345.SZ
810,002346.SZ
811,002347.SZ
812,002348.SZ
813,002349.SZ
814,002350.SZ
815,002351.SZ
816,002352.SZ
817,002353.SZ
818,002354.SZ
819,002355.SZ
820,002356.SZ
821,002357.SZ
822,002358.SZ
823,002359.SZ
824,002360.SZ
825,002361.SZ
826,002362.SZ
827,002363.SZ
828,002364.SZ
829,002365.SZ
830,002366.SZ
831,002367.SZ
832,002368.SZ
833,002369.SZ
834,002370.SZ
835,002371.SZ
836,002372.SZ
837,002373.SZ
838,002374.SZ
839,002375.SZ
840,002376.SZ
841,002377.SZ
842,002378.SZ
843,002379.SZ
844,002380.SZ
845,002381.SZ
846,002382.SZ
847,002383.SZ
848,002384.SZ
849,002385.SZ
850,002386.SZ
851,002387.SZ
852,002388.SZ
853,002389.SZ
854,002390.SZ
855,002391.SZ
856,002392.SZ
857,002393.SZ
858,002394.SZ
859,002395.SZ
860,002396.SZ
861,002397.SZ
862,002398.SZ
863,002399.SZ
864,002400.SZ
865,002401.SZ
866,002402.SZ
867,002403.SZ
868,002404.SZ
869,002405.SZ
870,002406.SZ
871,002407.SZ
872,002408.SZ
873,002409.SZ
874,002410.SZ
875,002411.SZ
876,002412.SZ
877,002413.SZ
878,002414.SZ
879,002415.SZ
880,002416.SZ
881,002417.SZ
882,002418.SZ
883,002419.SZ
884,002420.SZ
885,002421.SZ
886,002422.SZ
887,002423.SZ
888,002424.SZ
889,002425.SZ
890,002426.SZ
891,002427.SZ
892,002428.SZ
893,002429.SZ
894,002430.SZ
895,002431.SZ
896,002432.SZ
897,002433.SZ
898,002434.SZ
899,002435.SZ
900,002436.SZ
901,002437.SZ
902,002438.SZ
903,002439.SZ
904,002440.SZ
905,002441.SZ
906,002442.SZ
907,002443.SZ
908,002444.SZ
909,002445.SZ
910,002446.SZ
911,002447.SZ
912,002448.SZ
913,002449.SZ
