datetime,US_Lowvol
2015-06-21,-0.018564894395990295
2015-06-22,-0.016698624916745786
2015-06-23,-0.015491698305400092
2015-06-24,-0.019453449288421854
2015-06-25,-0.014474518053477325
2015-06-26,-0.015331251751039776
2015-06-27,-0.015331251751039776
2015-06-28,-0.015331251751039776
2015-06-29,-0.03685754615665049
2015-06-30,-0.03915389228012478
2015-07-01,-0.029320162315063514
2015-07-02,-0.026941551918181705
2015-07-03,-0.026941551918181705
2015-07-04,-0.026941551918181705
2015-07-05,-0.026941551918181705
2015-07-06,-0.025263481692137768
2015-07-07,-0.01813108834215249
2015-07-08,-0.023491903153393112
2015-07-09,-0.02001068632558256
2015-07-10,-0.020788081657393764
2015-07-11,-0.020788081657393764
2015-07-12,-0.020788081657393764
2015-07-13,-0.012171612515060715
2015-07-14,-0.010601770769386842
