datetime,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol
2018-11-28,-0.033787691166057954,-0.03378769116605784,-0.03378769116605784,0.11977472845782566,0.11977472845782566,0.11977472845782544,-0.03378769116605784,-0.033787691166057954,-0.033787691166057954,0.11977472845782544,0.11977472845782566,0.11977472845782566,-0.03378769116605784,-0.03378769116605784,-0.03378769116605784,0.11977472845782566
2018-11-29,-0.030593142816468966,-0.030593142816468966,-0.030593142816468966,0.11531254843720529,0.11531254843720529,0.11531254843720506,-0.030593142816468966,-0.030593142816469077,-0.030593142816468966,0.11531254843720506,0.11531254843720529,0.11531254843720529,-0.030593142816468966,-0.030593142816468966,-0.030593142816468966,0.11531254843720551
2018-11-30,-0.03261971831351074,-0.03261971831351074,-0.03261971831351074,0.10523051013309592,0.1052305101330957,0.1052305101330957,-0.03261971831351074,-0.03261971831351074,-0.03261971831351074,0.1052305101330957,0.10523051013309592,0.1052305101330957,-0.032619718313510515,-0.032619718313510515,-0.032619718313510515,0.10523051013309614
2018-12-01,-0.03261971831351074,-0.03261971831351074,-0.03261971831351074,0.10523051013309592,0.1052305101330957,0.1052305101330957,-0.03261971831351074,-0.03261971831351074,-0.03261971831351074,0.1052305101330957,0.10523051013309592,0.1052305101330957,-0.032619718313510515,-0.032619718313510515,-0.032619718313510515,0.10523051013309614
2018-12-02,-0.03261971831351074,-0.03261971831351074,-0.03261971831351074,0.10523051013309592,0.1052305101330957,0.1052305101330957,-0.03261971831351074,-0.03261971831351074,-0.03261971831351074,0.1052305101330957,0.10523051013309592,0.1052305101330957,-0.032619718313510515,-0.032619718313510515,-0.032619718313510515,0.10523051013309614
2018-12-03,-0.03427623755823972,-0.0342762375582395,-0.0342762375582395,0.10306530960578875,0.1030653096057883,0.1030653096057883,-0.0342762375582395,-0.03427623755823972,-0.0342762375582395,0.1030653096057883,0.10306530960578852,0.1030653096057883,-0.0342762375582395,-0.0342762375582395,-0.0342762375582395,0.10306530960578875
2018-12-04,-0.04070985869533594,-0.04070985869533583,-0.04070985869533583,0.10095178146291328,0.10095178146291306,0.10095178146291306,-0.04070985869533583,-0.04070985869533594,-0.04070985869533594,0.10095178146291284,0.10095178146291328,0.10095178146291306,-0.04070985869533583,-0.04070985869533583,-0.04070985869533583,0.10095178146291328
2018-12-05,-0.04070985869533594,-0.04070985869533583,-0.04070985869533583,0.10095178146291328,0.10095178146291306,0.10095178146291306,-0.04070985869533583,-0.04070985869533594,-0.04070985869533594,0.10095178146291284,0.10095178146291328,0.10095178146291306,-0.04070985869533583,-0.04070985869533583,-0.04070985869533583,0.10095178146291328
2018-12-06,-0.03675611972980808,-0.03675611972980786,-0.03675611972980786,0.10416668819209018,0.10416668819209018,0.10416668819208996,-0.03675611972980786,-0.03675611972980808,-0.03675611972980808,0.10416668819208974,0.10416668819209018,0.10416668819208996,-0.03675611972980786,-0.03675611972980786,-0.03675611972980786,0.10416668819209018
2018-12-07,-0.04316836724789286,-0.043168367247892636,-0.04316836724789286,0.10163345019500825,0.10163345019500802,0.10163345019500802,-0.04316836724789286,-0.04316836724789286,-0.04316836724789286,0.10163345019500802,0.10163345019500825,0.10163345019500802,-0.043168367247892636,-0.043168367247892636,-0.043168367247892636,0.10163345019500825
