datetime,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest
2016-05-16,0.14013553731962314,-0.050195292876199726,-0.05390944873839365,-0.03852521194354652,-0.0801930726405441,-0.12937617427359216,-0.10433163820120572,-0.08768330181564321,0.03613919253979936,-0.07508161389616819,0.02991577193530226,-0.09049837747256262,-0.011476943181590427,-0.02912786251853028,-0.09908286429604707,-0.04230330830009532,0.06519962032432636,0.055283224125372676,0.0835046274690967,0.15006199239765872,-0.0166515723902958,0.07228253075231539,0.08815883697548688,0.12595715607932756,0.282570107316062,0.2183502938875339,-0.16439763429457266,-0.07272311952409705,0.039659266636353774,-0.28391307747358385,0.04852277379974956
2016-05-17,0.12575301296745978,-0.059917357562736084,-0.059030174467178065,-0.052511551596271966,-0.09187539344183826,-0.13051544929816172,-0.10949797353647095,-0.09580925660080497,0.02278677473589874,-0.08333696851315886,0.016841244248561926,-0.09831722017286881,-0.022250608221544788,-0.038367887701125425,-0.10605924362287333,-0.04876091485771139,0.05537866777150735,0.04648258434723673,0.07190679424586643,0.13800776843090978,-0.024300556897413284,0.06240947664174423,0.07648570493308227,0.11328957134230322,0.2640531910073791,0.19868678889964886,-0.16436497484957258,-0.0779431990361098,0.032702386576374254,-0.28723920437924066,0.04090215810780329
2016-05-18,0.12246863868925129,-0.06920786761788589,-0.04795148829368867,-0.05921199081861572,-0.101075525687496,-0.13006634011271834,-0.09829670985685557,-0.09566653948032722,0.018506700970918777,-0.08033341115291637,0.012744333488461157,-0.09577069585775189,-0.025414608695690566,-0.042139936182392534,-0.10331816898643553,-0.04646698856913756,0.0578930153299817,0.046290325125492915,0.07528051292284244,0.14199939053569643,-0.025973636242381692,0.05173346599941908,0.06935809128220649,0.12235046739957478,0.27110981576887405,0.20343226045099772,-0.15093356483619935,-0.06903627635448117,0.041160684392678615,-0.2846779342004715,0.03421268800410826
2016-05-19,0.11627360372788531,-0.0745224648734043,-0.05802476927638911,-0.056626861137454076,-0.09981945872487608,-0.13679972385209116,-0.10327131703910508,-0.09761230621531869,0.014540629796906623,-0.08571780801039508,0.008818938038329671,-0.10033955702659836,-0.032170955047271854,-0.05119952738437439,-0.11140769928940242,-0.05396710116073988,0.047529245453988844,0.03922731247282685,0.0691223788802231,0.13413409810456667,-0.03075408932102308,0.04698412035840782,0.06544241167302389,0.11465667920068157,0.2659022726826177,0.19928745356617128,-0.16121410377806,-0.07795017190455511,0.03819735317720996,-0.2919238962238667,0.03008871994099782
2016-05-20,0.12860411480959533,-0.06831761728392827,-0.05157381030504782,-0.04848993269917168,-0.09229826495762772,-0.12847144790643217,-0.09756012046333784,-0.091426927459203,0.018233763155239613,-0.07687417062423263,0.013282313875872642,-0.09131918139206685,-0.02589360362298354,-0.04469115252330447,-0.10332155735707149,-0.044305334475450264,0.05825655810634278,0.04845429346862051,0.08298769933448491,0.14753945589328965,-0.027573090362811636,0.04965307884129411,0.06892903702245423,0.13076706904453994,0.28181261591740303,0.20920079495949295,-0.15562991686678473,-0.0688175116083305,0.049468753856757086,-0.2838008685492601,0.03679280162776366
2016-05-21,0.12860411480959533,-0.06831761728392827,-0.05157381030504782,-0.04848993269917168,-0.09229826495762772,-0.12847144790643217,-0.09756012046333784,-0.091426927459203,0.018233763155239613,-0.07687417062423263,0.013282313875872642,-0.09131918139206685,-0.02589360362298354,-0.04469115252330447,-0.10332155735707149,-0.044305334475450264,0.05825655810634278,0.04845429346862051,0.08298769933448491,0.14753945589328965,-0.027573090362811636,0.04965307884129411,0.06892903702245423,0.13076706904453994,0.28181261591740303,0.20920079495949295,-0.15562991686678473,-0.0688175116083305,0.049468753856757086,-0.2838008685492601,0.03679280162776366
2016-05-22,0.12860411480959533,-0.06831761728392827,-0.05157381030504782,-0.04848993269917168,-0.09229826495762772,-0.12847144790643217,-0.09756012046333784,-0.091426927459203,0.018233763155239613,-0.07687417062423263,0.013282313875872642,-0.09131918139206685,-0.02589360362298354,-0.04469115252330447,-0.10332155735707149,-0.044305334475450264,0.05825655810634278,0.04845429346862051,0.08298769933448491,0.14753945589328965,-0.027573090362811636,0.04965307884129411,0.06892903702245423,0.13076706904453994,0.28181261591740303,0.20920079495949295,-0.15562991686678473,-0.0688175116083305,0.049468753856757086,-0.2838008685492601,0.03679280162776366
2016-05-23,0.12447411501155181,-0.0691871606422948,-0.05496159654126509,-0.050881059402893114,-0.098842463364741,-0.1329638971973649,-0.09891780415969609,-0.09183030209232146,0.017948518057887775,-0.07625870329238382,0.012791645825886766,-0.09121299711591746,-0.0288436012506067,-0.04808400521869971,-0.10147415864240483,-0.04275624769691133,0.054969997716732166,0.04330674560878767,0.08045159782560307,0.14209742476264253,-0.02681242140670781,0.04680446993620424,0.06717179286194885,0.12954312050321581,0.2811214096610426,0.20587108360968998,-0.1556592263177381,-0.06806883000667563,0.044327879419561844,-0.2835784689188855,0.03202118534293974
2016-05-24,0.1431652235819192,-0.05238290405656243,-0.03701755588692135,-0.03620346717473644,-0.08106870336208849,-0.11810421139947702,-0.08424946858785809,-0.07365670137489344,0.032570386773651316,-0.05474811430988136,0.02812358540887261,-0.07021969918975501,-0.015691115982019666,-0.034262275996580493,-0.07847712982392296,-0.021719209112731952,0.07702109541046243,0.06045911776639579,0.10021987360072537,0.165334386318847,-0.015900013782644384,0.05622523840255944,0.07686882421823626,0.15352722606267988,0.3037999925674699,0.22685769878579998,-0.14200998785694208,-0.05222009529715921,0.05867484948890511,-0.2720208702073492,0.04299633591181018
2016-05-25,0.1456795641072659,-0.04918352514854307,-0.03530291218969983,-0.03411754760974328,-0.07680208595516347,-0.11786916391839664,-0.07821713937788377,-0.07280861277051842,0.038330516931320835,-0.05351522346982074,0.0341271504875007,-0.06863970575648815,-0.011207289921103425,-0.027945025007444335,-0.07080977972683211,-0.02030761312971574,0.07972286699046571,0.07201499994356952,0.1009901708813119,0.1670178043961681,-0.013833555389612284,0.060331508829307934,0.08081955474360969,0.15490282954984935,0.3040278931069935,0.23242998384253255,-0.13265086106425972,-0.04013129335794785,0.06845371987886884,-0.2600756851238115,0.04910141770993737
