datetime,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest
2019-08-20,0.2011230668222932,0.8688731381616954,-0.03384280538571771,0.01434755181165448,-0.01359768502086156,0.6971736827741981,0.7808540169658091,0.7810622214891889,0.5874336342711015,0.752065728155962,0.6083388878866745,0.688429337582102,0.6408725781678837,0.45406687591988204,0.3079420987905148,0.5150135913615297,0.10008445681519706,0.2405916870482554,0.0009765285672431734,0.24582916161384816,0.1135459071639715
2019-08-21,0.21278230225044514,0.8942731591611977,-0.026828823273389535,0.016422535558708207,-0.013366183345616789,0.7100728160525882,0.7963318432690292,0.8060971495218596,0.5930698284491596,0.7791283042289516,0.6128917260212059,0.7091144566953245,0.6507067011909493,0.46598486381251725,0.31129693188637675,0.528073529737014,0.10719427550701721,0.2483350191071545,0.007430038670294126,0.2541239548751779,0.11657938698174997
2019-08-22,0.20837407356870896,0.9144926488536913,-0.027605317872765545,0.01710859973459522,-0.02092474225739205,0.7073237749919128,0.799825023555381,0.7924841660367041,0.5909629287644467,0.7621749888598162,0.6039226543805112,0.6928554147053738,0.649388232186481,0.4654219851239374,0.30156057186004115,0.5265522263878997,0.09261638508101444,0.2433807999229336,0.007648588544783008,0.2516898248110886,0.11285486723009353
2019-08-23,0.17149568867582388,0.8836092598598093,-0.05417297734533766,-0.010170481853207458,-0.04190469865068769,0.6641099886843702,0.7652330853469287,0.7615734007209547,0.5591010500475939,0.7298781198690583,0.5725962669127871,0.6606821597579597,0.6192628885901781,0.44142297526186525,0.2795838898520997,0.49224327043085836,0.0673083037589528,0.21754339656109423,-0.010237916160756533,0.22833579311093932,0.08862646670869312
2019-08-24,0.17149568867582388,0.8836092598598093,-0.05417297734533766,-0.010170481853207458,-0.04190469865068769,0.6641099886843702,0.7652330853469287,0.7615734007209547,0.5591010500475939,0.7298781198690583,0.5725962669127871,0.6606821597579597,0.6192628885901781,0.44142297526186525,0.2795838898520997,0.49224327043085836,0.0673083037589528,0.21754339656109423,-0.010237916160756533,0.22833579311093932,0.08862646670869312
2019-08-25,0.17149568867582388,0.8836092598598093,-0.05417297734533766,-0.010170481853207458,-0.04190469865068769,0.6641099886843702,0.7652330853469287,0.7615734007209547,0.5591010500475939,0.7298781198690583,0.5725962669127871,0.6606821597579597,0.6192628885901781,0.44142297526186525,0.2795838898520997,0.49224327043085836,0.0673083037589528,0.21754339656109423,-0.010237916160756533,0.22833579311093932,0.08862646670869312
2019-08-26,0.17981220998073422,0.9052987988025074,-0.045279033359897025,-0.004603440515970392,-0.0436152620744088,0.6783360803234026,0.7790160929917289,0.7622988482162174,0.5494295159062259,0.7327214633432362,0.553259220797139,0.6607728117390146,0.6231306502019207,0.44612172991927146,0.28010409583667095,0.5068486158623611,0.06387554253433514,0.23054425252122046,0.0032568785864983685,0.2368259256304981,0.09521474732805935
2019-08-27,0.1744642462012549,0.8994243517224418,-0.05492792473427821,-0.012797803062067903,-0.05379825416541861,0.6638727106937494,0.7737160501173261,0.742837892506865,0.5123664586905246,0.7233135705074691,0.5125114540689975,0.6471021868591023,0.6023275450966155,0.43062504300199644,0.2738059193077156,0.49889086874358624,0.04517644390251241,0.2261934217899748,0.0039314316721721365,0.23455387282345863,0.0940899546566365
2019-08-28,0.17965238901650626,0.9259466210287297,-0.04723198896244707,-0.0065259917815021495,-0.04702360869001565,0.6775546781206354,0.7920446578872535,0.7391181198987273,0.5284190882168347,0.7216385591132224,0.5332018096462205,0.6500167638060654,0.6262413758518934,0.4510056415621728,0.28350768436331486,0.5064541665256912,0.055101260154566845,0.23596709408039573,0.013393311487975179,0.24858915729996878,0.10644084056286052
2019-08-29,0.19409290742637753,0.9528094272054151,-0.032378349251346306,0.010148972213550822,-0.029916499150289155,0.6910488219127011,0.8193472820431107,0.76607292406486,0.5325945693740743,0.7470350725896566,0.5389944709194514,0.6737737408503279,0.6460635797130079,0.4662826322510958,0.29316754178794735,0.5268878208794623,0.0760179092782296,0.24827019002112016,0.026846376561711516,0.2615650731558552,0.11548258792134658
