,SmartGlobal Max-Growth,Benchmark-Growth
2017/1/19,1.06885182,1.044568216
2017/1/20,1.071893288,1.04675816
2017/1/23,1.073262582,1.048521448
2017/1/24,1.076861785,1.050573051
2017/1/25,1.082058329,1.054756315
2017/1/26,1.08040006,1.054929915
2017/1/27,1.079857078,1.055372185
2017/1/30,1.075534337,1.051462146
2017/1/31,1.077551039,1.051823761
2017/2/1,1.078390475,1.051928341
2017/2/2,1.079550335,1.052888352
2017/2/3,1.08356416,1.056139955
2017/2/6,1.081853254,1.055746476
2017/2/7,1.080132096,1.055661832
2017/2/8,1.082694273,1.058349059
2017/2/9,1.085717788,1.059281021
2017/2/10,1.088824845,1.061746935
2017/2/13,1.091063631,1.064639325
2017/2/14,1.091764931,1.063947713
2017/2/15,1.093942574,1.067013239
2017/2/16,1.094587874,1.06941894
2017/2/17,1.094038384,1.069425982
2017/2/21,1.098999923,1.072020107
2017/2/22,1.098682341,1.072456972
2017/2/23,1.09911339,1.074256548
2017/2/24,1.097876697,1.073640661
2017/2/27,1.09801462,1.07267684
2017/2/28,1.095282685,1.071637053
2017/3/1,1.102821179,1.075281449
2017/3/2,1.095844134,1.072149792
2017/3/3,1.098137974,1.071917267
2017/3/6,1.096173911,1.071210595
2017/3/7,1.093718738,1.069214065
2017/3/8,1.088923834,1.066183069
2017/3/9,1.087822432,1.064461138
2017/3/10,1.091800981,1.068296156
2017/3/13,1.094383203,1.070064831
2017/3/14,1.090721192,1.06807485
2017/3/15,1.102543488,1.074120217
2017/3/16,1.103279337,1.078649045
2017/3/17,1.102846475,1.078948038
2017/3/20,1.103198302,1.079334307
2017/3/21,1.096433661,1.075660568
2017/3/22,1.098001741,1.074776806
2017/3/23,1.098774398,1.075225269
2017/3/24,1.100053053,1.076008261
2017/3/27,1.100798523,1.076068566
2017/3/28,1.103677248,1.08005073
2017/3/29,1.105733558,1.080105329
2017/3/30,1.105051663,1.080401499
2017/3/31,1.104483809,1.078008974
2017/4/3,1.105057248,1.07806019
2017/4/4,1.105316269,1.07838855
2017/4/5,1.103307224,1.077324717
2017/4/6,1.104627124,1.077360976
2017/4/7,1.103935171,1.076234708
2017/4/10,1.103707598,1.076709998
2017/4/11,1.105915094,1.078227025
2017/4/12,1.104624531,1.076967683
2017/4/13,1.10067531,1.075390606
2017/4/17,1.104907109,1.079302469
2017/4/18,1.102356684,1.077509111
2017/4/19,1.099860101,1.075960743
2017/4/20,1.105681433,1.079279909
2017/4/21,1.104665569,1.078235025
2017/4/24,1.113063602,1.087941828
2017/4/25,1.116501663,1.091038965
2017/4/26,1.116085069,1.091550664
2017/4/27,1.116200781,1.091314184
2017/4/28,1.11524042,1.090601427
2017/5/1,1.116803023,1.09122683
2017/5/2,1.118331129,1.093829978
2017/5/3,1.11555277,1.092533884
2017/5/4,1.114627419,1.092306601
2017/5/5,1.118947542,1.095694065
2017/5/8,1.115975778,1.09606838
2017/5/9,1.115923318,1.094690374
2017/5/10,1.118380719,1.095852437
2017/5/11,1.11738332,1.094930207
2017/5/12,1.119518897,1.097142379
2017/5/15,1.12E+00,1.10E+00
2017/5/16,1.125610889,1.102769131
2017/5/17,1.11628241,1.096863954
2017/5/18,1.115748808,1.094230524
2017/5/19,1.12228178,1.099132301
2017/5/22,1.124423054,1.103029176
2017/5/23,1.124301917,1.103004594
2017/5/24,1.126439594,1.103832784
2017/5/25,1.129268352,1.107095197
2017/5/26,1.129476167,1.106573116
2017/5/30,1.128844966,1.106197435
2017/5/31,1.129070477,1.106703199
2017/6/1,1.134717129,1.110274375
2017/6/2,1.138544951,1.115864002
2017/6/5,1.136503592,1.114558928
2017/6/6,1.136706488,1.113311233
2017/6/7,1.136470563,1.113075126
2017/6/8,1.137834218,1.112087608
2017/6/9,1.136119399,1.111455463
2017/6/12,1.134863952,1.109134342
2017/6/13,1.139548948,1.112592872
2017/6/14,1.137720952,1.11501524
2017/6/15,1.132922033,1.109172852
2017/6/16,1.134648834,1.111511777
2017/6/19,1.138831685,1.116153328
2017/6/20,1.133042443,1.112129049
2017/6/21,1.132876559,1.111118593
2017/6/22,1.133992534,1.111876131
2017/6/23,1.136946748,1.113454895
2017/6/26,1.139127842,1.115165558
2017/6/27,1.134658442,1.110681993
2017/6/28,1.140462587,1.114675461
2017/6/29,1.1342806,1.110123762
2017/6/30,1.135715275,1.108252397
2017/7/3,1.135977045,1.109076011
2017/7/5,1.13615304,1.10900704
2017/7/6,1.129869392,1.104399568
2017/7/7,1.132723137,1.10505385
2017/7/10,1.134250021,1.107472672
2017/7/11,1.136061902,1.107896259
2017/7/12,1.142789041,1.115317031
2017/7/13,1.144264804,1.117123523
2017/7/14,1.149089653,1.121695194
2017/7/17,1.147780302,1.122617695
2017/7/18,1.148791371,1.124016286
2017/7/19,1.154436584,1.127501637
2017/7/20,1.155281157,1.129131303
2017/7/21,1.154009579,1.128470213
2017/7/24,1.154514195,1.127094681
2017/7/25,1.155144302,1.127242585
2017/7/26,1.157240069,1.128693602
2017/7/27,1.155015489,1.129284426
2017/7/28,1.155455442,1.128336405
2017/7/31,1.15628308,1.128823486
2017/8/1,1.159289561,1.133018332
2017/8/2,1.158338209,1.132924399
2017/8/3,1.156525853,1.132638768
2017/8/4,1.156949508,1.131747765
2017/8/7,1.158271046,1.133914084
2017/8/8,1.156183375,1.131989572
2017/8/9,1.154262115,1.130389435
2017/8/10,1.143426681,1.122665878
2017/8/11,1.143880398,1.121089173
2017/8/14,1.150398842,1.126508769
2017/8/15,1.14886027,1.124527112
2017/8/16,1.152212232,1.12754247
2017/8/17,1.143432013,1.122551674
2017/8/18,1.144321103,1.120330991
2017/8/21,1.145259182,1.121559557
2017/8/22,1.150442225,1.125895307
2017/8/23,1.150747407,1.126005985
2017/8/24,1.150069829,1.125337582
2017/8/25,1.154376536,1.127620242
2017/8/28,1.156043633,1.128407647
2017/8/29,1.155192913,1.128011037
2017/8/30,1.157404665,1.129235986
2017/8/31,1.162739706,1.133743705
2017/9/1,1.165214568,1.135244432
2017/9/5,1.162101108,1.132947333
2017/9/6,1.164514949,1.133468571
2017/9/7,1.166858775,1.136749518
2017/9/8,1.165236445,1.136684766
2017/9/11,1.170299043,1.14178444
2017/9/12,1.172437198,1.143373772
2017/9/13,1.17103073,1.142332992
2017/9/14,1.171458074,1.141422517
2017/9/15,1.173204787,1.142989333
2017/9/18,1.174065949,1.144355728
2017/9/19,1.174399635,1.145841053
2017/9/20,1.174214861,1.146299862
2017/9/21,1.172726678,1.143340246
2017/9/22,1.173158696,1.144602025
2017/9/25,1.170073989,1.142650019
2017/9/26,1.169855801,1.140020207
2017/9/27,1.170784857,1.13991603
2017/9/28,1.17218098,1.141166662
2017/9/29,1.175234502,1.14453826
2017/10/2,1.177395602,1.145949322
2017/10/3,1.181329942,1.148886951
2017/10/4,1.181901088,1.149661228
2017/10/5,1.18391784,1.151022639
2017/10/6,1.182510035,1.149952451
2017/10/9,1.182510035,1.149455288
2017/10/10,1.185537529,1.153776515
2017/10/11,1.187263651,1.155141544
2017/10/12,1.187389772,1.155596062
2017/10/13,1.190383026,1.158247945
2017/10/16,1.189652049,1.158799393
2017/10/17,1.188460365,1.157698393
2017/10/18,1.189530569,1.157949289
2017/10/19,1.187984912,1.158443791
2017/10/20,1.189610688,1.158351411
2017/10/23,1.186596903,1.156659509
2017/10/24,1.188204978,1.156337041
2017/10/25,1.185055537,1.153108256
2017/10/26,1.185182943,1.153167832
2017/10/27,1.191542853,1.156869355
2017/10/30,1.190012133,1.15856458
2017/10/31,1.192658551,1.159450022
2017/11/1,1.193782453,1.161623377
2017/11/2,1.194726809,1.162732335
2017/11/3,1.194571599,1.16345784
2017/11/6,1.198233207,1.164801682
2017/11/7,1.195344098,1.165238203
2017/11/8,1.196173358,1.166097354
2017/11/9,1.192986216,1.162881696
2017/11/10,1.192237599,1.160320049
2017/11/13,1.191509789,1.158491299
2017/11/14,1.18890456,1.157251362
2017/11/15,1.185286526,1.153965066
2017/11/16,1.193454526,1.159457401
2017/11/17,1.193796933,1.159635792
2017/11/20,1.195216755,1.160208433
2017/11/21,1.202327896,1.165419399
2017/11/22,1.203756708,1.1677632
2017/11/24,1.203999275,1.170343247
2017/11/27,1.200150673,1.168579478
2017/11/28,1.205802893,1.172139585
2017/11/29,1.202385895,1.17088427
2017/11/30,1.203899726,1.172209537
2017/12/1,1.202098452,1.170413133
2017/12/4,1.201166884,1.17084307
2017/12/5,1.199459552,1.168984002
2017/12/6,1.196473847,1.166441887
2017/12/7,1.198306501,1.167264208
2017/12/8,1.202769804,1.171251476
2017/12/11,1.205694005,1.174424026
2017/12/12,1.203846054,1.174365094
2017/12/13,1.207354441,1.176439925
2017/12/14,1.203615061,1.174664058
2017/12/15,1.206796257,1.176958774
2017/12/18,1.212577131,1.183215455
2017/12/19,1.210381058,1.179391271
2017/12/20,1.210906271,1.178390053
2017/12/21,1.214582519,1.180743172
2017/12/22,1.215923231,1.180803091
2017/12/26,1.216801041,1.181067313
2017/12/27,1.216479412,1.184025913
2017/12/28,1.218901791,1.185684108
2017/12/29,1.218643752,1.185529577
2018/1/2,1.225821244,1.189961384
2018/1/3,1.231052599,1.194031859
2018/1/4,1.23503181,1.200060469
2018/1/5,1.239380439,1.204790397
2018/1/8,1.240084118,1.205722558
2018/1/9,1.239406606,1.205584295
2018/1/10,1.237967449,1.205175624
2018/1/11,1.244519051,1.20875628
2018/1/12,1.250196239,1.213905268
2018/1/16,1.24734716,1.215916899
2018/1/17,1.25349454,1.219293818
2018/1/18,1.251599039,1.217953436
2018/1/19,1.256296768,1.221210288
2018/1/22,1.262117226,1.225632856
2018/1/23,1.265767976,1.230457867
2018/1/24,1.266797271,1.231098413
2018/1/25,1.265246874,1.233158215
2018/1/26,1.272368382,1.237795197
2018/1/29,1.263531423,1.232105481
2018/1/30,1.254916665,1.223366134
2018/1/31,1.256796711,1.223924702
2018/2/1,1.254201011,1.222128737
2018/2/2,1.237080556,1.205782391
2018/2/5,1.212006006,1.183302187
2018/2/6,1.223699951,1.179369932
2018/2/7,1.212419802,1.178411281
2018/2/8,1.189209214,1.158918567
2018/2/9,1.194096403,1.159366006
2018/2/12,1.204888939,1.167846187
2018/2/13,1.206582549,1.170311115
2018/2/14,1.217818027,1.178515769
2018/2/15,1.227205932,1.188716816
2018/2/16,1.227791176,1.191194263
2018/2/20,1.220427684,1.186672394
2018/2/21,1.216856781,1.184313298
2018/2/22,1.218689943,1.183637901
2018/2/23,1.229568175,1.193466077
2018/2/26,1.237429466,1.200226663
2018/2/27,1.223598117,1.19238999
2018/2/28,1.215531238,1.184519738
2018/3/1,1.209099081,1.176320253
2018/3/2,1.213999264,1.174292978
2018/3/5,1.218885932,1.178821119
2018/3/6,1.223015828,1.184074808
2018/3/7,1.222324847,1.182889765
2018/3/8,1.224417985,1.186798323
2018/3/9,1.234731889,1.19506557
2018/3/12,1.235352094,1.19836485
2018/3/13,1.229662132,1.195696427
2018/3/14,1.22927279,1.192659623
2018/3/15,1.227592489,1.191873398
2018/3/16,1.227165113,1.191490404
2018/3/19,1.219117795,1.183190703
2018/3/20,1.221311563,1.183036959
2018/3/21,1.22327133,1.181942231
2018/3/22,1.20611919,1.170526637
2018/3/23,1.19408074,1.156792918
2018/3/26,1.211864665,1.168011186
2018/3/27,1.202151915,1.165005507
2018/3/28,1.200137952,1.160904449
2018/3/29,1.211947977,1.168067928
2018/4/2,1.198116742,1.15956275
2018/4/3,1.20597253,1.161971592
2018/4/4,1.210446401,1.164844962
2018/4/5,1.214706144,1.171360002
2018/4/6,1.203157193,1.163147697
2018/4/9,1.20654137,1.165955936
2018/4/10,1.218468044,1.176101355
2018/4/11,1.217483304,1.17394398
2018/4/12,1.22009608,1.175895264
2018/4/13,1.217505801,1.174783611
2018/4/16,1.220465378,1.177882585
2018/4/17,1.224748709,1.183746581
2018/4/18,1.226992517,1.185913688
2018/4/19,1.222848523,1.182921611
2018/4/20,1.21602828,1.175607706
2018/4/23,1.214726372,1.173608552
2018/4/24,1.210501164,1.167889505
2018/4/25,1.209062266,1.164395131
2018/4/26,1.214337431,1.1705235
2018/4/27,1.215457242,1.173479547
2018/4/30,1.211648246,1.171446236
2018/5/1,1.21065652,1.169477171
2018/5/2,1.207207919,1.166488832
2018/5/3,1.20729022,1.164035473
2018/5/4,1.212710806,1.169821933
2018/5/7,1.214965475,1.172545942
2018/5/8,1.215767044,1.171782998
2018/5/9,1.21996782,1.176032159
2018/5/10,1.228156806,1.182214855
2018/5/11,1.228348807,1.185804335
2018/5/14,1.229168298,1.18725576
2018/5/15,1.22130331,1.178649102
2018/5/16,1.225665304,1.179750938
2018/5/17,1.223560545,1.17938514
2018/5/18,1.221644384,1.178224378
2018/5/21,1.226864071,1.181430712
2018/5/22,1.22516301,1.18127009
2018/5/23,1.223616115,1.179929077
2018/5/24,1.22272902,1.179069776
2018/5/25,1.221206143,1.177883144
2018/5/29,1.212672667,1.171502003
2018/5/30,1.220899817,1.174377492
2018/5/31,1.217824865,1.172939573
2018/6/1,1.223120356,1.177518038
2018/6/4,1.225742169,1.182224757
2018/6/5,1.226506774,1.18150264
2018/6/6,1.232873339,1.186370282
2018/6/7,1.229491937,1.187467334
2018/6/8,1.230206908,1.18622047
2018/6/11,1.232035759,1.188232667
2018/6/12,1.231877783,1.188824713
2018/6/13,1.229054103,1.186335282
2018/6/14,1.229643089,1.186886664
2018/6/15,1.226012282,1.18380588
2018/6/18,1.223026691,1.180336316
2018/6/19,1.217388522,1.174509915
2018/6/20,1.219545871,1.176558328
2018/6/21,1.212934194,1.172003745
2018/6/22,1.217640981,1.175432295
2018/6/25,1.206279089,1.165045792
2018/6/26,1.206902029,1.165688626
2018/6/27,1.198514262,1.161679605
2018/6/28,1.201624662,1.161912167
2018/6/29,1.206096395,1.167061119
2018/7/2,1.201446152,1.163546509
2018/7/3,1.201666518,1.164089483
2018/7/5,1.206189619,1.168537469
2018/7/6,1.213161559,1.175111791
2018/7/9,1.222116397,1.181697253
2018/7/10,1.22314001,1.183126956
2018/7/11,1.213114353,1.176791637
2018/7/12,1.221823291,1.18160051
2018/7/13,1.222609919,1.183868677
2018/7/16,1.220200452,1.182321032
2018/7/17,1.222532425,1.18400293
2018/7/18,1.222436347,1.184987667
2018/7/19,1.218968318,1.182583616
2018/7/20,1.222218657,1.183769068
2018/7/23,1.221414296,1.182412893
2018/7/24,1.226960539,1.187660003
2018/7/25,1.23427206,1.192156954
2018/7/26,1.230100798,1.191620258
2018/7/27,1.227257832,1.190353044
2018/7/30,1.224342609,1.187441628
2018/7/31,1.228410881,1.189183716
2018/8/1,1.223778311,1.187132781
2018/8/2,1.222413168,1.185311224
2018/8/3,1.224440602,1.189129925
2018/8/6,1.223773223,1.189986229
2018/8/7,1.229001948,1.193034673
2018/8/8,1.227264209,1.192829919
2018/8/9,1.22790512,1.192579174
2018/8/10,1.219861568,1.184950242
2018/8/13,1.214836778,1.178891001
2018/8/14,1.218922681,1.181723243
2018/8/15,1.206843333,1.174025941
2018/8/16,1.212795566,1.178615145
2018/8/17,1.217245848,1.181066072
2018/8/20,1.2192243,1.18539826
2018/8/21,1.224412627,1.187959816
2018/8/22,1.22596628,1.190175707
2018/8/23,1.221286026,1.187884073
2018/8/24,1.228930547,1.191951424
