,SmartXray Onshore-Growth,Benchmark-Growth
2017/1/12,0.978267989,0.93740315
2017/1/13,0.97659878,0.936443024
2017/1/16,0.975017631,0.934863836
2017/1/17,0.977200594,0.934765163
2017/1/18,0.980269253,0.935579099
2017/1/19,0.978850381,0.933654875
2017/1/20,0.984100291,0.937603159
2017/1/23,0.98457826,0.940253268
2017/1/24,0.984502941,0.940964203
2017/1/25,0.986486188,0.940669215
2017/1/26,0.98855475,0.942234948
2017/2/3,0.984649182,0.938424806
2017/2/6,0.987159147,0.940485568
2017/2/7,0.985999024,0.939048167
2017/2/8,0.988596863,0.941513373
2017/2/9,0.990993192,0.944631537
2017/2/10,0.992006869,0.947001673
2017/2/13,0.997676413,0.950450581
2017/2/14,0.996975492,0.950600641
2017/2/15,0.993963507,0.949642651
2017/2/16,0.99649978,0.952814558
2017/2/17,0.994225571,0.949035723
2017/2/20,1.004590416,0.956111685
2017/2/21,1.007399582,0.958124824
2017/2/22,1.009572587,0.959703356
2017/2/23,1.010304843,0.95837035
2017/2/24,1.010009444,0.958872115
2017/2/27,1.004297896,0.954916029
2017/2/28,1.005414944,0.957102619
2017/3/1,1.006370017,0.95767165
2017/3/2,1.002813142,0.954463642
2017/3/3,1.004293971,0.952444807
2017/3/6,1.009465837,0.955032948
2017/3/7,1.012304504,0.956550549
2017/3/8,1.010974359,0.95587828
2017/3/9,1.007342812,0.951481028
2017/3/10,1.008918883,0.950747458
2017/3/13,1.014819355,0.95515189
2017/3/14,1.014226807,0.95593844
2017/3/15,1.016832366,0.956269919
2017/3/16,1.019092386,0.961597503
2017/3/17,1.013765175,0.956123714
2017/3/20,1.016263041,0.958325153
2017/3/21,1.023749382,0.959819326
2017/3/22,1.025432915,0.957057433
2017/3/23,1.025870489,0.957665577
2017/3/24,1.029544906,0.96168343
2017/3/27,1.025546115,0.961818249
2017/3/28,1.024389051,0.959559117
2017/3/29,1.023423988,0.957427448
2017/3/30,1.018268403,0.951997976
2017/3/31,1.022958586,0.95391365
2017/4/5,1.029097963,0.961938059
2017/4/6,1.030462239,0.9636236
2017/4/7,1.030101574,0.965000608
2017/4/10,1.025451233,0.962131124
2017/4/11,1.024854857,0.965304403
2017/4/12,1.02438848,0.962768604
2017/4/13,1.027383038,0.963071127
2017/4/14,1.021450077,0.957876871
2017/4/17,1.021247604,0.95282684
2017/4/18,1.02449114,0.947927416
2017/4/19,1.023960824,0.943507149
2017/4/20,1.030667193,0.943415628
2017/4/21,1.02927057,0.943219444
2017/4/24,1.022548191,0.935074861
2017/4/25,1.028592558,0.936153933
2017/4/26,1.027138068,0.937147863
2017/4/27,1.029290106,0.939066931
2017/4/28,1.025956786,0.939481102
2017/5/2,1.025289085,0.937760441
2017/5/3,1.024719805,0.93552494
2017/5/4,1.022368051,0.933699788
2017/5/5,1.019799962,0.929031527
2017/5/8,1.0135022,0.924263875
2017/5/9,1.013029572,0.924167701
