,SmartXray Offshore-Growth,Benchmark Offshore-Growth
2017/2/22,1.325643795,1.075845468
2017/2/23,1.325513098,1.079048191
2017/2/24,1.32011634,1.078531919
2017/2/27,1.315396883,1.079076835
2017/2/28,1.30763509,1.078374069
2017/3/1,1.313931815,1.080864499
2017/3/2,1.306001175,1.076889894
2017/3/3,1.302657364,1.077045539
2017/3/6,1.302956291,1.076749052
2017/3/7,1.298701362,1.074377196
2017/3/8,1.288210856,1.07041272
2017/3/9,1.283038617,1.069905576
2017/3/10,1.288068471,1.073988961
2017/3/13,1.296036663,1.075859104
2017/3/14,1.289560518,1.073236467
2017/3/15,1.300112948,1.078604653
2017/3/16,1.309213134,1.084659611
2017/3/17,1.306156323,1.084809952
2017/3/20,1.308018182,1.084543916
2017/3/21,1.303974133,1.081084417
2017/3/22,1.306296339,1.081048264
2017/3/23,1.303751187,1.081512108
2017/3/24,1.30480911,1.082280504
2017/3/27,1.305282559,1.083793413
2017/3/28,1.30840874,1.088414171
2017/3/29,1.31322636,1.08634043
2017/3/30,1.312639676,1.087181847
2017/3/31,1.31130869,1.084420688
2017/4/3,1.31384767,1.083304682
2017/4/5,1.319703302,1.082187445
2017/4/6,1.320586942,1.082732858
2017/4/7,1.320300419,1.081801646
2017/4/10,1.321729249,1.081940678
2017/4/11,1.323500969,1.084506459
2017/4/12,1.324929082,1.083082316
2017/4/13,1.322342335,1.080708693
2017/4/18,1.321934832,1.084368366
2017/4/19,1.313471746,1.083185419
2017/4/20,1.313682785,1.087255342
2017/4/21,1.313235081,1.08483054
2017/4/24,1.318597174,1.096357839
2017/4/25,1.318535588,1.099262143
2017/4/26,1.3147606,1.098590522
2017/4/27,1.313231338,1.098734371
2017/4/28,1.312926637,1.097977492
2017/5/2,1.314458944,1.100421759
2017/5/4,1.303323056,1.099824488
2017/5/5,1.308462879,1.104112306
2017/5/8,1.310189879,1.10328897
2017/5/9,1.311346482,1.1000798
2017/5/10,1.317284586,1.101042131
2017/5/11,1.319680464,1.09934684
2017/5/12,1.325403267,1.101874657
