Date,Portfolio-80,202015.OF,110023.OF
2016/5/25,1.452023488,1.217674631,1.26645768
2016/5/26,1.456684015,1.21973248,1.267502612
2016/5/27,1.455192357,1.218932205,1.254963427
2016/5/30,1.456078923,1.220304104,1.247648903
2016/5/31,1.496426525,1.260203498,1.298850575
2016/6/1,1.498763546,1.257116726,1.305120167
2016/6/2,1.503055934,1.259974849,1.313479624
2016/6/3,1.517479609,1.27072139,1.335423197
2016/6/6,1.520292275,1.268091917,1.329153605
2016/6/7,1.522602813,1.267634618,1.331243469
2016/6/8,1.514276328,1.263290271,1.312434692
2016/6/13,1.475349775,1.225220075,1.257053292
2016/6/14,1.48535766,1.228992798,1.26645768
2016/6/15,1.509831351,1.245455585,1.301985371
2016/6/16,1.505121318,1.238024466,1.295715778
2016/6/17,1.515821458,1.24465531,1.32183908
2016/6/20,1.517008919,1.245912884,1.31661442
2016/6/21,1.507195231,1.243283411,1.295715778
2016/6/22,1.519418223,1.254258603,1.313479624
2016/6/23,1.514752967,1.248999657,1.307210031
2016/6/24,1.504863079,1.235280668,1.300940439
2016/6/27,1.529919259,1.252543729,1.329153605
2016/6/28,1.53608848,1.259060249,1.355276907
2016/6/29,1.538145264,1.26489082,1.353187043
2016/6/30,1.538327973,1.266491368,1.352142111
2016/7/1,1.537373957,1.267062993,1.34691745
2016/7/4,1.55744214,1.289585001,1.36677116
2016/7/5,1.562371866,1.294386647,1.362591432
2016/7/6,1.574776268,1.299645593,1.377220481
2016/7/7,1.574164952,1.299645593,1.39184953
2016/7/8,1.56948596,1.294958271,1.382445141
2016/7/11,1.574051784,1.299531268,1.374085684
2016/7/12,1.603188941,1.326511947,1.402298851
2016/7/13,1.602535579,1.332914142,1.399164054
2016/7/14,1.599356623,1.330741969,1.389759666
2016/7/15,1.60106709,1.331427918,1.388714734
2016/7/18,1.595678118,1.325940322,1.389759666
2016/7/19,1.58812374,1.321367326,1.386624869
2016/7/20,1.586198091,1.317365954,1.384535005
2016/7/21,1.590335285,1.323196525,1.386624869
2016/7/22,1.575275517,1.312792958,1.369905956
