Date,Price,Position,PortfolioValue
2016-11-10,1.6303897809999999,132.90007834298257,216.67892962449818
2016-11-11,1.630134262,132.90007834298257,216.64497112938005
2016-11-14,1.630884391,132.90007834298257,216.7446633322474
2016-11-15,1.6353231819999998,132.90007834298257,217.33457900389553
2016-11-16,1.635929938,132.90007834298257,217.41521692383063
2016-11-17,1.63710941,132.90007834298257,217.57196884503398
2016-11-18,1.63158289,132.90007834298257,216.8374939040699
2016-11-21,1.636458196,132.90007834298257,217.4854224534159
2016-11-22,1.644496254,132.90007834298257,218.55368099134137
2016-11-23,1.6456243819999998,132.90007834298257,218.70360929092226
2016-11-24,1.6481216669999998,132.90007834298257,219.03549866306702
2016-11-25,1.655908375,132.90007834298257,220.07035276630097
2016-11-28,1.6620549180000002,132.90007834298257,220.8872288125395
2016-11-29,1.67023895,132.90007834298257,221.97488730650096
2016-11-30,1.661546575,132.90007834298257,220.81966998801437
2016-12-01,1.668674385,132.90007834298257,221.76695649542827
2016-12-02,1.6515824609999998,132.90007834298257,219.49543845679594
2016-12-05,1.63630738,132.90007834298257,217.46537899520055
2016-12-06,1.639318633,132.90007834298257,217.8655747548111
2016-12-07,1.645805646,132.90007834298257,218.72769929072302
2016-12-08,1.646172299,132.90007834298257,218.77642750314774
2016-12-09,1.6499636640000002,132.90007834298257,219.2803002086746
2016-12-12,1.6114207409999999,132.90007834298257,214.157942722407
2016-12-13,1.61253218,132.90007834298257,214.30565305258048
2016-12-14,1.6021243180000002,132.90007834298257,212.92244737739753
2016-12-15,1.589879194,132.90007834298257,211.29506943847798
2016-12-16,1.5971572219999999,132.90007834298257,212.26231992986038
2016-12-19,1.5922636490000002,132.90007834298257,211.61196369478333
2016-12-20,1.586825575,132.90007834298257,210.88924323414835
2016-12-21,1.597154585,132.90007834298257,212.2619694723538
2016-12-22,1.596304229,132.90007834298257,212.1489570933344
2016-12-23,1.585638867,132.90007834298257,210.7315296479781
2016-12-26,1.589592179,132.90007834298257,211.25692512249236
2016-12-27,1.590831668,132.90007834298257,211.42165330769765
2016-12-28,1.586532,132.90007834298257,210.8502270936488
2016-12-29,1.58427284,132.90007834298257,210.54998455265948
2016-12-30,1.591170988,132.90007834298257,211.46674896228097
2017-01-03,1.601392561,132.90007834298257,212.82519681476947
2017-01-04,1.6148960890000001,132.90007834298257,214.61981674387616
2017-01-05,1.612522029,132.90007834298257,214.3043039838852
2017-01-06,1.604953825,132.90007834298257,213.29848907936952
2017-01-09,1.6109738130000002,132.90007834298257,214.09854595619336
2017-01-10,1.60888599,132.90007834298257,213.82107411592708
2017-01-11,1.59829543,132.90007834298257,212.41358786223103
2017-01-12,1.589304829,132.90007834298257,211.2187362849805
2017-01-13,1.584387135,132.90007834298257,210.5651743671137
2017-01-16,1.578578709,132.90007834298257,209.7932340966643
2017-01-17,1.585062363,132.90007834298257,210.65491222121307
2017-01-18,1.591325342,132.90007834298257,211.48726262097352
2017-01-19,1.588292751,132.90007834298257,211.0842310394913
2017-01-20,1.60004239,132.90007834298257,212.64575898309306
2017-01-23,1.6015785669999998,132.90007834298257,212.84991702674174
2017-01-24,1.600218215,132.90007834298257,212.6691261393677
2017-01-25,1.6039629919999998,132.90007834298257,213.1668072960447
2017-01-26,1.608157803,132.90007834298257,213.72429800657875
2017-02-03,1.6012481809999999,132.90007834298257,212.80600870145832
2017-02-06,1.607880425,132.90007834298257,213.6874344486481
2017-02-07,1.605651815,132.90007834298257,213.39125200505217
2017-02-08,1.612293786,132.90007834298257,214.27397047130395
2017-02-09,1.617218367,132.90007834298257,214.92844767201032
2017-02-10,1.618426669,132.90007834298257,215.08903110247232
2017-02-13,1.630550437,132.90007834298257,216.70028081948445
2017-02-14,1.62956056,132.90007834298257,216.56872608863455
2017-02-15,1.6241725280000001,132.90007834298257,215.85265621372005
2017-02-16,1.6298109440000002,132.90007834298257,216.6020021418504
2017-02-17,1.625189705,132.90007834298257,215.98783911670873
2017-02-20,1.6464935219999999,132.90007834298257,218.81911806501327
2017-02-21,1.653151864,132.90007834298257,219.70401223844766
2017-02-22,1.65747901,132.90007834298257,220.2790902808492
2017-02-23,1.6564398530000002,132.90007834298257,220.14098623413855
2017-02-24,1.6568507080000001,132.90007834298257,220.19558889582615
2017-02-27,1.6451550069999998,132.90007834298257,218.64122931665003
2017-02-28,1.647735739,132.90007834298257,218.9842088016323
2017-03-01,1.6503080019999998,132.90007834298257,219.326062755851
2017-03-02,1.643745376,132.90007834298257,218.45388924631536
2017-03-03,1.646080384,132.90007834298257,218.76421199244683
2017-03-06,1.6590031159999998,132.90007834298257,220.48164408765217
2017-03-07,1.6654781669999998,132.90007834298257,221.342178872827
2017-03-08,1.662699589,132.90007834298257,220.97290563894492
2017-03-09,1.6556900030000001,132.90007834298257,220.04133111039306
2017-03-10,1.6594946380000002,132.90007834298257,220.54696739995953
2017-03-13,1.673320712,132.90007834298257,222.38445371773537
2017-03-14,1.670732451,132.90007834298257,222.04047362806327
2017-03-15,1.6770049130000002,132.90007834298257,222.8740843192667
2017-03-16,1.681297941,132.90007834298257,223.44462807679528
2017-03-17,1.669035604,132.90007834298257,221.81496252882724
2017-03-20,1.674255854,132.90007834298257,222.5087341627972
2017-03-21,1.6903310980000001,132.90007834298257,224.64513534977976
2017-03-22,1.69534618,132.90007834298257,225.31164014047624
2017-03-23,1.6966116130000002,132.90007834298257,225.47981628531406
2017-03-24,1.7034882580000001,132.90007834298257,226.39372294455092
2017-03-27,1.6951912219999998,132.90007834298257,225.29104621013633
2017-03-28,1.6928859840000001,132.90007834298257,224.98467989933715
2017-03-29,1.690975364,132.90007834298257,224.73075835165346
2017-03-30,1.67752535,132.90007834298257,222.94325043733926
2017-03-31,1.688122752,132.90007834298257,224.35164599337133
2017-04-05,1.70146962,132.90007834298257,226.12544579620476
2017-04-06,1.7045426030000002,132.90007834298257,226.53384547765145
2017-04-07,1.7049694640000002,132.90007834298257,226.59057533799302
2017-04-10,1.6940460019999999,132.90007834298257,225.13884638241638
2017-04-11,1.694181229,132.90007834298257,225.1568180613105
2017-04-12,1.694179325,132.90007834298257,225.1565650195613
2017-04-13,1.700455765,132.90007834298257,225.99070438727637
2017-04-14,1.688267287,132.90007834298257,224.37085470619462
2017-04-17,1.688618145,132.90007834298257,224.4174837618819
2017-04-18,1.695370969,132.90007834298257,225.31493460051828
2017-04-19,1.695263485,132.90007834298257,225.30064996849765
2017-04-20,1.708758739,132.90007834298257,227.09417028235612
2017-04-21,1.705516236,132.90007834298257,226.66324137962874
