Date,Price,Position,PortfolioValue
2013/12/20,1.040687005,100,104.0687005
2013/12/23,1.046943776,100,104.6943776
2013/12/24,1.049282676,100,104.9282676
2013/12/25,1.056031401,100,105.6031401
2013/12/26,1.047477307,100,104.7477307
2013/12/27,1.05857713,100,105.857713
2013/12/30,1.058996808,100,105.8996808
2013/12/31,1.066247676,100,106.6247676
2014/1/2,1.068982552,100,106.8982552
2014/1/3,1.061603173,100,106.1603173
2014/1/6,1.045755867,100,104.5755867
2014/1/7,1.047894514,100,104.7894514
2014/1/8,1.054785737,100,105.4785737
2014/1/9,1.046689119,100,104.6689119
2014/1/10,1.03838137,100,103.838137
2014/1/13,1.035333062,100,103.5333062
2014/1/14,1.044979406,100,104.4979406
2014/1/15,1.049476142,100,104.9476142
2014/1/16,1.048015175,100,104.8015175
2014/1/17,1.036060855,100,103.6060855
2014/1/20,1.02838928,100,102.838928
2014/1/21,1.034740251,100,103.4740251
2014/1/22,1.052473522,100,105.2473522
2014/1/23,1.053610225,100,105.3610225
2014/1/24,1.060219609,100,106.0219609
2014/1/27,1.049181771,100,104.9181771
2014/1/28,1.047716733,100,104.7716733
2014/1/29,1.052100357,100,105.2100357
2014/1/30,1.045251033,100,104.5251033
2014/2/7,1.05153396,100,105.153396
2014/2/10,1.071617849,100,107.1617849
2014/2/11,1.073880099,100,107.3880099
2014/2/12,1.076303993,100,107.6303993
2014/2/13,1.065933019,100,106.5933019
2014/2/14,1.074988543,100,107.4988543
2014/2/17,1.083116294,100,108.3116294
2014/2/18,1.07659575,100,107.659575
2014/2/19,1.081042637,100,108.1042637
2014/2/20,1.073516849,100,107.3516849
2014/2/21,1.069529056,100,106.9529056
2014/2/24,1.059746621,100,105.9746621
2014/2/25,1.037800623,100,103.7800623
2014/2/26,1.038864463,100,103.8864463
2014/2/27,1.025728622,100,102.5728622
2014/2/28,1.032694591,100,103.2694591
2014/3/3,1.042340054,100,104.2340054
2014/3/4,1.037052543,100,103.7052543
2014/3/5,1.031855423,100,103.1855423
2014/3/6,1.03139115,100,103.139115
2014/3/7,1.03497498,100,103.497498
2014/3/10,1.015951528,100,101.5951528
2014/3/11,1.021152948,100,102.1152948
2014/3/12,1.022011385,100,102.2011385
2014/3/13,1.031532352,100,103.1532352
2014/3/14,1.026414335,100,102.6414335
2014/3/17,1.035145494,100,103.5145494
2014/3/18,1.034387324,100,103.4387324
2014/3/19,1.024681196,100,102.4681196
2014/3/20,1.009427476,100,100.9427476
2014/3/21,1.026082254,100,102.6082254
2014/3/24,1.026344008,100,102.6344008
2014/3/25,1.026778838,100,102.6778838
2014/3/26,1.03020509,100,103.020509
2014/3/27,1.020138831,100,102.0138831
2014/3/28,1.013029538,100,101.3029538
2014/3/31,1.013937273,100,101.3937273
2014/4/1,1.021345722,100,102.1345722
2014/4/2,1.021363334,100,102.1363334
2014/4/3,1.01759035,100,101.759035
2014/4/4,1.025026552,100,102.5026552
2014/4/8,1.040160068,100,104.0160068
2014/4/9,1.043262153,100,104.3262153
2014/4/10,1.051075572,100,105.1075572
2014/4/11,1.053637581,100,105.3637581
2014/4/14,1.055641603,100,105.5641603
2014/4/15,1.045993266,100,104.5993266
2014/4/16,1.045369096,100,104.5369096
2014/4/17,1.044069742,100,104.4069742
2014/4/18,1.045616045,100,104.5616045
2014/4/21,1.035473882,100,103.5473882
2014/4/22,1.033201139,100,103.3201139
