,NAME,HKSE,SEHKENG,GICS,GICSCODE,GICSENG,LOTSIZE
00116.HK,周生生,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00117.HK,天利控股集团,工业,Industrials,信息技术,45,Information Technology,2000
00118.HK,大同机械,工业,Industrials,工业,20,Industrials,2000
00119.HK,保利置业集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00120.HK,COSMOPOL INT'L,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00122.HK,鳄鱼恤,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00123.HK,越秀地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00124.HK,粤海置地,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00125.HK,新兴光学,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00126.HK,佳宁娜,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00127.HK,华人置业,地产建筑业,Properties & Construction,房地产,60,Real Estate,500
00128.HK,安宁控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
00129.HK,泛海集团,金融业,Financials,房地产,60,Real Estate,2000
00130.HK,慕诗国际,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00131.HK,卓能(集团),地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00132.HK,中国兴业控股,综合企业,Conglomerates,工业,20,Industrials,1000
00133.HK,招商局中国基金,金融业,Financials,金融,40,Financials,2000
00135.HK,昆仑能源,公用事业,Utilities,能源,10,Energy,2000
00136.HK,恒腾网络,资讯科技业,Information Technology,信息技术,45,Information Technology,4000
00137.HK,金辉集团,工业,Industrials,工业,20,Industrials,1000
00138.HK,中建富通,非必需性消费,Consumer Discretionary,工业,20,Industrials,2000
00139.HK,中达集团控股,金融业,Financials,金融,40,Financials,14000
00141.HK,天禧海嘉控股,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00142.HK,第一太平,必需性消费,Consumer Staples,金融,40,Financials,2000
00143.HK,国安国际,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
00144.HK,招商局港口,工业,Industrials,工业,20,Industrials,2000
00145.HK,香港建屋贷款-新,非必需性消费,Consumer Discretionary,工业,20,Industrials,8000
00146.HK,TAI PING CARPET,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00147.HK,国际商业结算,地产建筑业,Properties & Construction,房地产,60,Real Estate,5000
00148.HK,建滔集团,工业,Industrials,工业,20,Industrials,500
00149.HK,中国农产品交易,地产建筑业,Properties & Construction,房地产,60,Real Estate,5000
