,NAME,HKSE,SEHKENG,GICS,GICSCODE,GICSENG,LOTSIZE
01572.HK,中国艺术金融,金融业,Financials,非日常生活消费品,25,Consumer Discretionary,4000
01573.HK,南方能源,能源业,Energy,能源,10,Energy,2000
01575.HK,慕容控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01576.HK,齐鲁高速,工业,Industrials,工业,20,Industrials,1000
01577.HK,汇鑫小贷,金融业,Financials,金融,40,Financials,2000
01578.HK,天津银行,金融业,Financials,金融,40,Financials,500
01579.HK,颐海国际,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,1000
01580.HK,大森控股,原材料业,Materials,原材料,15,Materials,5000
01581.HK,进昇集团控股,地产建筑业,Properties & Construction,工业,20,Industrials,5000
01582.HK,华营建筑,地产建筑业,Properties & Construction,工业,20,Industrials,2500
01583.HK,亲亲食品,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,1000
01585.HK,雅迪控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01586.HK,中国力鸿,非必需性消费,Consumer Discretionary,工业,20,Industrials,4000
01587.HK,欣融国际,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,4000
01588.HK,畅捷通,资讯科技业,Information Technology,信息技术,45,Information Technology,200
01589.HK,中国物流资产,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
01591.HK,汛和集团,地产建筑业,Properties & Construction,工业,20,Industrials,20000
01592.HK,基石控股,地产建筑业,Properties & Construction,原材料,15,Materials,5000
01593.HK,辰林教育,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01596.HK,翼辰实业,工业,Industrials,工业,20,Industrials,1000
01598.HK,21世纪教育,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,3000
01599.HK,城建设计,地产建筑业,Properties & Construction,工业,20,Industrials,1000
01600.HK,天伦燃气,公用事业,Utilities,公用事业,55,Utilities,500
01601.HK,中关村科技租赁,金融业,Financials,金融,40,Financials,2000
01606.HK,国银租赁,金融业,Financials,金融,40,Financials,2000
01608.HK,伟能集团,公用事业,Utilities,工业,20,Industrials,1000
01609.HK,创建集团控股,地产建筑业,Properties & Construction,工业,20,Industrials,2000
01610.HK,中粮肉食,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,1000
01611.HK,火币科技,工业,Industrials,信息技术,45,Information Technology,2000
01612.HK,永胜医疗,医疗保健业,Healthcare,医疗保健,35,Health Care,2000
01613.HK,协同通信,资讯科技业,Information Technology,信息技术,45,Information Technology,3200
01615.HK,奥邦建筑,地产建筑业,Properties & Construction,工业,20,Industrials,5000
01616.HK,星宏传媒,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01617.HK,南方通信,资讯科技业,Information Technology,信息技术,45,Information Technology,4000
01618.HK,中国中冶,地产建筑业,Properties & Construction,工业,20,Industrials,1000
01620.HK,加达控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
01621.HK,域高国际控股,能源业,Energy,原材料,15,Materials,8000
01622.HK,力高集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
01623.HK,海隆控股,能源业,Energy,能源,10,Energy,1000
01626.HK,嘉耀控股,工业,Industrials,原材料,15,Materials,2000
01627.HK,安保工程控股,地产建筑业,Properties & Construction,工业,20,Industrials,4000
01628.HK,禹洲集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
01629.HK,冠均国际控股,工业,Industrials,原材料,15,Materials,4000
01630.HK,建成控股,地产建筑业,Properties & Construction,工业,20,Industrials,6000
01631.HK,REF HOLDINGS,工业,Industrials,工业,20,Industrials,5000
01632.HK,民商创科,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01633.HK,上谕集团,地产建筑业,Properties & Construction,工业,20,Industrials,3000
01635.HK,大众公用,公用事业,Utilities,公用事业,55,Utilities,1000
01636.HK,中国金属利用,原材料业,Materials,原材料,15,Materials,4000
01637.HK,顺兴集团控股,地产建筑业,Properties & Construction,工业,20,Industrials,2000
01638.HK,佳兆业集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
01639.HK,安捷利实业,工业,Industrials,工业,20,Industrials,10000
01640.HK,瑞诚中国传媒,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,2000
01645.HK,海纳智能,工业,Industrials,工业,20,Industrials,4000
01647.HK,雄岸科技,地产建筑业,Properties & Construction,工业,20,Industrials,5000
01649.HK,内蒙古能建,地产建筑业,Properties & Construction,公用事业,55,Utilities,2000
01650.HK,HYGIEIA GROUP,非必需性消费,Consumer Discretionary,工业,20,Industrials,8000
01651.HK,津上机床中国,工业,Industrials,工业,20,Industrials,1000
01652.HK,福森药业,医疗保健业,Healthcare,医疗保健,35,Health Care,1000
01653.HK,MOS HOUSE-NEW,地产建筑业,Properties & Construction,原材料,15,Materials,20000
01655.HK,OKURA HOLDINGS,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,5000
01656.HK,亿仕登控股,工业,Industrials,工业,20,Industrials,2000
01657.HK,桦欣控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,500
01658.HK,邮储银行,金融业,Financials,金融,40,Financials,1000
01659.HK,海天能源,公用事业,Utilities,公用事业,55,Utilities,8000
01660.HK,兆邦基地产,工业,Industrials,工业,20,Industrials,8000
01661.HK,智美体育,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,1000
01662.HK,义合控股,地产建筑业,Properties & Construction,工业,20,Industrials,4000
01663.HK,汉港控股,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
01665.HK,槟杰科达,资讯科技业,Information Technology,信息技术,45,Information Technology,4000
01666.HK,同仁堂科技,医疗保健业,Healthcare,医疗保健,35,Health Care,1000
01667.HK,进阶发展,地产建筑业,Properties & Construction,工业,20,Industrials,10000
01668.HK,华南城,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
01669.HK,环球信贷集团,金融业,Financials,金融,40,Financials,2000
01671.HK,天保能源,公用事业,Utilities,能源,10,Energy,2000
01672.HK,歌礼制药-B,医疗保健业,Healthcare,医疗保健,35,Health Care,1000
01673.HK,华章科技,工业,Industrials,工业,20,Industrials,2000
01675.HK,亚信科技,资讯科技业,Information Technology,信息技术,45,Information Technology,400
01676.HK,中国升海集团,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,4000
01678.HK,中创环球,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01679.HK,瑞斯康集团,资讯科技业,Information Technology,信息技术,45,Information Technology,2500
01680.HK,澳门励骏,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
01681.HK,康臣药业,医疗保健业,Healthcare,医疗保健,35,Health Care,1000
01682.HK,杭品生活科技,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
01683.HK,旷逸国际,地产建筑业,Properties & Construction,工业,20,Industrials,4000
01685.HK,博耳电力,工业,Industrials,工业,20,Industrials,1000
01686.HK,新意网集团,资讯科技业,Information Technology,信息技术,45,Information Technology,1000
01689.HK,华禧控股,工业,Industrials,原材料,15,Materials,2000
01690.HK,立基工程控股,地产建筑业,Properties & Construction,工业,20,Industrials,10000
01691.HK,JS环球生活,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,500
01692.HK,登辉控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01693.HK,璋利国际,地产建筑业,Properties & Construction,工业,20,Industrials,4000
01695.HK,椰丰集团,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,5000
01696.HK,复锐医疗科技,医疗保健业,Healthcare,医疗保健,35,Health Care,400
01697.HK,山东国信,金融业,Financials,金融,40,Financials,1800
01698.HK,博士蛙国际,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
01699.HK,普甜食品,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,4000
01701.HK,途屹控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
01702.HK,东光化工,原材料业,Materials,原材料,15,Materials,4000
01703.HK,首沣控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,5000
01705.HK,宾仕国际,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,4000
01706.HK,双运控股,地产建筑业,Properties & Construction,工业,20,Industrials,5000
01707.HK,致浩达控股,地产建筑业,Properties & Construction,工业,20,Industrials,8000
01708.HK,三宝科技,资讯科技业,Information Technology,信息技术,45,Information Technology,500
01709.HK,德林控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
01710.HK,致丰工业电子,工业,Industrials,非日常生活消费品,25,Consumer Discretionary,4000
01711.HK,欧化,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
01712.HK,龙资源,原材料业,Materials,原材料,15,Materials,1000
01713.HK,四川能投发展,公用事业,Utilities,公用事业,55,Utilities,2000
01715.HK,米技国际控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
01716.HK,毛记葵涌,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,2000
01717.HK,澳优,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,1000
01718.HK,宏基集团控股,地产建筑业,Properties & Construction,工业,20,Industrials,5000
01719.HK,中国通商集团,工业,Industrials,工业,20,Industrials,4000
01720.HK,普天通信集团,资讯科技业,Information Technology,信息技术,45,Information Technology,4000
01721.HK,FSM HOLDINGS,原材料业,Materials,原材料,15,Materials,5000
01722.HK,建鹏控股,地产建筑业,Properties & Construction,工业,20,Industrials,10000
01723.HK,港亚控股,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,2000
01725.HK,恒达科技控股,工业,Industrials,非日常生活消费品,25,Consumer Discretionary,5000
01726.HK,HKE HOLDINGS,医疗保健业,Healthcare,医疗保健,35,Health Care,5000
01727.HK,河北建设,地产建筑业,Properties & Construction,工业,20,Industrials,500
01728.HK,正通汽车,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,500
01729.HK,汇聚科技,资讯科技业,Information Technology,工业,20,Industrials,8000
01730.HK,LHN,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
01731.HK,其利工业集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
01732.HK,象兴国际,工业,Industrials,工业,20,Industrials,20000
01733.HK,易大宗,能源业,Energy,能源,10,Energy,12000
01735.HK,中环控股,地产建筑业,Properties & Construction,工业,20,Industrials,2000
01736.HK,中国育儿网络,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
01737.HK,亚洲实业集团,工业,Industrials,工业,20,Industrials,10000
01738.HK,飞尚无烟煤,能源业,Energy,能源,10,Energy,2500
01739.HK,齐屹科技,地产建筑业,Properties & Construction,工业,20,Industrials,500
01740.HK,新石文化,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,5000
01741.HK,日赢控股,地产建筑业,Properties & Construction,工业,20,Industrials,4000
01742.HK,HPC HOLDINGS,地产建筑业,Properties & Construction,工业,20,Industrials,5000
01743.HK,苍南仪表,工业,Industrials,原材料,15,Materials,200
01745.HK,LVJI TECH,资讯科技业,Information Technology,非日常生活消费品,25,Consumer Discretionary,2000
01746.HK,万顺集团控股,地产建筑业,Properties & Construction,工业,20,Industrials,4000
01747.HK,HOME CONTROL,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01748.HK,信源企业集团,工业,Industrials,工业,20,Industrials,2000
01749.HK,杉杉品牌,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
01750.HK,全达电器集团控股,工业,Industrials,工业,20,Industrials,10000
01751.HK,景联集团,地产建筑业,Properties & Construction,工业,20,Industrials,10000
01752.HK,澳洲成峰高教,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
01753.HK,兑吧,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,400
01755.HK,新城悦服务,地产建筑业,Properties & Construction,工业,20,Industrials,1000
01756.HK,华立大学集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
01757.HK,俊裕地基,地产建筑业,Properties & Construction,工业,20,Industrials,10000
01758.HK,博骏教育,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01759.HK,中油洁能控股,公用事业,Utilities,能源,10,Energy,1000
01760.HK,英恒科技,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
01761.HK,宝宝树集团,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,500
01762.HK,万咖壹联,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,1000
01763.HK,中国同辐,医疗保健业,Healthcare,医疗保健,35,Health Care,200
01765.HK,希望教育,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01766.HK,中国中车,工业,Industrials,工业,20,Industrials,1000
01767.HK,TS WONDERS,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,10000
01769.HK,思考乐教育,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
01771.HK,新丰泰集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
01772.HK,赣锋锂业,原材料业,Materials,原材料,15,Materials,200
01773.HK,天立教育,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
01775.HK,精英汇集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
01776.HK,广发证券,金融业,Financials,金融,40,Financials,200
01777.HK,花样年控股,地产建筑业,Properties & Construction,房地产,60,Real Estate,1500
01778.HK,彩生活,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
01780.HK,B & D STRATEGIC,地产建筑业,Properties & Construction,工业,20,Industrials,2500
01781.HK,新昌创展控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01782.HK,飞思达科技,资讯科技业,Information Technology,信息技术,45,Information Technology,5000
01783.HK,金仑控股有限公司,地产建筑业,Properties & Construction,工业,20,Industrials,10000
01785.HK,成都高速,工业,Industrials,工业,20,Industrials,1000
01786.HK,铁建装备,工业,Industrials,工业,20,Industrials,500
01787.HK,山东黄金,原材料业,Materials,原材料,15,Materials,250
01788.HK,国泰君安国际,金融业,Financials,金融,40,Financials,1000
01789.HK,爱康医疗,医疗保健业,Healthcare,医疗保健,35,Health Care,2000
01790.HK,达力环保,公用事业,Utilities,工业,20,Industrials,5000
01792.HK,CMON,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
01793.HK,伟工控股,地产建筑业,Properties & Construction,工业,20,Industrials,4000
01796.HK,耀高控股,地产建筑业,Properties & Construction,工业,20,Industrials,2000
01797.HK,新东方在线,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,500
01798.HK,大唐新能源,公用事业,Utilities,公用事业,55,Utilities,1000
01799.HK,新特能源,公用事业,Utilities,信息技术,45,Information Technology,400
01800.HK,中国交通建设,地产建筑业,Properties & Construction,工业,20,Industrials,1000
01801.HK,信达生物,医疗保健业,Healthcare,医疗保健,35,Health Care,500
01802.HK,文业集团,地产建筑业,Properties & Construction,非日常生活消费品,25,Consumer Discretionary,2000
01803.HK,北京体育文化,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2500
01806.HK,汇付天下,资讯科技业,Information Technology,金融,40,Financials,400
01808.HK,企展控股,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
01809.HK,浦林成山,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,500
01810.HK,小米集团-W,资讯科技业,Information Technology,信息技术,45,Information Technology,200
01811.HK,中广核新能源,公用事业,Utilities,公用事业,55,Utilities,2000
01812.HK,晨鸣纸业,原材料业,Materials,原材料,15,Materials,500
01813.HK,合景泰富集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,500
01815.HK,金猫银猫,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
01816.HK,中广核电力,公用事业,Utilities,公用事业,55,Utilities,1000
01817.HK,慕尚集团控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,500
01818.HK,招金矿业,原材料业,Materials,原材料,15,Materials,500
01820.HK,济丰包装,工业,Industrials,原材料,15,Materials,1000
01821.HK,ESR,金融业,Financials,房地产,60,Real Estate,200
01822.HK,中木国际,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,30000
01823.HK,华昱高速,工业,Industrials,工业,20,Industrials,2000
01825.HK,STERLING GP,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
01826.HK,旭通控股,地产建筑业,Properties & Construction,工业,20,Industrials,10000
01827.HK,卓珈控股,医疗保健业,Healthcare,医疗保健,35,Health Care,5000
01829.HK,中国机械工程,地产建筑业,Properties & Construction,工业,20,Industrials,1000
01830.HK,必瘦站,医疗保健业,Healthcare,日常消费品,30,Consumer Staples,4000
01831.HK,十方控股,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,10000
01832.HK,海天地悦旅,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
01833.HK,平安好医生,医疗保健业,Healthcare,医疗保健,35,Health Care,100
01835.HK,瑞威资管,金融业,Financials,金融,40,Financials,400
01836.HK,九兴控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,500
01837.HK,五谷磨房,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,2000
01838.HK,CHINAPROPERTIES,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
01839.HK,中集车辆,工业,Industrials,非日常生活消费品,25,Consumer Discretionary,500
01841.HK,优越集团控股,工业,Industrials,工业,20,Industrials,10000
01842.HK,植华集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
01843.HK,快餐帝国,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
01845.HK,维港环保科技,工业,Industrials,工业,20,Industrials,3000
01846.HK,德视佳,医疗保健业,Healthcare,非日常生活消费品,25,Consumer Discretionary,1000
01847.HK,云南建投混凝土,地产建筑业,Properties & Construction,原材料,15,Materials,1000
01848.HK,中国飞机租赁,非必需性消费,Consumer Discretionary,工业,20,Industrials,500
01849.HK,秀商时代控股,非必需性消费,Consumer Discretionary,信息技术,45,Information Technology,5000
01850.HK,海鑫集团,地产建筑业,Properties & Construction,工业,20,Industrials,10000
01851.HK,银杏教育,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01853.HK,春城热力,公用事业,Utilities,公用事业,55,Utilities,2500
01854.HK,展程控股,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,10000
01856.HK,依波路,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
01857.HK,中国光大水务,公用事业,Utilities,工业,20,Industrials,1000
01858.HK,春立医疗,医疗保健业,Healthcare,医疗保健,35,Health Care,250
01859.HK,煜盛文化,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,1000
01860.HK,汇量科技,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,1000
01861.HK,保宝龙科技,原材料业,Materials,工业,20,Industrials,2000
01862.HK,景瑞控股,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
01863.HK,中国龙天集团,原材料业,Materials,原材料,15,Materials,1000
01865.HK,管道工程,地产建筑业,Properties & Construction,工业,20,Industrials,4000
01866.HK,中国心连心化肥,原材料业,Materials,原材料,15,Materials,1000
01867.HK,乐嘉思控股,地产建筑业,Properties & Construction,工业,20,Industrials,10000
01868.HK,同方友友,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01869.HK,利宝阁集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
01870.HK,益美国际控股,地产建筑业,Properties & Construction,工业,20,Industrials,2500
01871.HK,向中国际,非必需性消费,Consumer Discretionary,工业,20,Industrials,4000
01872.HK,冠轈控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,5000
01873.HK,维亚生物,医疗保健业,Healthcare,医疗保健,35,Health Care,500
01875.HK,东曜药业-B,医疗保健业,Healthcare,医疗保健,35,Health Care,400
01876.HK,百威亚太,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,100
01877.HK,君实生物,医疗保健业,Healthcare,医疗保健,35,Health Care,200
01878.HK,南戈壁-S,能源业,Energy,能源,10,Energy,50
01882.HK,海天国际,工业,Industrials,工业,20,Industrials,1000
01883.HK,中信国际电讯,电讯业,Telecommunications,通讯服务,50,Communication Services,1000
01884.HK,EPRINT集团,工业,Industrials,工业,20,Industrials,4000
01885.HK,中国优材,原材料业,Materials,原材料,15,Materials,4000
01886.HK,汇源果汁,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,500
01888.HK,建滔积层板,工业,Industrials,信息技术,45,Information Technology,500
01889.HK,三爱健康集团,医疗保健业,Healthcare,医疗保健,35,Health Care,2500
01890.HK,中国科培,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01891.HK,兴合控股,原材料业,Materials,原材料,15,Materials,4000
01894.HK,恒益控股,地产建筑业,Properties & Construction,原材料,15,Materials,5000
01895.HK,鑫苑服务,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
01896.HK,猫眼娱乐,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,200
01897.HK,美亨实业,地产建筑业,Properties & Construction,原材料,15,Materials,2000
01898.HK,中煤能源,能源业,Energy,能源,10,Energy,1000
01899.HK,兴达国际,工业,Industrials,非日常生活消费品,25,Consumer Discretionary,1000
01900.HK,中国智能交通,资讯科技业,Information Technology,信息技术,45,Information Technology,1000
01901.HK,飞扬集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01902.HK,银城国际控股,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
01903.HK,JBB BUILDERS,工业,Industrials,工业,20,Industrials,2000
01905.HK,海通恒信,金融业,Financials,金融,40,Financials,2000
01906.HK,博尼控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,5000
01907.HK,中国旭阳集团,原材料业,Materials,能源,10,Energy,1000
01908.HK,建发国际集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
01909.HK,火岩控股,资讯科技业,Information Technology,通讯服务,50,Communication Services,2000
01910.HK,新秀丽,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,300
01911.HK,华兴资本控股,金融业,Financials,金融,40,Financials,100
01912.HK,康特隆,资讯科技业,Information Technology,信息技术,45,Information Technology,5000
01913.HK,普拉达,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,100
01915.HK,泰和小贷,金融业,Financials,金融,40,Financials,2000
01916.HK,江西银行,金融业,Financials,金融,40,Financials,500
01917.HK,豆盟科技,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,10000
01918.HK,融创中国,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
01919.HK,中远海控,工业,Industrials,工业,20,Industrials,500
01920.HK,恒新丰控股,地产建筑业,Properties & Construction,工业,20,Industrials,10000
01921.HK,达力普控股,能源业,Energy,能源,10,Energy,2000
01922.HK,银城生活服务,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
01925.HK,旷世控股,非必需性消费,Consumer Discretionary,日常消费品,30,Consumer Staples,2000
01928.HK,金沙中国有限公司,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,400
01929.HK,周大福,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,200
01930.HK,勋龙,工业,Industrials,非日常生活消费品,25,Consumer Discretionary,4000
01931.HK,华检医疗,医疗保健业,Healthcare,医疗保健,35,Health Care,1000
01932.HK,中漆集团,原材料业,Materials,工业,20,Industrials,4000
01933.HK,元力控股,资讯科技业,Information Technology,信息技术,45,Information Technology,4000
01935.HK,嘉宏教育,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01936.HK,RITAMIX,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,2000
01937.HK,佳辰控股,地产建筑业,Properties & Construction,工业,20,Industrials,5000
01938.HK,珠江钢管,能源业,Energy,能源,10,Energy,1000
01939.HK,东京中央拍卖,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01941.HK,烨星集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
01942.HK,MOG HOLDINGS,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01943.HK,银涛控股,地产建筑业,Properties & Construction,工业,20,Industrials,5000
01949.HK,PLATT NERA,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
01950.HK,深蓝科技控股,原材料业,Materials,原材料,15,Materials,4000
01951.HK,锦欣生殖,医疗保健业,Healthcare,医疗保健,35,Health Care,2000
01953.HK,RIMBACO,地产建筑业,Properties & Construction,工业,20,Industrials,5000
01955.HK,庄臣控股,非必需性消费,Consumer Discretionary,工业,20,Industrials,2000
01957.HK,MBV INTL,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2500
01958.HK,北京汽车,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,500
01959.HK,世纪联合控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01960.HK,TBKS HLDGS,地产建筑业,Properties & Construction,工业,20,Industrials,5000
01961.HK,九尊数字互娱,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
01962.HK,训修实业,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01963.HK,重庆银行,金融业,Financials,金融,40,Financials,500
01966.HK,中骏集团控股,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
01967.HK,信恳智能,工业,Industrials,信息技术,45,Information Technology,2000
01968.HK,兴纺控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
01969.HK,中国春来,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
01970.HK,IMAX CHINA,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,100
01971.HK,弘阳服务,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
01972.HK,太古地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,200
01975.HK,新兴印刷,工业,Industrials,工业,20,Industrials,4000
01977.HK,安乐工程,地产建筑业,Properties & Construction,非日常生活消费品,25,Consumer Discretionary,2000
01978.HK,叙福楼集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01979.HK,天宝集团,工业,Industrials,信息技术,45,Information Technology,4000
01980.HK,天鸽互动,资讯科技业,Information Technology,信息技术,45,Information Technology,1000
01981.HK,华夏视听教育,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,1000
01982.HK,南旋控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01983.HK,泸州银行,金融业,Financials,金融,40,Financials,1000
01985.HK,美高域,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
01986.HK,彩客化学,原材料业,Materials,原材料,15,Materials,500
01987.HK,BENG SOON MACH,地产建筑业,Properties & Construction,房地产,60,Real Estate,4000
01988.HK,民生银行,金融业,Financials,金融,40,Financials,500
