factor_metric,pr_mean_w_annreport,pr_std_w_annreport,pr_tstat_w_annreport,pr_num_w_annreport,industry
GPOA_Semi,0.2519541157268065,0.03633242297246028,20.80407210257785,9,光学元件
OPOE_Semi,0.15664814583002273,0.1972060342785564,2.3830124631291194,9,光学元件
ROE_Semi_gr_1yr,0.15664814583002273,0.1972060342785564,2.3830124631291194,9,光学元件
ROA_Semi_gr_1yr,0.15664814583002273,0.1972060342785564,2.3830124631291194,9,光学元件
GPOE_Semi_gr_1yr,0.15664814583002273,0.1972060342785564,2.3830124631291194,9,光学元件
GPOA_Semi_gr_1yr,0.15664814583002273,0.1972060342785564,2.3830124631291194,9,光学元件
OPOE_Semi_gr_1yr,0.15664814583002273,0.1972060342785564,2.3830124631291194,9,光学元件
OPOA_Semi_gr_1yr,0.15664814583002273,0.1972060342785564,2.3830124631291194,9,光学元件
ARTOS_Semi_gr_1yr,0.12467241263883555,0.17119466851167814,2.1847481651625897,9,光学元件
ROE_Semi_gr_2yr,0.1617421794081313,0.20244338122113806,2.396850592484222,9,光学元件
ROA_Semi_gr_2yr,0.1617421794081313,0.20244338122113806,2.396850592484222,9,光学元件
SOE_Semi_gr_2yr,0.1285093720895268,0.06660367843105146,5.78839075183635,9,光学元件
OPOE_Semi_gr_2yr,0.1617421794081313,0.20244338122113806,2.396850592484222,9,光学元件
OPOA_Semi_gr_2yr,0.1617421794081313,0.20244338122113806,2.396850592484222,9,光学元件
ARTOS_Semi_gr_2yr,0.2428229234986942,0.06573854022417554,11.081304330943844,9,光学元件
ROE_TTM,0.15664814583002273,0.1972060342785564,2.3830124631291194,9,光学元件
GPOE_TTM,0.11869888078140332,0.05089844209724294,6.996218895342162,9,光学元件
GPOA_TTM,0.17030563068290475,0.11118995182597002,4.5949915766523635,9,光学元件
OPOE_TTM,0.15664814583002273,0.1972060342785564,2.3830124631291194,9,光学元件
CFOOE_TTM,0.2377288899205856,0.05888579731344176,12.111352860954796,9,光学元件
GPOE_TTM_gr_1yr,0.15664814583002273,0.1972060342785564,2.3830124631291194,9,光学元件
GPOA_TTM_gr_1yr,0.15664814583002273,0.1972060342785564,2.3830124631291194,9,光学元件
SOA_TTM_gr_1yr,0.15664814583002273,0.1972060342785564,2.3830124631291194,9,光学元件
CFOOA_TTM_gr_1yr,0.12844546502283524,0.17354857008380062,2.220337481792216,9,光学元件
S_TTM_gr_1yr,0.15664814583002273,0.1972060342785564,2.3830124631291194,9,光学元件
ROE_TTM_gr_2yr,0.2776431633567196,0.036992116984414194,22.51640506059967,9,光学元件
GPOE_TTM_gr_2yr,0.15773416388976766,0.06121739316966445,7.72987001190689,9,光学元件
OPOE_TTM_gr_2yr,0.2776431633567196,0.036992116984414194,22.51640506059967,9,光学元件
OPOA_TTM_gr_2yr,0.2776431633567196,0.036992116984414194,22.51640506059967,9,光学元件
CFOOE_TTM_gr_2yr,0.17188311032976644,0.05835887431984488,8.835834086915437,9,光学元件
ARTOS_TTM_gr_2yr,0.2776431633567196,0.036992116984414194,22.51640506059967,9,光学元件
SH_gr_2yr,0.15307309921260273,0.033460719327824705,13.72413106660078,9,光学元件
Noncash_WC,0.1348624466719308,0.06702621298125093,6.036255399495221,9,光学元件
RNDOE,0.12408895561568856,0.051078910816789766,7.288073705845361,9,光学元件
RNDOE_gr_2yr,0.13108939428793112,0.06126709066886669,6.418913948261548,9,光学元件
RNDOA,0.26909218827914383,0.2330285764754867,3.464281407230553,9,光伏设备
RNDOA_gr_2yr,0.250200252681872,0.2396874116721663,3.13158189163582,9,光伏设备
RNDOA_gr_3yr,0.27009840191600576,0.23379724935249066,3.4658029895225764,9,光伏设备
RNDOE,0.1983992639805313,0.27256668796666644,2.1836776767613784,9,船舶制造
RNDOA,0.1624164349622264,0.2012114103285837,2.421578896002905,9,船舶制造
RNDOE_gr_3yr,0.10088980957086947,0.1077132359329215,2.809955769048625,9,船舶制造
UNLOCKAMTTMKTCAP,0.1742609717966817,0.2359495957809333,2.2156550582753334,9,船舶制造
UNLOCKAMTTTTUNLOCKAMT,0.13036029585084782,0.18577254483239056,2.1051597689281167,9,医药商业
GPOE_gr_3yr,0.0626075161035722,0.07401449727192387,2.5376453969641943,9,汽车零部件
RNDOE,0.0655479848986383,0.08274038989277895,2.376637999298052,9,汽车零部件
RNDOE_gr_2yr,0.07141953704769169,0.08532978350772569,2.51094755354297,9,汽车零部件
RNDOE_gr_3yr,0.07405352960922859,0.09639017640690216,2.304805293537959,9,汽车零部件
RNDOA,0.10954194160183237,0.14563495535285306,2.2565037631884657,9,其它通用机械
UNLOCKAMTTMKTCAP,0.10531342485854302,0.033965195272154636,9.301883061294903,9,物流
UNLOCKAMTTTTUNLOCKAMT,0.18178970987637308,0.18998436795777485,2.8706000156303952,9,通信传输设备
