,SmartDeposit,Benchmark
2017/4/24,1.017268764,1.003470889
2017/4/25,1.017296577,1.003503283
2017/4/26,1.017433654,1.003526422
2017/4/27,1.017469413,1.003568073
2017/4/28,1.017388955,1.003632863
2017/5/2,1.01763331,1.003642118
2017/5/3,1.017768401,1.00363749
2017/5/4,1.017776347,1.003679141
2017/5/5,1.017826013,1.00372542
2017/5/8,1.017625364,1.003734676
2017/5/9,1.01797799,1.003757815
2017/5/10,1.017924351,1.003808721
2017/5/11,1.018113081,1.003868883
2017/5/12,1.018111094,1.003933674
2017/5/15,1.018448821,1.003933674
2017/5/16,1.018554112,1.003947556
2017/5/17,1.018408095,1.003966068
2017/5/18,1.018689203,1.003989207
2017/5/19,1.018479614,1.003989207
2017/5/22,1.01868225,1.004077137
2017/5/23,1.018621658,1.004086393
2017/5/24,1.018588878,1.004104903
2017/5/25,1.018821314,1.004128043
2017/5/26,1.018768668,1.004197461
2017/5/30,1.018807407,1.004197461
2017/5/31,1.019292145,1.004202089
2017/6/1,1.018918659,1.0042206
2017/6/2,1.019080569,1.004290018
2017/6/5,1.019153081,1.004313157
2017/6/6,1.019002097,1.004331669
2017/6/7,1.019290158,1.004354808
2017/6/8,1.019379556,1.004391831
2017/6/9,1.019301084,1.004461248
2017/6/12,1.019379556,1.004475132
2017/6/13,1.019192813,1.004489015
2017/6/14,1.019480874,1.004498271
2017/6/15,1.019613978,1.00454455
2017/6/16,1.019554379,1.004623223
2017/6/19,1.019815621,1.004655618
2017/6/20,1.019780855,1.004711153
2017/6/21,1.019777875,1.004748175
2017/6/22,1.019798735,1.004817593
2017/6/23,1.021161562,1.004896266
2017/6/26,1.021129775,1.00491015
2017/6/27,1.019993424,1.004891638
2017/6/28,1.020120568,1.004905522
2017/6/29,1.020158314,1.004956428
2017/6/30,1.020562593,1.005007335
2017/7/3,1.020132488,1.005025847
2017/7/4,1.020517894,1.005025847
2017/7/5,1.0205765,1.005044357
2017/7/6,1.020330158,1.005095264
2017/7/7,1.020712584,1.00516931
2017/7/10,1.020640072,1.005201704
2017/7/11,1.020712584,1.005234099
2017/7/12,1.020874494,1.005266495
2017/7/13,1.020800989,1.005308145
2017/7/14,1.020963892,1.005391446
2017/7/17,1.021070177,1.00540533
2017/7/18,1.021097989,1.005423841
2017/7/19,1.021082096,1.005423841
2017/7/20,1.021121829,1.005446981
2017/7/21,1.021556901,1.005521026
2017/7/24,1.021391017,1.005553421
2017/7/25,1.021459556,1.005576561
2017/7/26,1.021560874,1.0055997
2017/7/27,1.021523128,1.005636723
2017/7/28,1.021764503,1.005724652
2017/7/31,1.022187655,1.005752419
2017/8/1,1.021995945,1.005724652
2017/8/2,1.022030711,1.005807953
2017/8/3,1.022063491,1.005840348
2017/8/4,1.022152889,1.00592365
2017/8/7,1.02225818,1.005951417
2017/8/8,1.022164809,1.005979183
2017/8/9,1.022501542,1.006011578
2017/8/10,1.022335659,1.006053229
2017/8/11,1.022560148,1.006127274
2017/8/14,1.022677359,1.006168925
2017/8/15,1.022490616,1.006196693
2017/8/16,1.02262372,1.00622446
2017/8/17,1.022630673,1.006266111
2017/8/18,1.022667426,1.006335528
2017/8/21,1.022727024,1.006377179
2017/8/22,1.022879995,1.006395691
2017/8/23,1.023190902,1.006400318
2017/8/24,1.02297138,1.006423457
2017/8/25,1.023128323,1.006506759
2017/8/29,1.023169049,1.006599315
2017/8/30,1.02331606,1.006645594
2017/8/31,1.023243548,1.006645594
2017/9/1,1.023217722,1.006710384
2017/9/4,1.02346307,1.006710384
2017/9/5,1.023432277,1.006728896
2017/9/6,1.023550482,1.00678443
2017/9/7,1.023576308,1.006863104
