,open,high,low,close
2018-04-19 08:00:00 UTC,6.79,6.88,6.76,6.8
2018-04-20 08:00:00 UTC,6.77,6.84,6.6,6.63
2018-04-21 08:00:00 UTC,6.77,6.84,6.6,6.63
2018-04-22 08:00:00 UTC,6.77,6.84,6.6,6.63
2018-04-23 08:00:00 UTC,6.63,6.71,6.6,6.64
2018-04-24 08:00:00 UTC,6.62,6.8,6.62,6.76
2018-04-25 08:00:00 UTC,6.72,6.82,6.72,6.77
2018-04-26 08:00:00 UTC,6.76,6.77,6.55,6.55
2018-04-27 08:00:00 UTC,6.58,6.62,6.52,6.56
2018-04-28 08:00:00 UTC,6.58,6.62,6.52,6.56
2018-04-29 08:00:00 UTC,6.58,6.62,6.52,6.56
2018-04-30 08:00:00 UTC,6.58,6.62,6.52,6.56
2018-05-01 08:00:00 UTC,6.58,6.62,6.52,6.56
2018-05-02 08:00:00 UTC,6.57,6.66,6.57,6.61
2018-05-03 08:00:00 UTC,6.57,6.68,6.57,6.68
2018-05-04 08:00:00 UTC,6.66,6.72,6.63,6.65
2018-05-05 08:00:00 UTC,6.66,6.72,6.63,6.65
2018-05-06 08:00:00 UTC,6.66,6.72,6.63,6.65
2018-05-07 08:00:00 UTC,7.01,7.25,6.86,6.88
2018-05-08 08:00:00 UTC,6.82,7.13,6.79,7.04
2018-05-09 08:00:00 UTC,7.0,7.05,6.96,7.0
2018-05-10 08:00:00 UTC,7.02,7.06,6.94,7.0
2018-05-11 08:00:00 UTC,7.02,7.06,6.88,7.0
2018-05-12 08:00:00 UTC,7.02,7.06,6.88,7.0
2018-05-13 08:00:00 UTC,7.02,7.06,6.88,7.0
2018-05-14 08:00:00 UTC,7.25,7.47,7.12,7.18
2018-05-15 08:00:00 UTC,7.13,7.15,7.03,7.14
2018-05-16 08:00:00 UTC,7.12,7.28,7.12,7.15
2018-05-17 08:00:00 UTC,7.17,7.2,7.04,7.06
2018-05-18 08:00:00 UTC,7.12,7.23,7.06,7.16
2018-05-19 08:00:00 UTC,7.12,7.23,7.06,7.16
2018-05-20 08:00:00 UTC,7.12,7.23,7.06,7.16
2018-05-21 08:00:00 UTC,7.2,7.22,7.13,7.16
2018-05-22 08:00:00 UTC,7.15,7.21,7.06,7.13
2018-05-23 08:00:00 UTC,7.11,7.15,6.97,6.98
