,AQUMON_CCBI,Benchmark
2016/7/11,1.042625383,1.033739886
2016/7/12,1.049874147,1.037906322
2016/7/13,1.049464035,1.039794351
2016/7/14,1.052875338,1.041905143
2016/7/15,1.050227106,1.040033793
2016/7/18,1.052062574,1.041657988
2016/7/19,1.050348314,1.040484846
2016/7/20,1.054343136,1.043064847
2016/7/21,1.053990538,1.042877586
2016/7/22,1.052984948,1.043501307
2016/7/25,1.052534532,1.042123764
2016/7/26,1.054662524,1.043092885
2016/7/27,1.052121344,1.044426678
2016/7/28,1.052731803,1.044798434
2016/7/29,1.055479677,1.050770068
2016/8/1,1.053627175,1.049861185
2016/8/3,1.048649802,1.042779176
2016/8/4,1.050670843,1.04528821
2016/8/5,1.054689093,1.047172367
2016/8/8,1.056593012,1.049634211
2016/8/9,1.060995162,1.05359065
2016/8/10,1.060848509,1.054397391
2016/8/11,1.062839546,1.055906096
2016/8/12,1.064394448,1.057363749
2016/8/15,1.068106036,1.058262132
2016/8/16,1.066742646,1.054752252
2016/8/17,1.062981282,1.055062072
2016/8/18,1.067086197,1.057483881
2016/8/19,1.064940736,1.054612932
2016/8/22,1.063394735,1.055280598
2016/8/23,1.067154762,1.057306335
2016/8/24,1.064879615,1.054399074
2016/8/25,1.062390643,1.053067069
2016/8/26,1.063935791,1.052150352
2016/8/29,1.064203116,1.052878834
2016/8/30,1.062692291,1.052742431
2016/8/31,1.061050018,1.050795063
2016/9/1,1.059626818,1.051927625
2016/9/2,1.065522262,1.055210902
2016/9/5,1.066904677,1.056842707
2016/9/6,1.07085699,1.062011163
2016/9/7,1.072589081,1.062870627
2016/9/8,1.072972476,1.060431133
2016/9/9,1.06496506,1.046024773
2016/9/12,1.056054535,1.047250225
2016/9/13,1.052839226,1.039071502
2016/9/14,1.052633428,1.03914878
2016/9/15,1.055924492,1.043292257
2016/9/19,1.057928344,1.043388488
2016/9/20,1.057483243,1.043747521
2016/9/21,1.059068132,1.050402819
2016/9/22,1.068787406,1.058630802
2016/9/23,1.067069281,1.055399142
2016/9/26,1.059259542,1.049755897
2016/9/27,1.060553302,1.052429016
2016/9/28,1.061748264,1.054042766
2016/9/29,1.064731514,1.052870066
2016/9/30,1.064004933,1.053134146
2016/10/3,1.063958355,1.052632027
2016/10/4,1.064281685,1.050256306
2016/10/5,1.063386777,1.050928224
2016/10/6,1.061965258,1.04996258
2016/10/7,1.060099428,1.048021551
2016/10/11,1.057007526,1.043033189
2016/10/12,1.055757407,1.040786216
2016/10/13,1.052538701,1.038867894
2016/10/14,1.055301006,1.039982223
2016/10/17,1.051603747,1.038665399
2016/10/18,1.057760194,1.044427775
2016/10/19,1.058757779,1.046409336
2016/10/20,1.058451741,1.045802586
2016/10/24,1.060498933,1.046487844
2016/10/25,1.060331177,1.044656117
2016/10/26,1.057904723,1.042906796
2016/10/27,1.055192725,1.03940336
2016/10/28,1.05433404,1.03795548
2016/10/31,1.05290347,1.038566559
2016/11/1,1.050821767,1.036318724
2016/11/2,1.047353014,1.031998217
2016/11/3,1.046720394,1.029484697
2016/11/4,1.045759175,1.027473162
2016/11/7,1.052588496,1.036293096
2016/11/8,1.055838559,1.038081791
2016/11/9,1.054835488,1.033950621
2016/11/10,1.054505098,1.034410375
2016/11/11,1.051126561,1.031332153
2016/11/14,1.049343946,1.026635793
2016/11/15,1.052187437,1.029862706
2016/11/16,1.05148929,1.029680824
2016/11/17,1.052107433,1.031270167
2016/11/18,1.048858951,1.026567642
2016/11/21,1.053066076,1.030777096
2016/11/22,1.055595326,1.032778747
2016/11/23,1.053950324,1.030786222
2016/11/24,1.05454522,1.031650296
2016/11/25,1.056226161,1.033971897
2016/11/28,1.056042356,1.033267412
2016/11/29,1.05583376,1.034310739
2016/11/30,1.055854276,1.032472686
2016/12/1,1.053571132,1.029437936
2016/12/2,1.051992166,1.030105332
2016/12/5,1.053526914,1.033227907
2016/12/6,1.055783196,1.03690334
2016/12/7,1.061353536,1.045621605
2016/12/8,1.065280047,1.046937258
2016/12/9,1.066664216,1.048444291
2016/12/12,1.062631057,1.047704369
2016/12/13,1.066841402,1.052266149
2016/12/14,1.064775863,1.047569871
2016/12/15,1.061873855,1.043220546
2016/12/16,1.062465818,1.043807595
2016/12/19,1.064325396,1.046547793
2016/12/20,1.064556938,1.046773337
2016/12/21,1.065604614,1.04610246
2016/12/22,1.063823494,1.044693152
2016/12/23,1.063001056,1.044611829
2016/12/28,1.064025021,1.043196161
2016/12/29,1.063919543,1.044745759
2016/12/30,1.067657229,1.045456522
2017/1/3,1.069138871,1.04821018
2017/1/4,1.073496429,1.053389309
2017/1/5,1.076195322,1.058810837
2017/1/6,1.077168933,1.058011771
2017/1/9,1.077705294,1.056889045
2017/1/10,1.077892753,1.057892764
2017/1/11,1.076539955,1.057909327
2017/1/12,1.076138696,1.060401867
2017/1/13,1.078951926,1.061507918
2017/1/16,1.075154954,1.059635436
2017/1/17,1.077625285,1.061154866
2017/1/18,1.077917485,1.060972085
2017/1/19,1.074865985,1.056384504
2017/1/20,1.077650287,1.058711654
2017/1/23,1.077359808,1.060274407
2017/1/24,1.079786045,1.062455245
2017/1/25,1.084383309,1.066646166
2017/1/26,1.085324296,1.066900697
2017/1/27,1.085036468,1.067610786
2017/2/1,1.082624664,1.064254872
2017/2/2,1.084682172,1.065323266
2017/2/3,1.087079306,1.068132167
2017/2/6,1.086302128,1.067940871
2017/2/7,1.086284247,1.067901802
2017/2/8,1.087255313,1.070653233
2017/2/9,1.090108007,1.07139359
2017/2/10,1.092343262,1.073964174
2017/2/13,1.096402446,1.077045085
2017/2/14,1.096394927,1.07638613
2017/2/15,1.099940119,1.079575254
2017/2/16,1.103872879,1.081827554
2017/2/17,1.102538706,1.082247296
2017/2/20,1.106044638,1.082680952
2017/2/21,1.108025299,1.084746579
2017/2/22,1.108686092,1.084995785
2017/2/23,1.110726471,1.086786608
2017/2/24,1.109331554,1.086481101
2017/2/27,1.10983946,1.085484681
2017/2/28,1.109863406,1.084785387
2017/3/1,1.113553294,1.088493126
2017/3/2,1.110683442,1.085181165
2017/3/3,1.109696885,1.085137983
2017/3/6,1.109357432,1.084638336
2017/3/7,1.108005683,1.082694163
2017/3/8,1.106490376,1.080412855
2017/3/9,1.103817946,1.077973246
2017/3/10,1.106368537,1.081729543
2017/3/13,1.110036043,1.083515951
2017/3/14,1.107722493,1.08218177
2017/3/15,1.111949893,1.088559325
2017/3/16,1.11818043,1.091387861
2017/3/17,1.117872285,1.091793597
2017/3/20,1.119478918,1.093240777
2017/3/21,1.117582018,1.089580276
2017/3/22,1.115533288,1.088752191
2017/3/23,1.118370915,1.089347567
2017/3/24,1.118630365,1.090042836
2017/3/27,1.117869814,1.090333624
2017/3/28,1.119640148,1.094336141
2017/3/29,1.119870647,1.094759781
2017/3/30,1.119705973,1.095393998
2017/3/31,1.119584488,1.093109985
2017/4/3,1.115868304,1.09314233
2017/4/5,1.122211337,1.092094748
2017/4/6,1.120796503,1.092108955
2017/4/7,1.120222269,1.090816553
2017/4/10,1.118677474,1.091535902
2017/4/11,1.116705171,1.093426331
2017/4/12,1.118791327,1.092185575
2017/4/13,1.121027827,1.09121462
2017/4/18,1.121759498,1.093525087
2017/4/19,1.123100786,1.091907761
2017/4/20,1.12815573,1.095392984
2017/4/21,1.127066207,1.094356714
2017/4/24,1.134596412,1.105181999
2017/4/25,1.141161959,1.108120409
2017/4/26,1.141808244,1.109038182
2017/4/27,1.139592111,1.108634832
2017/4/28,1.137736526,1.107509803
2017/5/2,1.139164517,1.111364589
2017/5/4,1.140108221,1.109935654
2017/5/5,1.140991765,1.113893976
2017/5/8,1.139732993,1.114390227
2017/5/9,1.14108695,1.112849254
2017/5/10,1.140799281,1.114627323
2017/5/11,1.141161516,1.114515406
2017/5/12,1.144840146,1.117700377
2017/5/15,1.149626411,1.119923212
2017/5/16,1.15415648,1.121999722
2017/5/17,1.148483449,1.115870079
2017/5/18,1.14605381,1.112001681
2017/5/19,1.151335054,1.117204949
2017/5/22,1.155568495,1.121568082
2017/5/23,1.157369471,1.122313117
2017/5/24,1.155959758,1.12342918
2017/5/25,1.159943246,1.127292079
2017/5/26,1.159899264,1.12708325
2017/5/29,1.160039321,1.127082171
2017/5/31,1.159958109,1.127146452
2017/6/1,1.16262916,1.130466277
2017/6/2,1.16737739,1.13571939
2017/6/5,1.166866867,1.13500642
2017/6/6,1.167104091,1.13417837
2017/6/7,1.167645131,1.134065047
2017/6/8,1.169316329,1.13368541
2017/6/9,1.171981122,1.133035276
2017/6/12,1.168744383,1.131237056
2017/6/13,1.171552061,1.134328807
2017/6/14,1.171733695,1.136776809
2017/6/15,1.166763583,1.131811182
2017/6/16,1.167394832,1.133938149
2017/6/19,1.172496189,1.138534946
2017/6/20,1.169076993,1.134432817
2017/6/21,1.169584331,1.133504328
2017/6/22,1.170163275,1.134026058
2017/6/23,1.171059731,1.135741055
2017/6/26,1.175124019,1.137252753
2017/6/27,1.175385295,1.132920028
2017/6/28,1.174808403,1.137883156
2017/6/29,1.17254477,1.133325895
2017/6/30,1.171910615,1.132048907
2017/7/3,1.17391477,1.133829683
2017/7/4,1.170278375,1.131892632
2017/7/5,1.171530851,1.133187762
2017/7/6,1.17026184,1.12926213
2017/7/7,1.169821906,1.129862702
2017/7/10,1.171290077,1.13263599
2017/7/11,1.169100572,1.133024777
2017/7/12,1.177152772,1.140210322
2017/7/13,1.178534513,1.141589162
2017/7/14,1.180645395,1.145269666
2017/7/17,1.180146754,1.145806518
2017/7/18,1.18194439,1.14763219
2017/7/19,1.186972552,1.151930138
2017/7/20,1.189090012,1.153798065
2017/7/21,1.188313562,1.153161775
2017/7/24,1.187424075,1.151188571
2017/7/25,1.189254134,1.151580043
2017/7/26,1.190183086,1.153970862
2017/7/27,1.191226506,1.153991741
2017/7/28,1.18855625,1.153096045
2017/7/31,1.192991258,1.153794183
2017/8/1,1.194632175,1.158527935
2017/8/2,1.194726096,1.159484765
2017/8/3,1.195144741,1.159411484
2017/8/4,1.194243513,1.158896969
2017/8/7,1.196366458,1.161891608
2017/8/8,1.19782366,1.160178234
2017/8/9,1.192494269,1.156948401
2017/8/10,1.187110324,1.149217575
2017/8/11,1.182329481,1.147950456
2017/8/14,1.189528845,1.154045309
2017/8/15,1.188464486,1.152653942
2017/8/16,1.189979633,1.155316425
2017/8/17,1.189277277,1.150377554
2017/8/18,1.185702468,1.148324539
2017/8/21,1.186244455,1.14977022
2017/8/22,1.189858246,1.154689823
2017/8/24,1.188258705,1.153478775
2017/8/25,1.191928516,1.154774386
2017/8/28,1.193120225,1.156475828
2017/8/29,1.192420283,1.156410467
2017/8/30,1.194576687,1.15798706
2017/8/31,1.196666185,1.162563918
2017/9/1,1.198619303,1.163747598
2017/9/4,1.19776225,1.162474392
2017/9/5,1.197676808,1.16174196
2017/9/6,1.198528041,1.162299314
2017/9/7,1.198825849,1.162840593
2017/9/8,1.199978938,1.162158293
2017/9/11,1.204842295,1.167484253
2017/9/12,1.206529647,1.16873236
2017/9/13,1.206351563,1.167976798
2017/9/14,1.20537789,1.167012793
2017/9/15,1.207261932,1.170240975
2017/9/18,1.21024862,1.171019645
2017/9/19,1.207730444,1.169493207
2017/9/20,1.209009458,1.168208976
2017/9/21,1.206764808,1.167125935
2017/9/22,1.20588669,1.169489189
2017/9/25,1.202422413,1.168749362
2017/9/26,1.201898519,1.165743559
2017/9/27,1.202602748,1.165016631
2017/9/28,1.204296707,1.166409363
2017/9/29,1.207823169,1.169922125
2017/10/3,1.211485743,1.174158601
2017/10/4,1.212257005,1.174258937
2017/10/6,1.212781907,1.17415431
2017/10/9,1.215125834,1.173362654
2017/10/10,1.217526949,1.177542754
2017/10/11,1.220754308,1.179407603
2017/10/12,1.224110524,1.180472273
2017/10/13,1.225157051,1.182849796
2017/10/16,1.225133493,1.183284892
2017/10/17,1.22457991,1.182444005
2017/10/18,1.226851635,1.182644329
2017/10/19,1.223795259,1.181695081
2017/10/20,1.225816666,1.182033947
2017/10/23,1.22668455,1.180070885
2017/10/24,1.225897185,1.179971066
2017/10/25,1.223976422,1.176675745
2017/10/26,1.224567011,1.176172055
2017/10/27,1.226123002,1.180528484
2017/10/30,1.226691231,1.18128941
2017/10/31,1.230315019,1.182614584
2017/11/1,1.231354467,1.184589815
2017/11/2,1.230590531,1.186111192
2017/11/3,1.231140408,1.186981835
2017/11/6,1.235830027,1.188255846
2017/11/7,1.235592906,1.189200542
2017/11/8,1.232948961,1.188060683
2017/11/9,1.231872683,1.185572762
2017/11/10,1.232397957,1.183726625
2017/11/13,1.231687129,1.181685445
2017/11/14,1.22919238,1.18062625
2017/11/15,1.225721417,1.178609757
2017/11/16,1.230586611,1.184586125
2017/11/17,1.230309363,1.185292741
2017/11/20,1.230991458,1.185929835
2017/11/21,1.235395824,1.19131176
2017/11/22,1.235408093,1.193640911
2017/11/23,1.232670991,1.194132796
2017/11/24,1.234239,1.195316175
2017/11/27,1.229836401,1.19174895
2017/11/28,1.235191344,1.195777959
2017/11/29,1.235321223,1.196063543
2017/11/30,1.234606987,1.197774495
2017/12/1,1.232313033,1.196632777
2017/12/4,1.237703052,1.198205143
2017/12/5,1.233941172,1.195621228
2017/12/6,1.229650311,1.192429173
2017/12/7,1.229844038,1.19272552
2017/12/8,1.232877488,1.195615259
2017/12/11,1.236148423,1.198944239
2017/12/12,1.235615281,1.19923639
2017/12/13,1.237723776,1.200740295
2017/12/14,1.236838342,1.199729065
2017/12/15,1.236926535,1.203297537
2017/12/18,1.243060732,1.210283257
2017/12/19,1.242871702,1.206675525
2017/12/20,1.240572411,1.20699033
2017/12/21,1.243562989,1.208623416
2017/12/22,1.243135391,1.207813673
2017/12/27,1.244682816,1.210177175
2017/12/28,1.247036428,1.212740409
2017/12/29,1.250666122,1.212001715
2018/1/2,1.253629065,1.217320685
2018/1/3,1.260446198,1.221603936
2018/1/4,1.266602972,1.227873442
2018/1/5,1.269278809,1.233010022
2018/1/8,1.271431486,1.234513392
2018/1/9,1.273641147,1.23411036
2018/1/10,1.27076343,1.234017659
2018/1/11,1.273756317,1.237952567
2018/1/12,1.281059094,1.243140797
2018/1/15,1.283867859,1.246466055
2018/1/16,1.284966668,1.245408404
2018/1/17,1.282220106,1.247605556
2018/1/18,1.282216412,1.24600299
2018/1/19,1.283592922,1.249164756
2018/1/22,1.290020704,1.253820927
2018/1/23,1.2957334,1.258669037
2018/1/24,1.296245342,1.25934448
2018/1/25,1.297702793,1.261196595
2018/1/26,1.300849511,1.266100162
2018/1/29,1.296231778,1.260218787
2018/1/30,1.290039326,1.251970584
2018/1/31,1.289951265,1.253079633
2018/2/1,1.286317863,1.251097934
2018/2/2,1.278907574,1.234318729
2018/2/5,1.267165907,1.211652974
2018/2/6,1.240259877,1.207175571
2018/2/7,1.250760355,1.20584869
2018/2/8,1.237717801,1.187063637
2018/2/9,1.221801373,1.186575012
2018/2/12,1.237018648,1.195667226
2018/2/13,1.238492591,1.198706545
2018/2/14,1.246279039,1.206811723
2018/2/15,1.254696316,1.217140676
2018/2/20,1.25797406,1.21581113
2018/2/21,1.259296229,1.213510568
2018/2/22,1.258794268,1.212702028
2018/2/23,1.259653273,1.222440457
2018/2/26,1.270270301,1.229308379
2018/2/27,1.267980453,1.222133034
2018/2/28,1.261491116,1.21409043
2018/3/1,1.256828357,1.206117863
2018/3/2,1.245856549,1.204781144
2018/3/5,1.254194173,1.210009198
2018/3/6,1.258920233,1.215514106
2018/3/7,1.258497832,1.214910201
2018/3/8,1.263430535,1.220392616
2018/3/9,1.27106999,1.227514321
2018/3/12,1.277346102,1.231901804
2018/3/13,1.274935135,1.22916049
2018/3/14,1.271773848,1.226268466
2018/3/15,1.27263722,1.225616303
2018/3/16,1.270620995,1.225312562
2018/3/19,1.262888319,1.21700809
2018/3/20,1.264247472,1.217273487
2018/3/21,1.264591589,1.216496826
2018/3/22,1.255612965,1.205340389
2018/3/23,1.241022407,1.190762684
2018/3/26,1.240745213,1.202284031
2018/3/27,1.254872628,1.199485217
2018/3/28,1.243549252,1.195405474
2018/3/29,1.247329602,1.203021396
2018/4/3,1.242925176,1.196898986
2018/4/4,1.242471651,1.199827807
2018/4/6,1.249381757,1.197952128
2018/4/9,1.253550773,1.201009411
2018/4/10,1.259101882,1.211511573
2018/4/11,1.258676261,1.209361712
2018/4/12,1.260069012,1.21136605
2018/4/13,1.259431313,1.2102573
2018/4/16,1.258763037,1.213426263
2018/4/17,1.262598295,1.219405559
2018/4/18,1.266344246,1.221595437
2018/4/19,1.264573384,1.218109167
2018/4/20,1.256768784,1.209492968
2018/4/23,1.253707991,1.207211137
2018/4/24,1.256013608,1.202554033
2018/4/25,1.24713926,1.198786167
2018/4/26,1.248012744,1.204912463
2018/4/27,1.250986969,1.208278587
2018/4/30,1.253626404,1.206420203
2018/5/2,1.247312506,1.201656125
2018/5/3,1.240478867,1.199027054
2018/5/4,1.248361493,1.204989534
2018/5/7,1.250861984,1.207859716
2018/5/8,1.25245501,1.206992759
2018/5/9,1.254751687,1.211430507
2018/5/10,1.26512101,1.217728041
2018/5/11,1.266531507,1.221423354
2018/5/14,1.270397524,1.222808234
2018/5/15,1.266076137,1.214087789
2018/5/16,1.26628729,1.215231751
2018/5/17,1.267168232,1.214817049
2018/5/18,1.265304696,1.213641312
2018/5/21,1.268308187,1.21671373
2018/5/23,1.264985052,1.215383914
2018/5/24,1.266063335,1.21403365
2018/5/25,1.266738349,1.212378123
2018/5/28,1.269884305,1.211115984
2018/5/29,1.257262705,1.205792106
2018/5/30,1.26026755,1.209287404
2018/5/31,1.263670212,1.206909424
2018/6/1,1.264074436,1.21194075
2018/6/4,1.269346241,1.216678093
2018/6/5,1.273028382,1.216436754
2018/6/6,1.277235875,1.221359
2018/6/7,1.278644785,1.222345284
2018/6/8,1.274627454,1.220815648
2018/6/11,1.275788312,1.223117726
2018/6/12,1.279472699,1.223730548
2018/6/13,1.27854776,1.221607482
2018/6/14,1.275344202,1.222296149
2018/6/15,1.26982711,1.219305837
2018/6/19,1.257786328,1.209755378
2018/6/20,1.26345231,1.211250302
2018/6/21,1.258886998,1.206267108
2018/6/22,1.264553514,1.210015633
2018/6/25,1.255574885,1.199568612
2018/6/26,1.255436102,1.200683062
