Currency,Country,Event Short Name,Bloomber Ticker,BBG FREQ,BBG TRANSFORM,BBG INDX UNITS,BBG QUOTE UNITS,BBG UPDATE TIME
EUR,Germany,GE CPI Saxony MoM,GRCP2SAM Index,Monthly,MoM% NSA,Rate,% CHANGE,4:00:00 PM
INR,India,IN Nikkei India Mfc PMI,MPMIINMA Index,Monthly,% Balance/Diffusion Index SA,Value,%,1:00:00 PM
INR,India,IN Nikkei India Services PMI,MPMIINSA Index,Monthly,% Balance/Diffusion Index SA,Value,#N/A Field Not Applicable,1:00:00 PM
INR,India,IN Nikkei India Composite PMI,MPMIINCA Index,Monthly,% Balance/Diffusion Index SA,Value,#N/A Field Not Applicable,1:00:00 PM
INR,India,IN Industrial Production YoY,INPIINDY Index,Monthly,YoY% NSA,Percent,% CHANGE,8:00:00 PM
INR,India,IN CPI YoY,INFUTOTY Index,Monthly,YoY% NSA,Percent,%,8:00:00 PM
INR,India,IN Wholesale Prices YoY,INFINFY Index,Monthly,YoY% NSA,Rate,% CHANGE,2:30:00 PM
INR,India,IN GDP YoY,IGQRYOY Index,Quarterly,YoY% NSA,Value,#N/A Field Not Applicable,8:00:00 PM
IDR,Indonesia,Indonesia Trade Balance,IDBALTOL Index,Monthly,Value NSA,Value,MILLIONS,12:00:00 PM
IDR,Indonesia,Indonesia FX reserves,IDGFA Index,Monthly,Value NSA,Value,BILLIONS,11:00:00 AM
JPY,Japan,BoP Current Account Balance,JNBPAB Index,Monthly,Value NSA,Value,Billions,7:50:00 AM
JPY,Japan,PPI MoM,JNWSDOM Index,Monthly,MoM% NSA,Rate,% CHANGE,7:50:00 AM
JPY,Japan,PPI YoY,JNWSDYOY Index,Monthly,YoY% NSA,Rate,% CHANGE,7:50:00 AM
JPY,Japan,Official Reserve Assets,JNFRTOTL Index,Monthly,Value NSA,Value,BILLIONS,7:50:00 AM
JPY,Japan,Leading Index CI,JNCICLEI Index,Monthly,Index NSA,Value,#N/A Field Not Applicable,1:00:00 PM
JPY,Japan,Trade Balance (on paper),JNBPTRD Index,Monthly,Value NSA,Value,BILLION,7:50:00 AM
JPY,Japan,Machine Tool Orders YoY,JNMTOY Index,Monthly,YoY% NSA,Rate,% CHANGE,2:00:00 PM
JPY,Japan,Consumer Confidence Index,JCOMSHCF Index,Monthly,% Balance/Diffusion Index SA,Value,#N/A Field Not Applicable,1:00:00 PM
JPY,Japan,Machine Orders MoM,JNMOCHNG Index,Monthly,MoM% SA,Rate,% CHANGE,7:50:00 AM
JPY,Japan,Capacity Utilization MoM,JNCAPMOM Index,Monthly,MoM% SA,Rate,% CHANGE,12:30:00 PM
JPY,Japan,Industrial Production MoM,JNIPMOM Index,Monthly,MoM% SA,Rate,% CHANGE,12:30:00 PM
JPY,Japan,GDP SA QoQ,JGDPQGDP Index,Quarterly,QoQ% SA,Rate,% CHANGE,7:50:00 AM
JPY,Japan,Markit/JMMA Japan Manufacturing PMI,MPMIJPMA Index,Monthly,% Balance/Diffusion Index SA,Value,%,8:30:00 AM
JPY,Japan,All Industry Activity Index MoM,JNTIAIAM Index,Monthly,MoM% SA,Rate,% CHANGE,12:30:00 PM
JPY,Japan,Trade Balance (customs),JNTBAL Index,Monthly,Value NSA,Value,BILLIONS,7:50:00 AM
JPY,Japan,Retail Sales MoM,JNRETMOM Index,Monthly,MoM% SA,Rate,% CHANGE,7:50:00 AM
JPY,Japan,Jobless Rate,JNUE Index,Monthly,Percent SA,Rate,% RATIO,7:30:00 AM
JPY,Japan,Natl CPI Ex Fresh Food YoY,JNCPIXFF Index,Monthly,YoY% NSA,Rate,%,7:30:00 AM
JPY,Japan,Tokyo CPI Ex-Fresh Food YoY,JNCPTXFF Index,Monthly,YoY% NSA,Rate,%,7:30:00 AM
JPY,Japan,Housing Starts YoY,JNHSYOY Index,Monthly,YoY% NSA,Rate,% CHANGE,1:00:00 PM
JPY,Japan,Capital Spending YoY,JNVNYOYS Index,Quarterly,YoY% NSA,Rate,% CHANGE,7:50:00 AM
JPY,Japan,Monetary Base YoY,JNMBYOY Index,Monthly,YoY% NSA,Rate,% CHANGE,7:50:00 AM
JPY,Japan,Markit Japan Services PMI,MPMIJPSA Index,Monthly,% Balance/Diffusion Index SA,Value,#N/A Field Not Applicable,8:30:00 AM
JPY,Japan,Markit/JMMA Japan Composite PMI,MPMIJPCA Index,Monthly,% Balance/Diffusion Index SA,Value,#N/A Field Not Applicable,8:30:00 AM
JPY,Japan,Tankan Large Mfg Index,JNTSMFG Index,Quarterly,% Balance/Diffusion Index NSA,Value,#N/A Field Not Applicable,7:50:00 AM
JPY,Japan,Tankan Large All Industry Capex,JTFIFILA Index,Quarterly,YoY% NSA,Rate,%,7:50:00 AM
JPY,Japan,Machine Orders YoY,JNMOYOY Index,Monthly,YoY% NSA,Rate,% CHANGE,7:50:00 AM
JPY,Japan,Imports YoY,JNTBIMPY Index,Monthly,YoY% NSA,Rate,% CHANGE,7:50:00 AM
