,25%,50%,75%,count,diff_stat_p,end,freq_day,max,mean,min,missing_pct,raw_stat_p,start,std
BISBKRN Index,105.945,112.85,118.41,6139.0,,2019-10-22,1.4001303356142065,150.02,113.80671281967759,67.31,0.0,0.0045973159022619,1996-04-11,13.32676231204896
BISBKRR Index,101.67,109.22,119.25,309.0,,2019-09-30,30.431818181818183,131.9,109.85000000000001,72.33,0.0,0.018411240632752766,1994-01-31,11.387707401849147
BISBNON Index,88.97,94.72,100.13,6139.0,0.0,2019-10-22,1.4001303356142065,106.83,94.19300048867866,78.97,0.0,0.4651373570631018,1996-04-11,6.912619797760723
BISBNOR Index,91.28,94.77,98.84,309.0,7.66893569916513e-09,2019-09-30,30.431818181818183,110.52,94.51579288025889,80.72,0.0,0.3115587622540913,1994-01-31,5.673969478704817
BISBNZN Index,95.64,103.25,108.13,6139.0,0.0,2019-10-22,1.4001303356142065,120.58,100.7945381984032,72.35,0.0,0.20701603170470895,1996-04-11,10.294312884899325
BISBNZR Index,92.36,100.42,105.85,309.0,8.223004416890606e-26,2019-09-30,30.431818181818183,116.56,98.00993527508095,70.86,0.0,0.20785207180277482,1994-01-31,10.191141588601047
BISBPHN Index,97.805,102.6,109.765,6139.0,,2019-10-22,1.4001303356142065,183.36,108.93117934517022,85.64,0.0,0.011155483806849125,1996-04-11,20.41923563569803
BISBPHR Index,89.7,99.3,107.09,309.0,2.370543480668446e-23,2019-09-30,30.431818181818183,119.39,97.96090614886731,73.07,0.0,0.37526047063969986,1994-01-31,11.185529140958925
BISBSEN Index,98.26,101.92,104.66,6139.0,0.0,2019-10-22,1.4001303356142065,113.8,101.3052044306894,84.0,0.0,0.16014970342035645,1996-04-11,5.029030389961259
BISBSER Index,98.47,106.12,113.26,309.0,5.081475271415911e-22,2019-09-30,30.431818181818183,130.18,106.12899676375402,85.12,0.0,0.6077186544345256,1994-01-31,10.218194237279336
BISBSGN Index,91.12,96.18,108.37,6139.0,5.479968143995395e-29,2019-10-22,1.4001303356142065,114.41,98.82454308519274,87.09,0.0,0.9722262711436356,1996-04-11,8.661542764907486
BISBSGR Index,96.3,101.68,108.14,309.0,0.0010789746867793796,2019-09-30,30.431818181818183,114.11,101.64203883495158,88.84,0.0,0.6752561561709945,1994-01-31,7.237494681947216
BISBTHN Index,92.035,98.48,104.495,6139.0,6.183327807329881e-22,2019-10-22,1.4001303356142065,146.35,99.74074279198605,68.69,0.0,0.06185351935190069,1996-04-11,10.29969132309657
BISBTHR Index,88.84,99.53,104.55,309.0,4.70324014039876e-11,2019-09-30,30.431818181818183,122.07,97.54919093851129,68.2,0.0,0.33437288127840326,1994-01-31,9.401425751527054
BISBTWN Index,103.87,108.47,113.76,6139.0,7.758494662956201e-25,2019-10-22,1.4001303356142065,123.68,108.87899983710703,96.51,0.0,0.29616275005978554,1996-04-11,6.253477789765501
BISBTWR Index,101.36,109.52,127.83,309.0,4.587449996963593e-30,2019-09-30,30.431818181818183,146.31,114.7425566343042,97.07,0.0,0.23886489470380817,1994-01-31,14.525801884593188
