,25%,50%,75%,count,end,freq_day,max,mean,min,missing_pct,start,std
INPIINDY Index,3.2,5.3,8.149999999999999,267.0,2019-09-30,30.324626865671643,20.0,5.876029962546822,-7.2,0.0074349442379182396,1997-06-30,4.487361781547972
INRPYLDP Index,6.0,6.75,8.0,115.0,2019-10-04,55.65289256198347,9.0,6.904782608695652,4.5,0.05737704918032782,2001-04-27,1.1314478752606023
IP CHNG Index,-0.17,0.19,0.55,357.0,2019-09-30,30.43258426966292,2.05,0.15294117647058808,-4.34,0.0,1990-01-31,0.6281281532196685
JCOMSHCF Index,39.2,41.7,44.3,243.0,2019-09-30,44.52479338842975,50.1,41.597942386831235,27.5,0.0,1990-03-31,4.57892629299348
JCPNEFFE Index,-0.4,0.2,0.9,357.0,2019-09-30,30.43258426966292,3.2,0.40672268907563064,-1.7,0.0,1990-01-31,1.1523837843209106
JGDPAGDP Index,-0.6,1.1,3.2,101.0,2019-09-30,91.31683168316832,10.5,1.02970297029703,-17.8,0.009803921568627416,1994-06-30,3.732064966059821
JGDPQGDP Index,-0.1,0.3,0.8,101.0,2019-09-30,91.31683168316832,2.5,0.24059405940594064,-4.8,0.009803921568627416,1994-06-30,0.9476474257678096
JNBPAB Index,781.6999999999999,1252.6,1655.9250000000002,284.0,2019-09-30,30.010416666666668,3360.4,1235.4795774647882,-1456.1,0.01730103806228378,1996-01-31,704.2124042669909
JNBPTRD Index,154.39999999999998,715.25,1098.175,284.0,2019-09-30,30.433098591549296,1944.5,552.8109154929575,-2424.1,0.0035087719298245723,1996-01-31,721.5885686871269
JNCAPMOM Index,-0.9025000000000001,0.09,1.075,356.0,2019-09-30,30.43258426966292,14.41,-0.025280898876404483,-21.76,0.0028011204481792618,1990-01-31,2.450729740077785
JNCICLEI Index,88.67500000000001,95.3,100.22500000000001,356.0,2019-09-30,30.43258426966292,108.0,94.05084269662932,72.5,0.0028011204481792618,1990-01-31,7.823084249526269
JNCPIXFF Index,-0.2,0.1,0.9,357.0,2019-09-30,30.43258426966292,3.4,0.45126050420168057,-2.4,0.0,1990-01-31,1.1666623053634364
JNCPTXFF Index,-0.4,0.0,0.9,357.0,2019-09-30,30.43258426966292,3.3,0.3302521008403361,-2.2,0.0,1990-01-31,1.1885375742819917
JNCVSSY Index,-1.8,-0.7,0.8,249.0,2019-09-30,30.431451612903224,14.1,-0.19277108433734935,-7.5,0.0,1999-01-31,3.1960957709719917
JNFRTOTL Index,215.949,837.878,1233.008,357.0,2019-09-30,30.43258426966292,1331.5829999999999,696.2200336134453,66.888,0.0,1990-01-31,472.1309122183226
JNHSYOY Index,-7.0760000000000005,0.1255,6.363499999999999,356.0,2019-09-30,30.43258426966292,54.216,-1.1280730337078646,-43.955,0.0028011204481792618,1990-01-31,12.182215971329514
JNIPMOM Index,-0.8,0.2,1.025,356.0,2019-09-30,30.43258426966292,6.8,0.013202247191011244,-16.5,0.0028011204481792618,1990-01-31,1.9133099035832803
JNLSUCRE Index,-1.2,-0.1,0.7,344.0,2019-09-30,30.433139534883722,6.6,-0.25261627906976736,-5.3,0.0028985507246376274,1991-01-31,1.60039867969254
JNLSUCTL Index,-0.7,0.1,0.925,344.0,2019-09-30,30.433139534883722,6.9,0.12470930232558147,-7.1,0.0028985507246376274,1991-01-31,1.8263857879549517
JNMBYOY Index,3.5,6.9,14.5,357.0,2019-09-30,30.43258426966292,55.7,10.02997198879552,-22.3,0.0,1990-01-31,12.941650522929454
JNMOCHNG Index,-4.1,0.0,4.6,356.0,2019-09-30,30.43258426966292,26.3,0.11713483146067416,-17.0,0.0028011204481792618,1990-01-31,6.47786381880699
JNMOYOY Index,-7.5,1.05,8.75,356.0,2019-09-30,30.43258426966292,42.3,0.10337078651685462,-41.6,0.0028011204481792618,1990-01-31,12.660226724607579
JNMTOY Index,-18.9,5.4,26.0,357.0,2019-09-30,30.43258426966292,262.2,7.782352941176471,-85.2,0.0,1990-01-31,41.72756003360641
JNRETMOM Index,-0.45,0.1,0.8,211.0,2019-09-30,30.44075829383886,8.3,0.07014218009478675,-13.7,0.004716981132075526,2002-02-28,1.6501109569252457
JNSBALLI Index,44.0,47.2,49.1,333.0,2018-01-31,30.4375,53.5,46.161861861861816,24.8,0.011869436201780381,1990-01-31,4.253852132927539
JNSMTYOY Index,-3.125,-1.6,-0.3,216.0,2019-09-30,30.432558139534883,9.4,-1.6643518518518514,-10.1,0.0,2001-10-31,2.458677569732056
JNTBAL Index,70.848,660.919,959.414,357.0,2019-09-30,30.43258426966292,1608.675,465.1148319327732,-2795.115,0.0,1990-01-31,707.4388609222667
JNTBEXPY Index,-2.4,4.5,9.8,357.0,2019-09-30,30.43258426966292,45.3,3.27170868347339,-49.4,0.0,1990-01-31,11.906433472171917
JNTBIMPY Index,-4.1,7.7,14.2,357.0,2019-09-30,30.43258426966292,37.2,4.587114845938379,-42.7,0.0,1990-01-31,14.134289798683831
JNTIAIAM Index,-0.3,0.1,0.45,319.0,2019-09-30,30.438871473354233,2.4,0.03949843260188088,-7.1,0.0031250000000000444,1993-02-28,0.8686762859531791
JNTSMFG Index,-14.0,5.0,15.5,119.0,2019-09-30,91.3135593220339,43.0,-0.40336134453781514,-58.0,0.0,1990-03-31,22.640641171870744
JNUE Index,3.0,3.8499999999999996,4.625,356.0,2019-09-30,30.43258426966292,5.5,3.7693820224719135,2.0,0.0028011204481792618,1990-01-31,1.0175312073214666
JNVNYOYS Index,-4.15,3.45,7.3,72.0,2019-09-30,91.30555555555556,16.8,1.084722222222222,-25.3,0.013698630136986356,2001-09-30,9.425387648055594
JNWSDOM Index,-0.2,0.0,0.2,357.0,2019-09-30,30.43258426966292,2.9,-0.008123249299719882,-1.9,0.0,1990-01-31,0.41083103834826207
JNWSDYOY Index,-1.6,-0.1,1.7,357.0,2019-09-30,30.43258426966292,7.5,-0.030532212885154203,-8.5,0.0,1990-01-31,2.3022443854499497
JOLTTOTL Index,3485.0,4131.0,5259.0,225.0,2019-09-30,43.22566371681416,7626.0,4452.066666666667,2264.0,0.008810572687224627,1992-12-31,1303.0220814103104
JSIABOND Index,-196.47499999999997,193.7,630.25,962.0,2019-10-18,7.029075804776739,2549.7,191.26029106029117,-3072.1,0.0020746887966804906,2001-04-06,695.538546419819
JTFIFILA Index,-3.25,2.7,6.699999999999999,119.0,2019-09-30,91.3135593220339,16.6,1.9151260504201684,-14.1,0.0,1990-03-31,6.83549607210576
JWCOOVRL Index,42.1,46.7,50.1,237.0,2019-09-30,30.43220338983051,57.9,45.08481012658232,15.9,0.0,2000-01-31,7.549358856056856
JWEXOVRL Index,44.0,48.5,51.3,237.0,2019-09-30,30.43220338983051,57.8,46.79029535864982,17.6,0.0,2000-01-31,6.943960819413239
KOBLHHD Index,270.6,376.8,453.4,179.0,2016-10-31,30.759358288770052,556.1,358.5167597765362,115.5,0.0478723404255319,2001-01-31,112.75316059051221
KOBSMC Index,75.0,82.0,90.0,201.0,2019-09-30,30.43,105.0,82.02487562189054,43.0,0.0,2003-01-31,10.265689363576744
KOCCCSI Index,98.25,101.9,107.6,135.0,2019-09-30,30.432835820895523,120.8,101.9437037037037,68.5,0.0,2008-07-31,8.844001318099085
KOCPIMOM Index,0.0,0.3,0.6,357.0,2019-09-30,30.43258426966292,2.5,0.2887955182072831,-0.7,0.0,1990-01-31,0.4628174042133445
KOCPIYOY Index,1.8,3.2,4.7,357.0,2019-09-30,30.43258426966292,10.1,3.5546218487394907,-0.4,0.0,1990-01-31,2.3287799247804917
KOEAUERS Index,3.3,3.6,3.8,244.0,2019-09-30,30.440329218106996,7.1,3.6524590163934447,3.0,0.0,1999-06-30,0.5585420637665176
KOGDPQOQ Index,0.6,0.9,1.5,79.0,2019-09-30,91.3076923076923,11.9,1.0911392405063296,-3.2,0.0,2000-03-31,1.500699825928892
KOGDPYOY Index,2.75,3.8,5.45,79.0,2019-09-30,91.30379746835443,24.5,4.691139240506331,-1.8,0.012499999999999956,1999-12-31,4.147232313842439
KOIPIY Index,1.175,4.98,10.395,356.0,2019-09-30,30.43258426966292,38.73,5.942106741573033,-25.26,0.0028011204481792618,1990-01-31,8.449683371006532
KORP7DR Index,1.5,2.0,2.75,130.0,2019-10-17,27.185897435897434,5.25,2.3461538461538463,1.25,0.1719745222929936,2008-03-07,0.9656827801932869
KOTBEXPY Index,-4.35,7.9,17.55,179.0,2019-09-30,30.43258426966292,56.8,6.963128491620114,-30.4,0.0,2004-11-30,16.055342603401854
KOTRBAL Index,-117.0,1609.0,3506.0,357.0,2019-09-30,30.43258426966292,13419.0,2010.4649859943977,-4043.0,0.0,1990-01-31,2913.00528471863
LMCILMCC Index,-2.3,1.9,5.0,330.0,2017-06-30,30.43161094224924,14.4,-0.023030303030303057,-43.4,0.0,1990-01-31,9.168169623997915
MAALGFE$ Index,41.34,96.0,109.9,551.0,2019-10-15,14.26032315978456,141.4,85.49446460980039,19.99,0.012544802867383464,1998-01-15,38.4097691318015
MACPIYOY Index,1.4,2.1,3.2,273.0,2019-09-30,30.43014705882353,8.5,2.3754578754578755,-2.4,0.0,1997-01-31,1.5576018139764802
MAETEYOY Index,2.1175,10.73,17.0175,344.0,2019-09-30,30.433139534883722,65.07,10.044215116279064,-30.42,0.0028985507246376274,1991-01-31,13.08636757437993
MAETIYOY Index,0.605,8.8,18.865,344.0,2019-09-30,30.433139534883722,50.7,9.664825581395341,-30.41,0.0028985507246376274,1991-01-31,14.629648675810808
MAETTRBL Index,0.79,6.23,9.024999999999999,351.0,2019-09-30,30.43258426966292,16.31,5.616324786324788,-2.88,0.01680672268907568,1990-01-31,4.33252350054606
MAGDHIY Index,4.625,5.0,5.6,34.0,2019-09-30,92.46835443037975,6.5,5.152941176470588,4.2,0.575,1999-09-30,0.6533064129198567
MAGSGDPQ Index,1.1,1.4,1.5,37.0,2019-09-30,91.32432432432432,2.0,1.254054054054054,0.0,0.02631578947368418,2010-06-30,0.45740487450312467
