symbol,symbol1,SEHKENG,GICSCODE,GICSENG,LOTSIZE
150 HK Equity,00150.HK,Consumer Discretionary,20,Industrials,2500
151 HK Equity,00151.HK,Consumer Staples,30,Consumer Staples,1000
152 HK Equity,00152.HK,Industrials,20,Industrials,500
153 HK Equity,00153.HK,Properties & Construction,20,Industrials,2000
154 HK Equity,00154.HK,Industrials,20,Industrials,1000
155 HK Equity,00155.HK,Industrials,20,Industrials,10000
156 HK Equity,00156.HK,Consumer Discretionary,25,Consumer Discretionary,10000
157 HK Equity,00157.HK,Consumer Discretionary,30,Consumer Staples,10000
158 HK Equity,00158.HK,Properties & Construction,60,Real Estate,500
159 HK Equity,00159.HK,Materials,15,Materials,4000
160 HK Equity,00160.HK,Properties & Construction,60,Real Estate,2000
161 HK Equity,00161.HK,#N/A,#N/A,#N/A,#N/A
162 HK Equity,00162.HK,Consumer Discretionary,25,Consumer Discretionary,2000
163 HK Equity,00163.HK,Properties & Construction,60,Real Estate,2000
164 HK Equity,00164.HK,Information Technology,25,Consumer Discretionary,5000
165 HK Equity,00165.HK,Financials,40,Financials,2000
166 HK Equity,00166.HK,Materials,15,Materials,2000
167 HK Equity,00167.HK,Consumer Discretionary,25,Consumer Discretionary,2000
168 HK Equity,00168.HK,Consumer Staples,30,Consumer Staples,2000
169 HK Equity,00169.HK,Consumer Discretionary,60,Real Estate,1000
171 HK Equity,00171.HK,Properties & Construction,10,Energy,2000
172 HK Equity,00172.HK,Financials,40,Financials,10000
173 HK Equity,00173.HK,Properties & Construction,60,Real Estate,1000
174 HK Equity,00174.HK,Financials,40,Financials,2000
175 HK Equity,00175.HK,Consumer Discretionary,25,Consumer Discretionary,1000
176 HK Equity,00176.HK,Consumer Discretionary,25,Consumer Discretionary,2000
177 HK Equity,00177.HK,Industrials,20,Industrials,2000
178 HK Equity,00178.HK,Consumer Discretionary,25,Consumer Discretionary,2000
179 HK Equity,00179.HK,Consumer Discretionary,20,Industrials,500
180 HK Equity,00180.HK,Consumer Discretionary,25,Consumer Discretionary,2000
181 HK Equity,00181.HK,Consumer Discretionary,25,Consumer Discretionary,20000
182 HK Equity,00182.HK,Utilities,55,Utilities,10000
183 HK Equity,00183.HK,Properties & Construction,60,Real Estate,8000
184 HK Equity,00184.HK,Consumer Discretionary,25,Consumer Discretionary,2000
185 HK Equity,00185.HK,Properties & Construction,60,Real Estate,10000
186 HK Equity,00186.HK,Consumer Discretionary,25,Consumer Discretionary,30000
187 HK Equity,00187.HK,Industrials,20,Industrials,2000
188 HK Equity,00188.HK,Financials,40,Financials,10000
189 HK Equity,00189.HK,Materials,15,Materials,1000
190 HK Equity,00190.HK,Properties & Construction,60,Real Estate,1000
191 HK Equity,00191.HK,Conglomerates,60,Real Estate,1000
193 HK Equity,00193.HK,Properties & Construction,25,Consumer Discretionary,3000
194 HK Equity,00194.HK,Properties & Construction,60,Real Estate,2000
195 HK Equity,00195.HK,Materials,15,Materials,10000
196 HK Equity,00196.HK,Energy,10,Energy,1000
197 HK Equity,00197.HK,Consumer Staples,30,Consumer Staples,5000
198 HK Equity,00198.HK,Consumer Discretionary,50,Communication Services,4000
199 HK Equity,00199.HK,Properties & Construction,60,Real Estate,1000
200 HK Equity,00200.HK,Consumer Discretionary,25,Consumer Discretionary,1000
201 HK Equity,00201.HK,Consumer Discretionary,25,Consumer Discretionary,2000
202 HK Equity,00202.HK,Conglomerates,60,Real Estate,5000
203 HK Equity,00203.HK,#N/A,#N/A,#N/A,#N/A
204 HK Equity,00204.HK,Financials,40,Financials,20000
205 HK Equity,00205.HK,Consumer Discretionary,50,Communication Services,10000
206 HK Equity,00206.HK,Energy,10,Energy,1000
207 HK Equity,00207.HK,Properties & Construction,60,Real Estate,2000
208 HK Equity,00208.HK,Properties & Construction,60,Real Estate,5000
209 HK Equity,00209.HK,Consumer Discretionary,25,Consumer Discretionary,4000
210 HK Equity,00210.HK,Consumer Discretionary,25,Consumer Discretionary,2000
211 HK Equity,00211.HK,Financials,40,Financials,10000
212 HK Equity,00212.HK,Properties & Construction,60,Real Estate,500
213 HK Equity,00213.HK,Industrials,20,Industrials,2000
214 HK Equity,00214.HK,Financials,60,Real Estate,2000
215 HK Equity,00215.HK,Telecommunications,50,Communication Services,2000
216 HK Equity,00216.HK,Properties & Construction,60,Real Estate,4000
217 HK Equity,00217.HK,Materials,60,Real Estate,2000
218 HK Equity,00218.HK,Financials,40,Financials,5000
219 HK Equity,00219.HK,Consumer Discretionary,25,Consumer Discretionary,2000
220 HK Equity,00220.HK,Consumer Staples,30,Consumer Staples,1000
221 HK Equity,00221.HK,Financials,40,Financials,10000
222 HK Equity,00222.HK,Financials,25,Consumer Discretionary,2000
223 HK Equity,00223.HK,Information Technology,10,Energy,20000
224 HK Equity,00224.HK,Properties & Construction,60,Real Estate,4000
225 HK Equity,00225.HK,Properties & Construction,60,Real Estate,2000
226 HK Equity,00226.HK,Consumer Discretionary,60,Real Estate,1000
227 HK Equity,00227.HK,Financials,40,Financials,8000
228 HK Equity,00228.HK,Energy,10,Energy,2000
229 HK Equity,00229.HK,Consumer Discretionary,25,Consumer Discretionary,1000
230 HK Equity,00230.HK,Properties & Construction,60,Real Estate,2000
231 HK Equity,00231.HK,Financials,60,Real Estate,40000
232 HK Equity,00232.HK,Industrials,20,Industrials,2000
233 HK Equity,00233.HK,#N/A,#N/A,#N/A,#N/A
234 HK Equity,00234.HK,Consumer Discretionary,25,Consumer Discretionary,24000
235 HK Equity,00235.HK,Materials,15,Materials,5000
236 HK Equity,00236.HK,Consumer Staples,30,Consumer Staples,2000
237 HK Equity,00237.HK,Properties & Construction,60,Real Estate,2000
238 HK Equity,00238.HK,Consumer Discretionary,25,Consumer Discretionary,1000
239 HK Equity,00239.HK,Healthcare,35,Health Care,2500
240 HK Equity,00240.HK,Properties & Construction,20,Industrials,10000
241 HK Equity,00241.HK,Healthcare,35,Health Care,2000
242 HK Equity,00242.HK,Conglomerates,20,Industrials,2000
243 HK Equity,00243.HK,Information Technology,45,Information Technology,9000
244 HK Equity,00244.HK,Consumer Discretionary,25,Consumer Discretionary,1000
245 HK Equity,00245.HK,Financials,40,Financials,10000
246 HK Equity,00246.HK,#N/A,#N/A,#N/A,#N/A
