symbol,gicsector,gicgroup,gicind,gicsubind,standard_ind,LOTSIZE
EFJI,45,4520,452010,45201020,3663,1
EFM.1,25,2540,254010,25401025,4841,1
EFM,25,2520,252010,25201030,1531,1
EFNT,45,4520,452010,45201020,3661,1
EFOI,20,2010,201040,20104010,3640,1
EFS.1,40,4030,403010,40301050,6351,1
EFSC,40,4010,401010,40101015,6020,1
EFTD,25,2550,255020,25502020,5990,1
EFU.1,55,5510,551020,55102010,4924,1
EFUT,45,4510,451030,45103020,7372,1
EFX,20,2020,202020,20202020,7323,1
EGAN,45,4510,451030,45103010,7370,1
EGAS,55,5510,551020,55102010,4924,1
EGBN,40,4010,401010,40101015,6020,1
EGC,10,1010,101020,10102020,1311,1
EGHT,45,4510,451030,45103010,4899,1
EGL,20,2010,201010,20101010,8711,1
EGLE.2,40,4010,401010,40101015,6020,1
EGLE,20,2030,203030,20303010,4412,1
EGLT.1,45,4530,453010,45301010,3825,1
EGN,10,1010,101020,10102020,4924,1
EGO,15,1510,151040,15104030,1040,1
EGOV,45,4510,451020,45102020,7370,1
EGP,60,6010,601010,60101020,6798,1
EGPT.1,45,4510,451030,45103010,7372,1
EGR.1,30,3020,302020,30202030,2050,1
EGRT.,45,4510,451010,45101010,7310,1
EGRX,35,3520,352010,35201010,2834,1
EGT,25,2530,253010,25301010,3990,1
EGY.1,10,1010,101020,10102020,1311,1
EGY,10,1010,101020,10102020,1311,1
EH,20,2010,201010,20101010,3721,1
EHC,35,3510,351020,35102020,8060,1
EHIC,20,2030,203040,20304020,7510,1
EHP.1,40,4040,404020,40402070,6798,1
EHTH,40,4030,403010,40301010,6411,1
EI,55,5510,551020,55102010,4924,1
EICU,35,3510,351020,35102015,7372,1
EIDX,35,3520,352010,35201010,2836,1
EIG,40,4030,403010,40301040,6331,1
EIGI,45,4510,451020,45102030,7370,1
EIGR,35,3520,352010,35201010,2836,1
EIHI,40,4030,403010,40301030,6331,1
EII.U,40,4010,401010,40101015,6020,1
EIN.,40,4010,401010,40101015,6020,1
EIR.1,50,5010,501010,50101020,4813,1
EISI,25,2550,255020,25502020,4700,1
EIX,55,5510,551010,55101010,4911,1
EJ,40,4040,404030,40403040,6531,1
EKC.1,25,2510,251010,25101010,6799,1
EKD,40,4020,402030,40203010,6020,1
EKSO,35,3510,351010,35101010,3845,1
EKT,40,4010,401010,40101010,5331,1
EL,30,3030,303020,30302010,2844,1
ELA,25,2550,255040,25504040,5990,1
ELA.PB,60,6010,601010,60101070,6798,1
ELAB,35,3520,352020,35202010,2834,1
ELAN,35,3520,352020,35202010,2834,1
ELAS,45,4520,452010,45201010,3661,1
ELB,15,1510,151040,15104030,1040,1
ELBI,40,4010,401010,40101010,6020,1
ELBO,25,2550,255040,25504020,5945,1
ELBT,20,2010,201040,20104010,3690,1
ELF,30,3030,303020,30302010,2844,1
ELJ,20,2010,201070,20107010,7359,1
ELK,20,2010,201020,20102010,2950,1
ELLI,45,4510,451030,45103010,7372,1
ELLO,55,5510,551050,55105020,4991,1
ELMD,35,3510,351010,35101010,3845,1
ELMG,45,4520,452010,45201020,3663,1
ELMS,25,2530,253010,25301040,5812,1
ELN,35,3520,352010,35201010,2834,1
ELNK,45,4510,451010,45101010,7370,1
ELNT,45,4520,452050,45205020,3674,1
ELON,45,4520,452030,45203020,3576,1
ELOQ,45,4510,451030,45103020,7372,1
ELOS,35,3510,351010,35101010,3845,1
ELOX,35,3520,352020,35202010,2836,1
ELP,55,5510,551010,55101010,4911,1
ELRC,45,4520,452030,45203030,7359,1
ELS,60,6010,601010,60101060,6798,1
ELSE,45,4520,452030,45203010,3823,1
ELT.1,25,2530,253010,25301020,7011,1
ELTE,45,4510,451020,45102010,7373,1
ELTK,45,4520,452030,45203015,3672,1
ELVT,40,4020,402020,40202010,6141,1
ELX,45,4520,452010,45201020,3576,1
ELY,25,2520,252020,25202010,3949,1
EM.3,35,3510,351030,35103010,7374,1
EMAG.2,35,3510,351030,35103010,7372,1
EMAN,45,4530,453010,45301020,3679,1
EMBT.,45,4510,451030,45103020,7373,1
EMBX,35,3520,352010,35201010,3841,1
EMC,45,4520,452020,45202030,3572,1
EMCF,40,4010,401010,40101015,6020,1
EMCI,40,4030,403010,40301040,6331,1
EMCO.,45,4520,452030,45203010,3823,1
EME,20,2010,201030,20103010,1731,1
EMEY,15,1510,151040,15104025,1000,1
EMKR,45,4520,452010,45201020,3663,1
EML,20,2010,201060,20106020,3420,1
EMLTF,20,2010,201020,20102010,5070,1
EMN,15,1510,151010,15101020,2821,1
EMN.WS,35,3510,351020,35102015,7389,1
EMP,60,6010,601010,60101030,6798,1
EMQ,40,4030,403010,40301040,6331,1
EMR,20,2010,201040,20104010,3823,1
EMS.2,45,4520,452050,45205020,3674,1
EMS,35,3510,351020,35102015,4100,1
EMT.2,50,5010,501010,50101020,4813,1
EMUS,45,4510,451010,45101010,5735,1
EMX,15,1510,151040,15104020,1040,1
EMZ,60,6010,601010,60101050,6798,1
ENB,10,1010,101020,10102040,4924,1
ENBL,10,1010,101020,10102040,4922,1
ENCD,45,4520,452020,45202020,3577,1
ENCY,35,3520,352010,35201010,2836,1
ENDO.1,35,3510,351010,35101010,3841,1
ENDP,35,3520,352020,35202010,2834,1
ENFC,40,4010,401020,40102010,6036,1
ENG,10,1010,101010,10101020,8711,1
ENGL,25,2520,252010,25201030,1531,1
ENH,40,4030,403010,40301050,6331,1
ENH.PB,35,3510,351010,35101010,2835,1
ENH.PC,40,4010,401010,40101015,6020,1
ENIA,55,5510,551010,55101010,4911,1
ENIC,55,5510,551010,55101010,4911,1
ENJ,25,2530,253010,25301040,5812,1
ENLC,10,1010,101020,10102040,4922,1
ENLK,10,1010,101020,10102030,4923,1
ENLV.1,45,4510,451030,45103010,7372,1
ENLV,35,3520,352010,35201010,2836,1
ENMC,35,3510,351010,35101010,3842,1
ENN,40,4040,404020,40402070,6798,1
ENO.1,20,2010,201060,20106020,3580,1
ENO,35,3520,352020,35202010,2834,1
ENOB,35,3520,352010,35201010,2836,1
ENOC,45,4510,451030,45103010,7370,1
ENP,10,1010,101020,10102020,1311,1
ENPH,45,4530,453010,45301010,3674,1
ENPT.,45,4520,452020,45202010,5045,1
ENQ,60,6010,601010,60101080,6798,1
ENR,30,3030,303010,30301010,3690,1
ENS,20,2010,201040,20104010,3690,1
ENSG,35,3510,351020,35102020,8051,1
ENSI,55,5510,551020,55102010,5172,1
ENSV,10,1010,101010,10101020,1389,1
ENT.4,50,5010,501010,50101010,7370,1
ENTA,35,3520,352010,35201010,2836,1
ENTG,45,4530,453010,45301010,3559,1
ENTL,35,3510,351010,35101010,3845,1
ENTR.1,45,4530,453010,45301020,3674,1
ENTU,45,4510,451030,45103020,7372,1
ENTX,35,3520,352010,35201010,2836,1
ENV,45,4510,451030,45103010,6282,1
ENVA,40,4020,402020,40202010,6141,1
ENVE,50,5010,501010,50101020,4813,1
ENVI,45,4510,451030,45103010,3663,1
ENWV,45,4520,452010,45201020,3663,1
ENZ,35,3510,351020,35102015,8071,1
ENZY,35,3520,352010,35201010,2833,1
EOCA,55,5510,551050,55105010,4911,1
EOG,10,1010,101020,10102020,1311,1
EOLS,35,3520,352020,35202010,2834,1
EONC,45,4520,452010,45201020,4899,1
