name,CSDCCCode,SecId,PerformanceId,MasterPortfolioId,ISIN,obsoletedate,obsoletetype
Bosera XinFeng Flxbl Alloc A,3436,F00000Y9AY,0P00019CL9,,,,
Bosera XinFeng Flxbl Alloc C,3437,F00000Y9AZ,0P00019CLA,,,,
Bosera XingRong MMKT Fd,4282,F00000YFSP,0P00019M6V,,,,
Bosera XinHui Flxbl Alloc A,4149,F00000YBR7,0P00019GVB,,,,
Bosera XinHui Flxbl Alloc C,4150,F00000YBR8,0P00019GVC,,,,
Bosera XinRui Flxbl Alloc A,2558,F00000XS17,0P00018Q71,,,,
Bosera XinRui Flxbl Alloc C,2559,F00000XS18,0P00018Q72,,,,
Bosera XinRun Flxbl Alloc A,3950,F00000Y7H2,0P0001997I,,,,
Bosera XinRun Flxbl Alloc C,3951,F00000Y7H3,0P0001997J,,,,
Bosera XinSheng MMTF,4060,F00000Y95V,0P00019C5O,,,,
Bosera XinTai Alloc A,4175,F00000YCJX,0P00019IDW,,,,
Bosera XinTai Alloc C,4176,F00000YCJY,0P00019IDX,,,,
Bosera XinYuan Flxbl Alloc A,3119,F00000XKXF,0P00018HJU,,,,
Bosera XinYuan Flxbl Alloc C,3120,F00000XKXG,0P00018HJV,,,,
Bosera XinZhe Flxbl Alloc A,3434,F00000XRQC,0P00018PVP,,,,
Bosera XinZhe Flxbl Alloc C,3435,F00000XRQD,0P00018PVQ,,,,
Bosera YinZhi Large data 100 Idx A,2588,F00000X1MR,0P00017PZD,,,,
Bosera YinZhi Large data 100 Idx C,4416,F00000ZHOA,0P0001BM3G,,,,
Bosera Yitai Alloc A,2813,F000010TM3,0P0001E0II,,,,
Bosera Yitai Alloc C,2814,F000010TM4,0P0001E0IJ,,,,
Bosera Yu Rong Pure Bd,1961,F00000WH4G,0P00016XE8,,,,
Bosera YuAn Pure Bd,2447,F00000WW2T,0P00017INP,,,,
Bosera YuAng Pure Bond,2970,F00000XG8Q,0P00018APQ,,,,
Bosera YuCheng Pure Bd,2140,F00000XWWG,0P00018VV0,,,,
Bosera YuChuang Pure Bond,2754,F00000X65V,0P00017YJW,,,,
Bosera YuDa Pure Bond Fd,2198,F00000WL0K,0P000172II,,,,
Bosera YuFa Bond Fd,2568,F00000WZGQ,0P00017MXC,,,,
Bosera Yuheng Pure Bd,1911,F00000WFG6,0P00016UY7,,,,
Bosera YuHong Pure Bond,2569,F00000XBBS,0P0001856D,,,,
Bosera YuJing Pure Bond,2519,F00000X3P9,0P00017TTA,,,,
Bosera Yukang Pure Bd,2206,F00000WL4E,0P000172MY,,,,
Bosera YuLi Pure Bond,2698,F00000X4PY,0P00017V9P,,,,
Bosera Yulong Flexible Alloc Fd,652,F00000TJHR,0P000137FC,,,,
Bosera YuPeng Pure Bd,4118,F00000YBG9,0P00019GDY,,,,
Bosera YuQian Pure Bond Fd A,2175,F00000WQQN,0P000179WC,,,,
Bosera YuQian Pure Bond Fd C,2404,F00000WTBK,0P00017CYM,,,,
Bosera YuQuan Pure Bd,2578,F00000XMND,0P00018JRF,,,,
Bosera YuRui Bond Fd,1578,F00000VZSD,0P00016A01,,,,
Bosera YuSheng Pure Bd,2755,F00000X6L9,0P00017Z49,,,,
Bosera YuShun Pure Bond,2811,F00000XBQF,0P000185M8,,,,
Bosera YuTai Pure Bond,1993,F00000WIG4,0P00016ZCK,,,,
Bosera YuTeng Pure Bond Fd,2354,F00000WQQM,0P000179WB,,,,
Bosera Yuxin Pure Bd,2466,F00000WXV0,0P00017L17,,,,
Bosera YuYi Flex-Configuration Bal Fund,219,F00000Q2R9,0P0000Z18R,,,,
Bosera Zhengjinbao MMkt,1308,F00000VWQS,0P0001660C,,,,
Bosera ZhenXuan Pure Bond,3566,F00000XXUL,0P00018X9H,,,,
Bosera ZhiZhen Pure Bd,3210,F00000XMNC,0P00018JRE,,,,
BoseraYufu CSI 300 Index Fund A,50002,F0HKG05VRD,0P00007KIO,,,,
BoseraYufu CSI 300 Index Fund C,2385,F00000WSE6,0P00017BUR,,,,
Broad Qihang Alloc A,6160,F000010SOX,0P0001DZCH,,,,
Broad Qihang Alloc C,6161,F000010SOY,0P0001DZCI,,,,
Broad Zhuoyuan Alloc A,6511,F000011AIZ,0P0001EQQD,,,,
Broad Zhuoyuan Alloc C,6512,F000011AJ0,0P0001EQQE,,,,
CaiTong CaiTongBao MMkt Fund A,2957,F00000XHZF,0P00018CTF,,,,
CaiTong CaiTongBao MMkt Fund B,2958,F00000XHZG,0P00018CTG,,,,
CaiTong ECPI ESG 100 Index Enhance Fd A,42,F00000PHTH,0P0000Y0TX,,,,
CaiTong ECPI ESG 100 Index Enhance Fd C,3184,F00000YU0Q,0P0001A90J,,,,
CaiTong Growth Sel mix,1480,F00000VWY2,0P00016687,,,,
CaiTong Huili Pure Bd,5854,F000010O5C,0P0001DJ93,,,,
CaiTong Income Enhanced Bd A,720003,F00000WPJA,0P000177R9,,,,
CaiTong Income Enhanced Bd C,3204,F00000YU0O,0P0001A90H,,,,
CaiTong Informtion positive income Bd A,2901,F00000XEAA,0P000188JW,,,,
CaiTong Informtion positive income Bd C,2902,F00000XEAB,0P000188JX,,,,
CaiTong Integrated circuit industry Eq A,6502,F000011DOP,0P0001EUWA,,,,
CaiTong Integrated circuit industry Eq C,6503,F000011DOQ,0P0001EUWB,,,,
CaiTong Juli Pure Bd,5853,F00001153I,0P0001EKD7,,,,
CaiTong Mul-Strategy Fuxiang Alloc (LOF),501026,F000010976,0P0001CX68,,,,
CaiTong Multi-Strategy Sel Bal(LOF),501001,F00000YDJF,0P00019JIR,,,,
CaiTong Multi-Strategy Stable Gr Bd Fd A,720002,F00000OCAS,0P0000WAIJ,,,,
CaiTong Multi-Strategy Stable Gr Bd Fd C,3205,F00000YU0N,0P0001A90G,,,,
CaiTong Multi-Strategy Upgrade Bal(LOF),501015,F00000ZH0G,0P0001BL4E,,,,
CaiTong New View Flxbl Alloc A,5851,F000010I0V,0P0001DC07,,,,
CaiTong New View Flxbl Alloc C,5959,F000010I0W,0P0001DC08,,,,
CaiTong Pure Bond A,497,F00000WRRR,0P00017B5X,,,,
CaiTong Pure Bond C,3542,F00000YU0P,0P0001A90I,,,,
CaiTong Quant Core Sele Alloc,6157,F000010VNZ,0P0001E4IZ,,,,
CaiTong Sustainable Dev Thematic Alloc,17,F00000PJML,0P0000Y35B,,,,
Caitong Value Momentum Mixed Fd,720001,F00000N9KG,0P0000UG6T,,,,
CaiTong XinRui Return Alloc A,4900,F00000ZGNO,0P0001BKQD,,,,
CaiTong XinRui Return Alloc C,4901,F00000ZGNP,0P0001BKQE,,,,
CaiTong XinYi Return Alloc A,4888,F00000ZAZG,0P0001BDHN,,,,
CaiTong XinYi Return Alloc C,4889,F00000ZAZH,0P0001BDHO,,,,
CaiTong ZG Consump Selection Alloc,5682,F0000105RC,0P0001CR9M,,,,
CaiTong ZG Hongyi Mid-sh Bd A,6360,F000010ZIQ,0P0001EDSR,,,,
CaiTong ZG Hongyi Mid-sh Bd C,6361,F000010ZIR,0P0001EDSS,,,,
CaiTong ZG Xinda Return Alloc A,5307,F00000ZSYN,0P0001CAKB,,,,
CaiTong ZG Xinda Return Alloc C,5308,F00000ZSYO,0P0001CAKC,,,,
CaiTong ZG Xinda Return Alloc E,5882,F000010QUC,0P0001DX2V,,,,
CaiTong ZGX Managed MMkt A,3479,F00000XWQM,0P00018V7E,,,,
CaiTong ZGX Managed MMkt B,3480,F00000XWQN,0P00018V7F,,,,
CCB Princ Dble Intr StraThem Classi Stk,165310,F00000MA3S,0P0000SR5I,,,,
CCB Principal 7-Day Bond Fd A,530030,F00000QEWP,0P0000ZGTL,,,,
CCB Principal 7-Day Bond Fd B,531030,F00000QEWQ,0P0000ZGTM,,,,
CCB Principal Cash Income MMF,2758,F00000XDWW,0P00018838,,,,
CCB Principal Cash Tianli Money Market A,693,F00000UDGR,0P0001471W,,,,
CCB Principal Cash Tianli Money Market B,3164,F00000XKSG,0P00018HA8,,,,
CCB Principal Cash TY Exchanged MMkt A,3022,F00000XLSD,0P00018IQ4,,STUSA05MIM,,
CCB Principal Cash TY Exchanged MMkt H,511660,F00000XLSE,0P00018IQ5,,STUSA05MIM,,
CCB Principal China CSI 300 Index Fd,165309,F0000043SK,0P0000L1N7,,,,
CCB Principal ChiNext ETF Fdr A,5873,F000010JCQ,0P0001DDPG,,,,
CCB Principal ChiNext ETF Fdr C,5874,F000010JCR,0P0001DDPH,,,,
CCB Principal Core Selected Stock Fd,530006,F0000029FJ,0P0000IN3B,,,,
CCB Principal Credit Enhanced Bd(LOF) A,165311,F00000TO0D,0P00013C4E,,,,
CCB Principal Credit Enhanced Bd(LOF) C,165314,F00000TO0E,0P00013C4F,,,,
CCB Principal CSI 500 Index Fd,478,F00000SD4U,0P00011NOM,,,,
CCB Principal CSI 500 Index Fd C,5633,F0000108L5,0P0001CWF5,,,,
CCB Principal Dual Income Bond Fund A,530017,F00000NCF2,0P0000UO4M,,,,
CCB Principal Dual Income Bond Fund C,531017,F00000U8SW,0P0001421N,,,,
CCB Principal Emerging Mkts Sel Stk QDII,539002,F00000MG8E,0P0000TDAS,,,,
CCB Principal Endogenous Gr Dynamic Stk,530011,F00000JWD9,0P0000Q3WO,,,,
CCB Principal Envirnmt Protect Ids Eq,1166,F00000VL3L,0P00015P0I,,,,
CCB Principal Exclusive Medical Eq,4683,F00000YZFG,0P0001AISQ,,,,
CCB Principal Factor Quant Eq,2952,F00000XH1I,0P00018BNG,,,,
CCB Principal FuZhe AT Alloc(FOF),5217,F00000ZJ2B,0P0001BOE3,,,,
CCB Principal Glbl Opportunity Stk QDII,539001,F00000JNHG,0P0000PO6K,,,,
CCB Principal Healthy Livelihood Bal Fd,547,F00000SQ9U,0P000123ZD,,,,
CCB Principal Hongli Flx Alloc,2378,F0000104CR,0P0001CPBJ,,,,
CCB Principal Huili Alloc Fd,2573,F000010GQV,0P0001D9ZI,,,,
CCB Principal Info Industry Eq,1070,F00000VE04,0P00015FPY,,,,
CCB Principal Jia Xinjinbao MMkt Fd A,686,F00000TOQU,0P00013DAE,,,,
CCB Principal Jia Xinjinbao MMkt Fd B,2753,F00000X6PB,0P00017ZBH,,,,
CCB Principal LH ShiJian QuDong Eq,4730,F00000ZC4B,0P0001BEWI,,,,
CCB Principal LongTou QiYe Eq,5259,F00000ZWXG,0P0001CFMR,,,,
CCB Principal Make In China 2025 Eq,1825,F00000YGET,0P00019N0J,,,,
CCB Principal Mdrn Srvie Industr Eq,1781,F00000WPL5,0P000177T4,,,,
CCB Principal Mid&Sml Cap Lead Eq,729,F00000TXNA,0P00013OUD,,,,
CCB Principal Money Market Fd A,530002,F0HKG06QYR,0P00007KLC,,,,
CCB Principal Money Market Fd B,3185,F00000XQSA,0P00018OLD,,,,
CCB Principal MSCI China A ETF Fdr A,5829,F000010CVB,0P0001D43O,,,,
CCB Principal MSCI China A ETF Fdr C,5830,F000010CVC,0P0001D43P,,,,
