,USDSEK,USDNOK,USDJPY,USDCHF,USDCAD,NZDUSD,GBPUSD,EURUSD,AUDUSD,USDSGD,USDTHB,USDKRW,USDTWD,USDINR,USDIDR
2011-12-28,0.007878066,0.035804293,0.013550488999999999,0.033525116,0.008500544,-0.032887333,0.012740089,-0.036867719,0.012167148999999999,0.0083152,0.029344636,-0.020491214,-0.010312643,0.09482735800000001,-0.028084496
2011-12-29,0.00498764,0.03126499,0.01926858,0.040061803,-0.004862867,-0.01360195,0.003896357,-0.04158636,0.033920885,0.000153574,0.028182702,-0.013523326,-0.008193498,0.076364741,0.001397085
2011-12-30,-0.009466573,0.020469525,0.016255899,0.029546947,-0.015239198,0.006904638,-0.0020067320000000002,-0.033895774,0.050987693,-0.003446163,0.018000643,-0.033458275,-0.006758086999999999,0.077946109,0.001397085
2012-01-02,0.013682103999999999,0.040741449,0.008385744,0.04243297099999999,-0.0033212859999999997,-0.008793169,-0.005003528,-0.04533038,0.033572656,0.010194553,0.018416801,-0.01516375,0.004033725,0.088148307,0.001397085
2012-01-03,0.015452343,0.032835459,0.002611648,0.043792375,-0.011220606999999999,0.000255135,-0.005055675999999999,-0.042923519,0.044351974,0.00186162,0.013866495,-0.017019645,-0.005589164000000001,0.090960094,0.001397085
2012-01-04,0.007631221999999998,0.028452319,0.002221061,0.042405980999999995,-0.018040737,0.014260021000000001,0.000127918,-0.043024963,0.056172902000000004,-0.005948243000000001,0.009621552,-0.021203697,-0.004437578,0.087042606,0.001397085
2012-01-05,0.000234154,0.023137397,0.002089591,0.048842902,-0.024155519,0.025433677000000002,-0.00038451699999999996,-0.047492625,0.055407892,-0.006476484,0.012841091,-0.021628811,-0.013770876000000001,0.07891974,-0.008693574
2012-01-06,0.001660866,0.02017979,0.00194603,0.04706011400000002,-0.029767000000000002,0.024178712,-0.0018697610000000002,-0.041219311,0.062889813,-0.013338415,0.011501596999999999,-0.028272854,-0.019183168,0.069118791,-0.028628563
2012-01-09,0.007496991,0.022082018999999998,0.0036524920000000002,0.039269009,-0.019395322,0.029419525,-0.002135093,-0.038516837000000005,0.068165109,-0.00862069,0.021529562999999998,-0.025004389,-0.014899526000000001,0.071518021,0.010400638
2012-01-10,0.000377967,0.018496187,0.0015645370000000002,0.028779322000000006,-0.032827324,0.042558781,0.002136475,-0.039368896,0.079484763,-0.013911182,0.018322083,-0.027865594,-0.023301479,0.06462722900000001,0.010400638
2012-01-11,0.007519564,0.025277592999999998,0.002475893,0.030874227999999997,-0.024352827999999997,0.038189903,0.003375747,-0.044247787999999996,0.065555095,-0.007672831,0.021221865,-0.027149966,-0.025886896,0.056523501,0.010400638
2012-01-12,0.017858716,0.035468774,0.00326243,0.035756983,-0.019824848,0.02923674,-0.007513926999999998,-0.05287459,0.053396072,-0.000926927,0.031088083,-0.017201368999999998,-0.018775322,0.05775076,0.010400638
2012-01-13,0.024666696000000002,0.037024251,0.000390879,0.023543452000000003,-0.014714423999999999,0.022868217000000003,-0.016338822,-0.046915596,0.050752644000000006,-0.001705955,0.026834788,-0.019654115,-0.008002391,0.051569948,0.010400638
2012-01-16,0.053397985,0.064775696,0.001955926,0.05683954400000001,-0.006410256,0.012515964,-0.021111893,-0.073607038,0.030482302000000006,0.010943485,0.033354922,-0.008038461,-0.016457113,0.059378090999999994,0.014877372
2012-01-17,0.03911417,0.057112277,-0.000260722,0.044620288,-0.012558411,0.023053279,-0.014053777,-0.06601628400000001,0.045171025999999996,0.000856298,0.028414595,-0.017870739,-0.013717601999999999,0.038295741,0.034005556
2012-01-18,0.045705554,0.069812058,-0.005835819,0.05618729099999999,-0.005488582,0.011463845,-0.02478551,-0.07377049200000001,0.020326002,0.007066028,0.031807855,-0.011914218,-0.018062776000000003,0.035481637999999996,0.024935292999999997
2012-01-19,0.030714307000000007,0.063159393,-0.0018205460000000001,0.047130919,-0.008241758,0.007036944,-0.021558557000000002,-0.067817509,0.016942513,0.006695021999999999,0.029526282,-0.015924666,-0.013503673999999998,0.028191700000000007,0.020970463
2012-01-20,0.025162768999999998,0.060901864000000014,0.000648508,0.042841163,0.005355549,0.000748783,-0.019374446,-0.064110895,0.010191206,0.007437297,0.028692533,-0.005180168,-0.009242695,0.032923679,0.012725111
