Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2008-02-28,,,2.1078
2008-02-29,,,2.0893
2008-03-03,,,2.0536
2008-03-04,,,2.0687
2008-03-05,,,2.0616
2008-03-06,,,2.0641
2008-03-07,,,2.0563
2008-03-10,,,2.0596
2008-03-11,,,2.0473
2008-03-12,,,2.0732
2008-03-13,,,2.051
2008-03-14,,,2.0505
2008-03-17,,,1.9625
2008-03-18,,,1.9656
2008-03-19,,,1.9999
2008-03-20,,,1.9852
2008-03-21,,,2.0023
2008-03-24,,,2.0144
2008-03-25,,,2.0165
2008-03-26,,,2.0206
2008-03-27,,,1.9888
2008-03-28,,,1.9934
2008-03-31,,,1.9849
2008-04-01,,,1.9747
2008-04-02,,,2.0087
2008-04-03,,,2.014
2008-04-04,,,2.017
2008-04-07,,,2.0141
2008-04-08,,,2.0067
2008-04-09,,,1.9941
2008-04-10,,,1.9701
2008-04-11,,,1.9871
2008-04-14,,,1.9753
2008-04-15,,,1.97
2008-04-16,,,1.9746
2008-04-17,,,1.9725
2008-04-18,,,2.0049
2008-04-21,,,2.0339
2008-04-22,,,1.9998
2008-04-23,,,2.0041
2008-04-24,,,2.0132
2008-04-25,,,2.0439
2008-04-28,,,2.0496
2008-04-29,,,2.0597
2008-04-30,,,2.0362
2008-05-01,,,2.0573
2008-05-02,,,2.0703
2008-05-05,,,2.085
2008-05-06,,,2.0744
2008-05-07,,,2.0748
2008-05-08,,,2.0673
2008-05-09,,,2.0485
2008-05-12,,,2.0396
2008-05-13,,,2.0379
2008-05-14,,,2.0505
2008-05-15,,,2.0502
2008-05-16,,,2.052
2008-05-19,,,2.0497
2008-05-20,,,2.0543
2008-05-21,,,2.0389
2008-05-22,,,2.0239
2008-05-23,,,2.0402
2008-05-26,,,2.0326
2008-05-27,,,2.0289
2008-05-28,,,2.0359
2008-05-29,,,2.0548
2008-05-30,,,2.0728
2008-06-02,,,2.0577
2008-06-03,,,2.0313
2008-06-04,,,2.0445
2008-06-05,,,2.0374
2008-06-06,,,2.0351
2008-06-09,,,2.0085
2008-06-10,,,2.0294
2008-06-11,,,2.0376
2008-06-12,,,2.0295
2008-06-13,,,2.0278
2008-06-16,,,2.0461
2008-06-17,,,2.0467
2008-06-18,,,2.0373
2008-06-19,,,2.0263
2008-06-20,,,2.0552
2008-06-23,,,2.0455
2008-06-24,,,2.0562
2008-06-25,,,2.0505
2008-06-26,,,2.0435
2008-06-27,,,2.0395
2008-06-30,,,2.0276
2008-07-01,,,2.0304
2008-07-02,,,2.0309
2008-07-03,,,2.0235
2008-07-04,,,2.0343
2008-07-07,,,2.0368
2008-07-08,,,2.0267
2008-07-09,,,2.0279
2008-07-10,,,2.0381
2008-07-11,,,2.0335
2008-07-14,,,2.0241
2008-07-15,,,2.0261
2008-07-16,,,2.023
2008-07-17,,,2.03
2008-07-18,,,2.0348
2008-07-21,,,2.0358
2008-07-22,,,2.0382
2008-07-23,,,2.0533
2008-07-24,,,2.0731
2008-07-25,,,2.0536
2008-07-28,,,2.0599
2008-07-29,,,2.0621
2008-07-30,,,2.0694
2008-07-31,,,2.0722
2008-08-01,,,2.0801
2008-08-04,,,2.0664
2008-08-05,,,2.0594
2008-08-06,,,2.0572
2008-08-07,,,2.0601
2008-08-08,,,2.0622
2008-08-11,,,2.0754
2008-08-12,,,2.0736
2008-08-13,,,2.0586
2008-08-14,,,2.0311
2008-08-15,,,2.0459
2008-08-18,,,2.0433
2008-08-19,,,2.0436
2008-08-20,,,2.0374
2008-08-21,,,2.0404
2008-08-22,,,2.0404
2008-08-25,,,2.0301
2008-08-26,,,2.0285
2008-08-27,,,2.023
2008-08-28,,,2.0058
2008-08-29,,,2.0042
2008-09-01,,,1.9895
2008-09-02,,,1.9745
2008-09-03,,,1.9708
2008-09-04,,,1.963
2008-09-05,,,1.9515
2008-09-08,,,1.9978
2008-09-09,,,1.9885
2008-09-10,,,1.9863
2008-09-11,,,1.9913
2008-09-12,,,1.9983
2008-09-15,,,2.0087
2008-09-16,,,1.9924
2008-09-17,,,2.003
2008-09-18,,,2.0062
2008-09-19,,,2.0137
2008-09-22,,,2.0178
2008-09-23,,,1.999
2008-09-24,,,2.0163
2008-09-25,,,2.015
2008-09-26,,,1.9966
2008-09-29,,,2.0043
2008-09-30,,,1.9731
2008-10-01,,,1.9958
2008-10-02,,,1.9951
2008-10-03,,,2.0021
2008-10-06,,,1.996
2008-10-07,,,2.0069
2008-10-08,,,1.9814
2008-10-09,,,1.9446
2008-10-10,,,1.9032
2008-10-13,,,1.935
2008-10-14,,,1.9867
2008-10-15,,,1.9885
2008-10-16,,,1.9737
2008-10-17,,,1.9714
2008-10-20,,,1.9751
2008-10-21,,,1.976
2008-10-22,,,1.893
2008-10-23,,,1.897
2008-10-24,,,1.8686
2008-10-27,,,1.824
2008-10-28,,,1.8177
2008-10-29,,,1.8514
2008-10-30,,,1.8697
2008-10-31,,,1.8653
2008-11-03,,,1.8765
2008-11-04,,,1.8428
2008-11-05,,,1.8542
2008-11-06,,,1.8444
2008-11-07,,,1.8406
2008-11-10,,,1.8559999999999999
2008-11-11,,,1.8485
2008-11-12,,,1.83
2008-11-13,,,1.7684
2008-11-14,,,1.7592
2008-11-17,,,1.7647
2008-11-18,,,1.7966
2008-11-19,,,1.8022
2008-11-20,,,1.8122
2008-11-21,,,1.8194
2008-11-24,,,1.8179
2008-11-25,,,1.8178
2008-11-26,,,1.8296
2008-11-27,,,1.8433
2008-11-28,,,1.8493
2008-12-01,,,1.8589
2008-12-02,,,1.7922
2008-12-03,,,1.7994
2008-12-04,,,1.784
2008-12-05,,,1.7612
2008-12-08,,,1.7965
2008-12-09,,,1.7949000000000002
2008-12-10,,,1.7804
2008-12-11,,,1.7802
2008-12-12,,,1.7732
2008-12-15,,,1.7623
2008-12-16,,,1.7694
2008-12-17,,,1.7469
2008-12-18,,,1.6618
2008-12-19,,,1.6339
2008-12-22,,,1.6392
2008-12-23,,,1.6188
2008-12-24,,,1.6053
2008-12-25,,,1.5866
2008-12-26,,,1.5879
2008-12-29,,,1.5552
2008-12-30,,,1.5279
2008-12-31,,,1.529
2009-01-02,,,1.5765
2009-01-05,,,1.5623
2009-01-06,,,1.6284999999999998
2009-01-07,,,1.6638
2009-01-08,,,1.6584
2009-01-09,,,1.6646
2009-01-12,,,1.6863
2009-01-13,,,1.6524
2009-01-14,,,1.6272
2009-01-15,,,1.6298
2009-01-16,,,1.6623
2009-01-19,,,1.6588
2009-01-20,,,1.6212
2009-01-21,,,1.5961
2009-01-22,,,1.6131
2009-01-23,,,1.5936
2009-01-26,,,1.5808
2009-01-27,,,1.5975
2009-01-28,,,1.6255
2009-01-29,,,1.6298
2009-01-30,,,1.6416
2009-02-02,,,1.6782
2009-02-03,,,1.6494
2009-02-04,,,1.6491
2009-02-05,,,1.6745
