date,equity,bond
2016-06-18,3110.36,169.6832
2016-06-19,3110.36,169.6832
2016-06-20,3112.67,169.7083
2016-06-21,3106.32,169.7025
2016-06-22,3133.96,169.8386
2016-06-23,3117.32,169.8217
2016-06-24,3077.16,169.7665
2016-06-25,3077.16,169.7665
2016-06-26,3077.16,169.7665
2016-06-27,3120.54,169.9961
2016-06-28,3136.4,170.0165
2016-06-29,3151.39,169.9897
2016-06-30,3153.92,170.0721
2016-07-01,3154.2,170.3074
2016-07-02,3154.2,170.3074
2016-07-03,3154.2,170.3074
2016-07-04,3204.7,170.3403
2016-07-05,3207.38,170.2818
2016-07-06,3216.8,170.3607
2016-07-07,3209.95,170.5434
2016-07-08,3192.28,170.616
2016-07-09,3192.28,170.616
2016-07-10,3192.28,170.616
2016-07-11,3203.33,170.7392
2016-07-12,3273.18,170.687
2016-07-13,3282.87,170.5709
2016-07-14,3276.76,170.6071
2016-07-15,3276.28,170.6458
2016-07-16,3276.28,170.6458
2016-07-17,3276.28,170.6458
2016-07-18,3262.02,170.7395
2016-07-19,3248.23,170.8052
2016-07-20,3237.61,171.1709
2016-07-21,3252.52,171.6051
2016-07-22,3225.16,171.5155
2016-07-23,3225.16,171.5155
2016-07-24,3225.16,171.5155
2016-07-25,3230.89,171.4308
2016-07-26,3269.59,171.5136
2016-07-27,3218.24,171.6534
2016-07-28,3221.14,171.7422
2016-07-29,3203.93,171.8843
2016-07-30,3203.93,171.8843
2016-07-31,3203.93,171.8843
2016-08-01,3176.81,171.9526
2016-08-02,3189.05,171.9974
2016-08-03,3193.51,172.0547
2016-08-04,3201.29,172.1027
2016-08-05,3205.11,172.2807
2016-08-06,3205.11,172.2807
2016-08-07,3205.11,172.2807
2016-08-08,3234.18,172.4548
2016-08-09,3256.98,172.8012
2016-08-10,3243.34,173.0096
2016-08-11,3233.36,173.1112
2016-08-12,3294.23,173.3769
2016-08-13,3294.23,173.3769
2016-08-14,3294.23,173.3769
2016-08-15,3393.42,173.7036
2016-08-16,3378.25,173.6714
2016-08-17,3373.05,173.5097
2016-08-18,3364.49,173.4971
2016-08-19,3365.02,173.293
2016-08-20,3365.02,173.293
2016-08-21,3365.02,173.293
2016-08-22,3336.79,173.3845
2016-08-23,3341.83,173.0693
2016-08-24,3329.86,172.8965
2016-08-25,3308.97,172.9456
2016-08-26,3307.09,173.0658
2016-08-27,3307.09,173.0658
2016-08-28,3307.09,173.0658
2016-08-29,3307.78,173.0257
2016-08-30,3311.99,172.7285
2016-08-31,3327.79,172.8371
2016-09-01,3301.58,172.7957
2016-09-02,3314.11,172.8598
2016-09-03,3314.11,172.8598
2016-09-04,3314.11,172.8598
2016-09-05,3319.68,172.8303
2016-09-06,3342.63,172.822
2016-09-07,3340.82,172.7666
2016-09-08,3339.56,172.8501
2016-09-09,3318.04,172.966
2016-09-10,3318.04,172.966
2016-09-11,3318.04,172.966
2016-09-12,3262.6,172.8646
2016-09-13,3260.33,172.9876
2016-09-14,3238.73,173.0692
2016-09-15,3238.73,173.0692
2016-09-16,3238.73,173.0692
2016-09-17,3238.73,173.0692
2016-09-18,3238.73,173.1536
2016-09-19,3263.12,173.1997
2016-09-20,3257.4,173.2912
2016-09-21,3266.64,173.3199
2016-09-22,3291.12,173.4204
2016-09-23,3275.67,173.6569
2016-09-24,3275.67,173.6569
2016-09-25,3275.67,173.6569
2016-09-26,3220.28,173.7927
2016-09-27,3240.75,173.794
2016-09-28,3230.89,173.7914
2016-09-29,3244.39,173.826
2016-09-30,3253.28,173.8955
2016-10-01,3253.28,173.8955
2016-10-02,3253.28,173.8955
2016-10-03,3253.28,173.8955
2016-10-04,3253.28,173.8955
2016-10-05,3253.28,173.8955
2016-10-06,3253.28,173.8955
2016-10-07,3253.28,173.8955
2016-10-08,3253.28,174.0918
2016-10-09,3253.28,174.2945
2016-10-10,3293.87,174.3947
2016-10-11,3306.56,174.4004
2016-10-12,3300.01,174.3252
2016-10-13,3302.65,174.3618
2016-10-14,3305.85,174.5294
2016-10-15,3305.85,174.5294
2016-10-16,3305.85,174.5294
2016-10-17,3277.88,174.694
2016-10-18,3321.33,174.749
2016-10-19,3316.24,174.9897
2016-10-20,3318.6,175.2346
2016-10-21,3327.74,175.4912
2016-10-22,3327.74,175.4912
2016-10-23,3327.74,175.4912
2016-10-24,3367.58,175.4535
2016-10-25,3367.45,175.3783
2016-10-26,3354.8,175.06
2016-10-27,3345.7,175.05
2016-10-28,3340.13,175.0642
2016-10-29,3340.13,175.0642
2016-10-30,3340.13,175.0642
2016-10-31,3336.28,174.9532
2016-11-01,3359.05,174.8843
2016-11-02,3333.35,174.8715
2016-11-03,3365.09,174.942
2016-11-04,3354.17,174.9317
2016-11-05,3354.17,174.9317
2016-11-06,3354.17,174.9317
2016-11-07,3356.59,174.6892
2016-11-08,3371.12,174.5268
2016-11-09,3353.05,174.5479
2016-11-10,3390.61,174.3561
2016-11-11,3417.22,174.2114
2016-11-12,3417.22,174.2114
2016-11-13,3417.22,174.2114
2016-11-14,3430.25,173.6956
2016-11-15,3429.87,173.4358
2016-11-16,3429.59,173.3252
2016-11-17,3436.53,172.9557
2016-11-18,3417.46,173.054
2016-11-19,3417.46,173.054
2016-11-20,3417.46,173.054
2016-11-21,3441.11,173.0568
2016-11-22,3468.36,173.1608
2016-11-23,3474.73,173.385
2016-11-24,3488.74,173.471
2016-11-25,3521.3,173.4093
2016-11-26,3521.3,173.4093
2016-11-27,3521.3,173.4093
2016-11-28,3535.08,173.6312
2016-11-29,3564.04,173.1552
2016-11-30,3538,172.7871
2016-12-01,3565.04,172.1574
2016-12-02,3528.95,172.0685
2016-12-03,3528.95,172.0685
2016-12-04,3528.95,172.0685
2016-12-05,3469.41,171.9108
2016-12-06,3459.15,171.0043
2016-12-07,3475.75,171.2189
2016-12-08,3470.14,171.3656
2016-12-09,3493.7,171.3665
2016-12-10,3493.7,171.3665
2016-12-11,3493.7,171.3665
2016-12-12,3409.18,170.8594
2016-12-13,3405.04,170.3388
2016-12-14,3378.95,169.9962
2016-12-15,3340.43,168.3879
2016-12-16,3346.03,168.4359
2016-12-17,3346.03,168.4359
2016-12-18,3346.03,168.4359
2016-12-19,3328.98,167.8681
2016-12-20,3309.06,167.6515
2016-12-21,3338.54,168.1326
2016-12-22,3335.67,168.9071
2016-12-23,3307.6,169.3553
2016-12-24,3307.6,169.3553
2016-12-25,3307.6,169.3553
2016-12-26,3322.4,169.7881
2016-12-27,3316.39,169.7749
2016-12-28,3301.89,169.973
2016-12-29,3297.76,170.6393
2016-12-30,3310.08,171.1266
2016-12-31,3310.08,171.1498
2017-01-01,3310.08,171.1498
2017-01-02,3310.08,171.1498
2017-01-03,3342.23,170.6872
2017-01-04,3368.31,170.3652
2017-01-05,3367.79,170.0915
2017-01-06,3347.67,170.2016
2017-01-07,3347.67,170.2016
2017-01-08,3347.67,170.2016
2017-01-09,3363.9,170.3966
2017-01-10,3358.27,170.5206
2017-01-11,3334.5,170.218
2017-01-12,3317.62,170.3646
2017-01-13,3319.91,170.3729
2017-01-14,3319.91,170.3729
2017-01-15,3319.91,170.3729
2017-01-16,3319.45,170.3133
2017-01-17,3326.36,170.0399
2017-01-18,3339.37,170.0551
2017-01-19,3329.29,170.0263
2017-01-20,3354.89,170.1576
2017-01-21,3354.89,170.1576
2017-01-22,3354.89,170.1777
2017-01-23,3364.08,170.2343
2017-01-24,3364.45,169.9578
2017-01-25,3375.9,169.5474
2017-01-26,3387.96,169.4988
2017-01-27,3387.96,169.4988
2017-01-28,3387.96,169.4988
2017-01-29,3387.96,169.4988
2017-01-30,3387.96,169.4988
2017-01-31,3387.96,169.4988
2017-02-01,3387.96,169.4988
2017-02-02,3387.96,169.4988
2017-02-03,3364.49,169.1088
2017-02-04,3364.49,169.1236
2017-02-05,3364.49,169.1236
2017-02-06,3373.21,168.6163
2017-02-07,3365.68,168.5031
2017-02-08,3383.29,168.541
2017-02-09,3396.29,168.8268
2017-02-10,3413.49,168.7437
2017-02-11,3413.49,168.7437
2017-02-12,3413.49,168.7437
2017-02-13,3436.28,168.7875
2017-02-14,3435.8,168.8228
2017-02-15,3421.71,168.788
2017-02-16,3440.93,168.9761
2017-02-17,3421.44,169.2713
2017-02-18,3421.44,169.2713
2017-02-19,3421.44,169.2713
2017-02-20,3471.39,169.6458
2017-02-21,3482.82,169.4807
2017-02-22,3489.76,169.6788
2017-02-23,3473.32,169.8523
2017-02-24,3473.85,169.748
2017-02-25,3473.85,169.748
2017-02-26,3473.85,169.748
2017-02-27,3446.22,169.8468
2017-02-28,3452.81,169.798
2017-03-01,3458.44,169.7005
2017-03-02,3435.1,169.7009
2017-03-03,3427.86,169.7084
2017-03-04,3427.86,169.7084
2017-03-05,3427.86,169.7084
2017-03-06,3446.48,169.6058
2017-03-07,3453.96,169.568
2017-03-08,3448.73,169.3632
2017-03-09,3426.94,169.3215
2017-03-10,3427.89,169.3043
2017-03-11,3427.89,169.3043
2017-03-12,3427.89,169.3043
2017-03-13,3458.1,169.4712
2017-03-14,3456.69,169.5511
2017-03-15,3463.64,169.5427
2017-03-16,3481.51,169.8242
2017-03-17,3445.81,169.7582
2017-03-18,3445.81,169.7582
2017-03-19,3445.81,169.7582
2017-03-20,3449.61,169.6648
2017-03-21,3466.35,169.4893
2017-03-22,3450.05,169.5294
2017-03-23,3461.98,169.4776
2017-03-24,3489.6,169.8239
2017-03-25,3489.6,169.8239
2017-03-26,3489.6,169.8239
2017-03-27,3478.04,170.0313
2017-03-28,3469.81,170.0541
2017-03-29,3465.19,170.0289
2017-03-30,3436.76,170.0363
2017-03-31,3456.05,170.0618
2017-04-01,3456.05,170.1456
