,SPBDUB3T Index,SBMMTB3 Index
,PX_LAST,PX_LAST
date,,
2015-01-06,215.895,622.577
2015-01-07,215.895,622.5773
2015-01-08,215.896,622.5777
2015-01-09,215.894,622.578
2015-01-10,215.894,622.578
2015-01-11,215.894,622.578
2015-01-12,215.895,622.5791
2015-01-13,215.895,622.5795
2015-01-14,215.894,622.5798
2015-01-15,215.895,622.5802
2015-01-16,215.896,622.5805
2015-01-17,215.896,622.5805
2015-01-18,215.896,622.5805
2015-01-19,215.896,622.5816
2015-01-20,215.896,622.582
2015-01-21,215.897,622.5823
2015-01-22,215.898,622.5827
2015-01-23,215.897,622.583
2015-01-24,215.897,622.583
2015-01-25,215.897,622.583
2015-01-26,215.897,622.5841
2015-01-27,215.896,622.5845
2015-01-28,215.897,622.5848
2015-01-29,215.898,622.5852
2015-01-30,215.898,622.5859
2015-01-31,215.898,622.5859
2015-02-01,215.898,622.5859
2015-02-02,215.898,622.5867
2015-02-03,215.898,622.587
2015-02-04,215.899,622.5875
2015-02-05,215.898,622.5878
2015-02-06,215.898,622.5882
2015-02-07,215.898,622.5882
2015-02-08,215.898,622.5882
2015-02-09,215.898,622.5894
2015-02-10,215.898,622.5898
2015-02-11,215.898,622.5901
2015-02-12,215.896,622.5905
2015-02-13,215.898,622.5909
2015-02-14,215.898,622.5909
2015-02-15,215.898,622.5909
2015-02-16,215.898,622.5921
2015-02-17,215.898,622.5925
2015-02-18,215.899,622.5928
2015-02-19,215.898,622.5933
2015-02-20,215.898,622.5936
2015-02-21,215.898,622.5936
2015-02-22,215.898,622.5936
2015-02-23,215.898,622.5948
2015-02-24,215.898,622.5952
2015-02-25,215.898,622.5955
2015-02-26,215.898,622.5959
2015-02-27,215.898,622.5967
2015-02-28,215.898,622.5967
2015-03-01,215.898,622.5967
2015-03-02,215.898,622.5975
2015-03-03,215.898,622.5979
2015-03-04,215.899,622.5983
2015-03-05,215.899,622.5987
2015-03-06,215.899,622.5991
2015-03-07,215.899,622.5991
2015-03-08,215.899,622.5991
2015-03-09,215.899,622.6003
2015-03-10,215.898,622.6007
2015-03-11,215.898,622.6011
2015-03-12,215.898,622.6015
2015-03-13,215.897,622.6019
2015-03-14,215.897,622.6019
2015-03-15,215.897,622.6019
2015-03-16,215.896,622.6031
2015-03-17,215.894,622.6035
2015-03-18,215.898,622.6039
2015-03-19,215.901,622.6042
2015-03-20,215.902,622.6047
2015-03-21,215.902,622.6047
2015-03-22,215.902,622.6047
2015-03-23,215.902,622.6058
2015-03-24,215.901,622.6063
2015-03-25,215.899,622.6066
2015-03-26,215.9,622.6071
2015-03-27,215.901,622.6074
2015-03-28,215.901,622.6074
2015-03-29,215.901,622.6074
2015-03-30,215.903,622.6086
2015-03-31,215.9,622.6091
2015-04-01,215.901,622.6094
2015-04-02,215.901,622.6097
2015-04-03,215.901,622.61
2015-04-04,215.901,622.61
2015-04-05,215.901,622.61
