,portfolio_value_0.2,portfolio_value_0.3,portfolio_value_0.4,portfolio_value_0.5,portfolio_value_0.6,portfolio_value_0.7,portfolio_value_0.8
2016-11-29,1.22486742,1.23878662,1.25102658,1.26149218,1.26801666,1.27272418,1.27777283
2016-11-30,1.220582,1.23397505,1.24571114,1.25558529,1.26154316,1.26572678,1.27024974
2016-12-01,1.22131506,1.23553644,1.24809675,1.25875304,1.26550579,1.27048587,1.27581341
2016-12-02,1.21601124,1.22897913,1.24028435,1.24981468,1.25542564,1.25924802,1.26340923
2016-12-05,1.21013891,1.2219073,1.23204473,1.2404274,1.24479389,1.247393,1.2503434
2016-12-06,1.20900528,1.22129613,1.23197412,1.24086296,1.24575207,1.24888276,1.25234745
2016-12-07,1.21123541,1.22394762,1.23504762,1.24435852,1.24964172,1.25315823,1.25701186
2016-12-08,1.21217512,1.22487893,1.2359634,1.2452585,1.25056514,1.25410267,1.25796787
2016-12-09,1.213964,1.22709374,1.23858163,1.24840179,1.25422703,1.25823625,1.26256587
2016-12-12,1.20157416,1.21210711,1.22097247,1.2284287,1.23196451,1.23365328,1.23563647
2016-12-13,1.19955877,1.21047874,1.21974259,1.22753289,1.23139681,1.23343302,1.23577494
2016-12-14,1.19577009,1.20592893,1.21443169,1.22147956,1.22462788,1.2259578,1.22758983
2016-12-15,1.18589167,1.19570015,1.2038826,1.21047584,1.21320279,1.21417528,1.21546541
2016-12-16,1.18906095,1.19909937,1.20752383,1.2142906,1.21714673,1.21826245,1.21970669
2016-12-19,1.18391942,1.1941453,1.20277167,1.20975194,1.21282087,1.21415438,1.21581093
2016-12-20,1.17943119,1.18962056,1.19822133,1.20511959,1.20814618,1.20946353,1.21110309
2016-12-21,1.18402661,1.19477454,1.20392467,1.21139177,1.21493953,1.21675679,1.2189076
2016-12-22,1.18618077,1.19649476,1.20520493,1.21215266,1.21520454,1.21655014,1.21824202
2016-12-23,1.18419624,1.1935107,1.20121788,1.20718108,1.20926904,1.20965932,1.21039383
2016-12-26,1.18524471,1.1949844,1.2031103,1.20953053,1.21207214,1.21289741,1.21406264
2016-12-27,1.18615507,1.19579668,1.20382674,1.21012696,1.2125443,1.2132521,1.21430273
2016-12-28,1.18475886,1.19407876,1.20179398,1.2077611,1.20984105,1.21022372,1.21095168
2016-12-29,1.18456854,1.1936523,1.20112192,1.20686489,1.2087465,1.20892603,1.20944759
2016-12-30,1.18751052,1.19700471,1.20488136,1.21107063,1.21336209,1.21392959,1.21483846
2017-01-03,1.19115462,1.20145184,1.21012574,1.2171506,1.22021902,1.22153604,1.22320336
2017-01-04,1.19548867,1.20683584,1.21655215,1.2246341,1.22876559,1.23112989,1.23385329
