,MSEUACWF INDEX,LEGATRUU INDEX
,PX_LAST,PX_LAST
date,,
19/2/2016,369.74,456.7666
20/2/2016,369.74,456.7666
21/2/2016,369.74,456.7666
22/2/2016,374.458,456.2278
23/2/2016,370.474,456.8717
24/2/2016,368.769,457.7168
25/2/2016,372.88,457.6641
26/2/2016,373.232,454.8253
27/2/2016,373.232,454.8253
28/2/2016,373.232,454.8253
29/2/2016,371.662,455.8935
1/3/2016,378.379,454.6309
2/3/2016,381.936,454.0442
3/3/2016,384.683,456.3111
4/3/2016,387.33,456.6786
5/3/2016,387.33,456.6786
6/3/2016,387.33,456.6786
7/3/2016,387.447,456.9777
8/3/2016,384.072,460.2253
9/3/2016,385.096,457.7382
10/3/2016,384.944,458.2869
11/3/2016,391.747,458.8468
12/3/2016,391.747,458.8468
13/3/2016,391.747,458.8468
14/3/2016,392.16,458.9566
15/3/2016,389.728,458.8561
16/3/2016,390.254,458.4457
17/3/2016,396.177,465.4957
18/3/2016,397.214,466.2576
19/3/2016,397.214,466.2576
20/3/2016,397.214,466.2576
21/3/2016,396.916,465.0435
22/3/2016,396.965,464.4123
23/3/2016,393.866,463.4174
24/3/2016,391.507,462.6797
25/3/2016,391.77,462.74
26/3/2016,391.77,462.74
27/3/2016,391.77,462.74
28/3/2016,392.655,462.6506
29/3/2016,394.529,464.1674
30/3/2016,399.152,467.4253
31/3/2016,398.255,468.2131
1/4/2016,396.009,467.4492
2/4/2016,396.009,467.4492
3/4/2016,396.009,467.4492
4/4/2016,396.168,469.345
5/4/2016,390.677,469.9443
6/4/2016,393.714,469.7421
7/4/2016,391.177,472.1345
8/4/2016,393.83,472.1428
9/4/2016,393.83,472.1428
10/4/2016,393.83,472.1428
11/4/2016,394.167,473.423
12/4/2016,397.121,471.367
13/4/2016,402.528,470.4347
14/4/2016,403.849,469.8001
15/4/2016,403.585,471.2235
16/4/2016,403.585,471.2235
17/4/2016,403.585,471.2235
18/4/2016,404.492,471.5339
19/4/2016,408.748,472.1048
20/4/2016,409.052,471.6571
21/4/2016,408.26,469.9721
22/4/2016,406.919,467.6254
23/4/2016,406.919,467.6254
24/4/2016,406.919,467.6254
25/4/2016,405.869,467.7127
26/4/2016,406.681,468.0046
27/4/2016,406.771,468.2286
28/4/2016,404.947,471.4193
29/4/2016,403.34,474.4409
30/4/2016,403.34,474.4409
1/5/2016,403.34,474.4409
2/5/2016,404.165,474.6457
3/5/2016,399.774,476.3753
4/5/2016,396.232,475.0912
5/5/2016,395.416,474.2688
6/5/2016,395.656,474.898
7/5/2016,395.656,474.898
8/5/2016,395.656,474.898
9/5/2016,395.376,473.2772
10/5/2016,399.88,472.8771
11/5/2016,397.994,474.0595
12/5/2016,397.178,473.1778
13/5/2016,393.627,471.7784
14/5/2016,393.627,471.7784
15/5/2016,393.627,471.7784
16/5/2016,396.419,471.8584
17/5/2016,395.136,472.1391
18/5/2016,394.67,469.4317
19/5/2016,391.132,468.199
20/5/2016,393.954,467.9001
21/5/2016,393.954,467.9001
22/5/2016,393.954,467.9001
23/5/2016,393.212,468.4403
24/5/2016,397.232,467.9766
25/5/2016,400.949,468.0531
26/5/2016,401.813,469.857
27/5/2016,402.932,468.8837
28/5/2016,402.932,468.8837
29/5/2016,402.932,468.8837
30/5/2016,403.067,467.7988
