date,HKD,CNY
2015-04-13,7.75,6.2163
2015-04-14,7.7529,6.2117
2015-04-15,7.7518,6.2051
2015-04-16,7.7524,6.1969
2015-04-17,7.7521,6.1979
2015-04-20,7.75,6.2017
2015-04-21,7.7503,6.2017
2015-04-22,7.7501999999999995,6.195
2015-04-23,7.7499,6.1979
2015-04-24,7.75,6.1948
2015-04-27,7.75,6.22
2015-04-28,7.7501999999999995,6.2054
2015-04-29,7.7506,6.1993
2015-04-30,7.7505,6.2032
2015-05-01,7.7521,6.2032
2015-05-04,7.7529,6.2092
2015-05-05,7.7513,6.2062
2015-05-06,7.7518,6.2004
2015-05-07,7.7539,6.2067
2015-05-08,7.7534,6.2093
2015-05-11,7.7522,6.2095
2015-05-12,7.7516,6.2091
2015-05-13,7.7517,6.2046
2015-05-14,7.7506,6.2016
2015-05-15,7.751,6.2065
2015-05-18,7.7507,6.2041
2015-05-19,7.752,6.2069
2015-05-20,7.7523,6.2036999999999995
2015-05-21,7.7532,6.1968
2015-05-22,7.7517,6.1974
2015-05-25,7.7519,6.2021
2015-05-26,7.7522,6.2036999999999995
2015-05-27,7.7585,6.2015
2015-05-28,7.7535,6.2014
2015-05-29,7.7531,6.1975999999999996
2015-06-01,7.7559000000000005,6.1993
2015-06-02,7.7559000000000005,6.1982
2015-06-03,7.7532,6.1974
2015-06-04,7.7517,6.2005
2015-06-05,7.7528,6.2028
2015-06-08,7.7519,6.206
2015-06-09,7.7534,6.2059
2015-06-10,7.7524,6.2059
2015-06-11,7.7524,6.2067
2015-06-12,7.7529,6.2084
2015-06-15,7.753,6.209
2015-06-16,7.7521,6.2085
2015-06-17,7.7523,6.2095
2015-06-18,7.7524,6.2081
2015-06-19,7.7515,6.2094
2015-06-22,7.7513,6.2094
2015-06-23,7.7527,6.2067
2015-06-24,7.7524,6.2072
2015-06-25,7.7527,6.2092
2015-06-26,7.7524,6.2094
2015-06-29,7.7523,6.2087
2015-06-30,7.7517,6.201
2015-07-01,7.7524999999999995,6.2016
2015-07-02,7.7517,6.2045
2015-07-03,7.7528,6.2055
2015-07-06,7.7533,6.2092
2015-07-07,7.7548,6.2099
2015-07-08,7.7524999999999995,6.2091
2015-07-09,7.7519,6.2088
2015-07-10,7.7513,6.2094
2015-07-13,7.752,6.2084
2015-07-14,7.7513,6.209
2015-07-15,7.751,6.2092
2015-07-16,7.7513,6.2095
2015-07-17,7.7503,6.2095
2015-07-20,7.751,6.2097
2015-07-21,7.751,6.2095
2015-07-22,7.7504,6.2094
2015-07-23,7.7515,6.2096
2015-07-24,7.7513,6.2095
2015-07-27,7.7514,6.2097999999999995
2015-07-28,7.7512,6.2095
2015-07-29,7.7518,6.209
2015-07-30,7.7538,6.2097
2015-07-31,7.7529,6.2097
2015-08-03,7.7534,6.2097
2015-08-04,7.7541,6.2101
2015-08-05,7.7518,6.2097
2015-08-06,7.7512,6.2097
2015-08-07,7.7523,6.2097
2015-08-10,7.7528,6.2097
2015-08-11,7.7622,6.325
2015-08-12,7.7568,6.3858
2015-08-13,7.7558,6.3982
2015-08-14,7.7559000000000005,6.3911999999999995
2015-08-17,7.7549,6.3949
2015-08-18,7.7548,6.3942
2015-08-19,7.7536000000000005,6.3956
2015-08-20,7.7526,6.3891
2015-08-21,7.7524,6.3889
2015-08-24,7.7515,6.4041
2015-08-25,7.7517,6.4128
2015-08-26,7.7523,6.4093
2015-08-27,7.7501999999999995,6.4056
2015-08-28,7.7501,6.3896
2015-08-31,7.75,6.379
2015-09-01,7.7501,6.3642
2015-09-02,7.75,6.3559
2015-09-03,7.7505,6.3559
2015-09-04,7.7506,6.3559
2015-09-07,7.7501,6.3657
2015-09-08,7.7509,6.3676
2015-09-09,7.7516,6.3782
2015-09-10,7.7501999999999995,6.3772
2015-09-11,7.75,6.3749
2015-09-14,7.75,6.3679
2015-09-15,7.7501999999999995,6.3699
2015-09-16,7.7505,6.3708
2015-09-17,7.7501,6.3658
2015-09-18,7.75,6.3643
2015-09-21,7.7501,6.3694
2015-09-22,7.7501,6.3761
2015-09-23,7.7501,6.3839
2015-09-24,7.7505,6.3823
2015-09-25,7.7505,6.3745
2015-09-28,7.7503,6.3689
2015-09-29,7.7503,6.3638
2015-09-30,7.75,6.356
2015-10-01,7.7501,6.3571
2015-10-02,7.7501,6.3571
2015-10-05,7.7501,6.3561
2015-10-06,7.7501,6.3561
2015-10-07,7.7501,6.3561
2015-10-08,7.75,6.3534
2015-10-09,7.7501,6.3452
2015-10-12,7.7501,6.3235
2015-10-13,7.75,6.341
2015-10-14,7.7501,6.3482
2015-10-15,7.75,6.3463
2015-10-16,7.7498000000000005,6.3538
2015-10-19,7.7501,6.3604
2015-10-20,7.7501999999999995,6.3485
2015-10-21,7.7506,6.3491
2015-10-22,7.7501999999999995,6.3581
2015-10-23,7.75,6.3506
2015-10-26,7.75,6.3521
2015-10-27,7.7501,6.3525
2015-10-28,7.7501,6.3585
2015-10-29,7.7501999999999995,6.3566
2015-10-30,7.7506,6.3174
2015-11-02,7.7501,6.3374
2015-11-03,7.7504,6.3363
2015-11-04,7.7509,6.3366
2015-11-05,7.7511,6.3461
2015-11-06,7.7513,6.3535
2015-11-09,7.7519,6.3625
2015-11-10,7.7523,6.3621
2015-11-11,7.7504,6.3667
2015-11-12,7.7501999999999995,6.369
2015-11-13,7.7508,6.3737
2015-11-16,7.7512,6.3701
2015-11-17,7.7506,6.3782
2015-11-18,7.7503,6.3847
2015-11-19,7.7501999999999995,6.3828
2015-11-20,7.7501999999999995,6.3846
2015-11-23,7.7501999999999995,6.3894
2015-11-24,7.7501999999999995,6.3889
2015-11-25,7.7505,6.3893
2015-11-26,7.7505,6.3895
2015-11-27,7.7509,6.3944
2015-11-30,7.7531,6.3984
2015-12-01,7.7522,6.3988
2015-12-02,7.7505,6.3987
2015-12-03,7.7501,6.398
2015-12-04,7.7501999999999995,6.4027
2015-12-07,7.7505,6.4082
2015-12-08,7.7503,6.4179
2015-12-09,7.7501999999999995,6.4277
2015-12-10,7.7501999999999995,6.4386
2015-12-11,7.7505,6.4552
2015-12-14,7.7503,6.4591
2015-12-15,7.7507,6.4623
2015-12-16,7.7501999999999995,6.4726
2015-12-17,7.7524,6.4837
2015-12-18,7.7529,6.4811
2015-12-21,7.7523,6.4807
2015-12-22,7.752,6.4785
2015-12-23,7.7505,6.4776
2015-12-24,7.7515,6.4764
2015-12-25,7.7514,6.4759
2015-12-28,7.7505,6.4873
2015-12-29,7.7501999999999995,6.4857
2015-12-30,7.7508,6.49
2015-12-31,7.7507,6.4937000000000005
2016-01-01,7.7503,6.4937000000000005
2016-01-04,7.7515,6.5335
2016-01-05,7.7516,6.5159
2016-01-06,7.7526,6.5559
2016-01-07,7.7583,6.5929
2016-01-08,7.7633,6.5948
2016-01-11,7.7639,6.5711
2016-01-12,7.7629,6.5729
2016-01-13,7.7618,6.5754
2016-01-14,7.7825,6.59
2016-01-15,7.795,6.5849
2016-01-18,7.7986,6.5788
2016-01-19,7.8191,6.5786
2016-01-20,7.8177,6.5784
2016-01-21,7.8182,6.58
