Date,000016.SH,000905.SH,CBA00101.CS,CCFI.WI,CCCI.FMM,H11025.CSI,885009.WI
2001-04-09,,,,408.2634,,,
2001-04-10,,,,409.5709,,,
2001-04-11,,,,412.0621,,,
2001-04-12,,,,412.1886,,,
2001-04-13,,,,412.3514,,,
2001-04-16,,,,412.1334,,,
2001-04-17,,,,412.8436,,,
2001-04-18,,,,411.5816,,,
2001-04-19,,,,413.4589,,,
2001-04-20,,,,412.4418,,,
2001-04-23,,,,412.9422,,,
2001-04-24,,,,407.9835,,,
2001-04-25,,,,405.744,,,
2001-04-26,,,,409.874,,,
2001-04-27,,,,408.9939,,,
2001-04-30,,,,411.0823,,,
2001-05-08,,,,412.8862,,,
2001-05-09,,,,410.3897,,,
2001-05-10,,,,409.1645,,,
2001-05-11,,,,407.557,,,
2001-05-14,,,,409.6084,,,
2001-05-15,,,,408.969,,,
2001-05-16,,,,407.0937,,,
2001-05-17,,,,409.4959,,,
2001-05-18,,,,413.4389,,,
2001-05-21,,,,415.8593,,,
2001-05-22,,,,415.6675,,,
2001-05-23,,,,414.347,,,
2001-05-24,,,,415.1662,,,
2001-05-25,,,,414.6626,,,
2001-05-28,,,,415.0607,,,
2001-05-29,,,,414.5783,,,
2001-05-30,,,,410.1449,,,
2001-05-31,,,,409.9933,,,
2001-06-01,,,,409.8477,,,
2001-06-04,,,,410.3021,,,
2001-06-05,,,,410.5471,,,
2001-06-06,,,,412.6804,,,
2001-06-07,,,,413.1902,,,
2001-06-08,,,,409.801,,,
2001-06-11,,,,404.6766,,,
2001-06-12,,,,402.6772,,,
2001-06-13,,,,403.1561,,,
2001-06-14,,,,402.1666,,,
2001-06-15,,,,402.9081,,,
2001-06-18,,,,397.2578,,,
2001-06-19,,,,401.2876,,,
2001-06-20,,,,398.3839,,,
2001-06-21,,,,397.4232,,,
2001-06-22,,,,396.9867,,,
2001-06-25,,,,396.8869,,,
2001-06-26,,,,396.0845,,,
2001-06-27,,,,399.3068,,,
2001-06-28,,,,397.2373,,,
2001-06-29,,,,389.9749,,,
2001-07-02,,,,390.8419,,,
2001-07-03,,,,395.3188,,,
2001-07-04,,,,393.3154,,,
2001-07-05,,,,393.0339,,,
2001-07-06,,,,387.4666,,,
2001-07-09,,,,386.99,,,
2001-07-10,,,,387.7691,,,
2001-07-11,,,,389.9669,,,
2001-07-12,,,,389.2901,,,
2001-07-13,,,,388.1541,,,
2001-07-16,,,,386.1818,,,
2001-07-17,,,,387.2416,,,
