MSCI Index Code,BBG Ticker,Bloomberg Index Name,Size,Style,Variant,Currency,Extra Info
105778,NDUVCA,MSCI Daily TR Net Value Canada USD,Standard,Value,Net,USD,
105779,GDLGDE,MSCI Daily TR Gross Growth Denmark Local,Standard,Growth,Gross,Local,
105779,GDUGDE,MSCI Daily TR Gross Growth Denmark USD,Standard,Growth,Gross,USD,
105779,MGLDDE,MSCI Growth Denmark Local,Standard,Growth,Price,Local,
105779,MGUDDE,MSCI Growth Denmark USD,Standard,Growth,Price,USD,
105779,NDUGDE,MSCI Daily TR Net Growth Denmark USD,Standard,Growth,Net,USD,
105779,NLDGDE,MSCI Daily TR Net Growth Denmark Local,Standard,Growth,Net,Local,
105780,GDLVDE,MSCI Daily TR Gross Value Denmark Local,Standard,Value,Gross,Local,
105780,GDUVDE,MSCI Daily TR Gross Value Denmark USD,Standard,Value,Gross,USD,
105780,MVLDDE,MSCI Value Denmark Local,Standard,Value,Price,Local,
105780,MVUDDE,MSCI Value Denmark USD,Standard,Value,Price,USD,
105780,NDLVDE,MSCI Daily TR Net Value Denmark Local,Standard,Value,Net,Local,
105780,NDUVDE,MSCI Daily TR Net Value Denmark USD,Standard,Value,Net,USD,
105783,GDLGFI,MSCI Daily TR Gross Growth Finland Local,Standard,Growth,Gross,Local,
105783,GDUGFI,MSCI Daily TR Gross Growth Finland USD,Standard,Growth,Gross,USD,
105783,MGLDFI,MSCI Growth Finland Local,Standard,Growth,Price,Local,
105783,MGUDFI,MSCI Growth Finland USD,Standard,Growth,Price,USD,
105783,NDUGFI,MSCI Daily TR Net Growth Finland USD,Standard,Growth,Net,USD,
105783,NLDGFI,MSCI Daily TR Net Growth Finland Local,Standard,Growth,Net,Local,
105784,GDLVFI,MSCI Daily TR Gross Value Finland Local,Standard,Value,Gross,Local,
105784,GDUVFI,MSCI Daily TR Gross Value Finland USD,Standard,Value,Gross,USD,
105784,MVLDFI,MSCI Value Finland Local,Standard,Value,Price,Local,
105784,MVUDFI,MSCI Value Finland USD,Standard,Value,Price,USD,
105784,NDLVFI,MSCI Daily TR Net Value Finland Local,Standard,Value,Net,Local,
105784,NDUVFI,MSCI Daily TR Net Value Finland USD,Standard,Value,Net,USD,
105785,GDLGFR,MSCI Daily TR Gross Growth France Local,Standard,Growth,Gross,Local,
105785,GDUGFR,MSCI Daily TR Gross Growth France USD,Standard,Growth,Gross,USD,
105785,MGLDFR,MSCI Growth France Local,Standard,Growth,Price,Local,
105785,MGUDFR,MSCI Growth France USD,Standard,Growth,Price,USD,
105785,NDUGFR,MSCI Daily TR Net Growth France USD,Standard,Growth,Net,USD,
105785,NLDGFR,MSCI Daily TR Net Growth France Local,Standard,Growth,Net,Local,
105786,GDLVFR,MSCI Daily TR Gross Value France Local,Standard,Value,Gross,Local,
105786,GDUVFR,MSCI Daily TR Gross Value France USD,Standard,Value,Gross,USD,
105786,MVLDFR,MSCI Value France Local,Standard,Value,Price,Local,
105786,MVUDFR,MSCI Value France USD,Standard,Value,Price,USD,
105786,NDLVFR,MSCI Daily TR Net Value France Local,Standard,Value,Net,Local,
105786,NDUVFR,MSCI Daily TR Net Value France USD,Standard,Value,Net,USD,
105787,GDLGGR,MSCI Daily TR Gross Growth Germany Local,Standard,Growth,Gross,Local,
105787,GDUGGR,MSCI Daily TR Gross Growth Germany USD,Standard,Growth,Gross,USD,
105787,MGLDGR,MSCI Growth Germany Local,Standard,Growth,Price,Local,
105787,MGUDGR,MSCI Growth Germany USD,Standard,Growth,Price,USD,
105787,NDUGGR,MSCI Daily TR Net Growth Germany USD,Standard,Growth,Net,USD,
105787,NLDGGR,MSCI Daily TR Net Growth Germany Local,Standard,Growth,Net,Local,
105788,GDLVGR,MSCI Daily TR Gross Value Germany Local,Standard,Value,Gross,Local,
105788,GDUVGR,MSCI Daily TR Gross Value Germany USD,Standard,Value,Gross,USD,
105788,MVLDGR,MSCI Value Germany Local,Standard,Value,Price,Local,
105788,MVUDGR,MSCI Value Germany USD,Standard,Value,Price,USD,
105788,NDLVGR,MSCI Daily TR Net Value Germany Local,Standard,Value,Net,Local,
105788,NDUVGR,MSCI Daily TR Net Value Germany USD,Standard,Value,Net,USD,
105789,DLGAHK,MSCI Daily TR Growth Gross Hong Kong Local,Standard,Growth,Gross,Local,
105789,DUGAHK,MSCI Daily TR Growth Gross Hong Kong USD,Standard,Growth,Gross,USD,
105789,MGLAHK,MSCI Growth Hong Kong Local,Standard,Growth,Price,Local,
105789,MGUAHK,MSCI Growth Hong Kong USD,Standard,Growth,Price,USD,
105789,NAGLHK,MSCI Daily TR Net Growth Hong Kong Local,Standard,Growth,Net,Local,
105789,NAGUHK,MSCI Daily TR Net Growth Hong Kong USD,Standard,Growth,Net,USD,
105790,DLVAHK,MSCI Daily TR Value Gross Hong Kong Local,Standard,Value,Gross,Local,
105790,DUVAHK,MSCI Daily TR Value Gross Hong Kong USD,Standard,Value,Gross,USD,
105790,MVLAHK,MSCI Value Hong Kong Local,Standard,Value,Price,Local,
105790,MVUAHK,MSCI Value Hong Kong USD,Standard,Value,Price,USD,
