,MSCI Index Code,BBG Ticker,Bloomberg Index Name,Size,Style,Variant,Currency,Extra Info
1854,106721,GDLUDF,MSCI Daily TR EMU Gross Diversified Financials Industry Group Local,Standard,,Gross,Local,
1860,106722,GDLURE,MSCI Daily TR EMU Gross Real Estate Local,Standard,,Gross,Local,
1866,106723,GDLUTECH,MSCI Daily TR EMU Gross Technology Hardware & Equipment Local,Standard,,Gross,Local,
1872,106724,GDLUSOFT,MSCI Daily TR EMU Gross Software & Services Local,Standard,,Gross,Local,
1878,106725,GDLUTELE,MSCI Daily TR EMU Gross Telecommunication Services Industry Group Local,Standard,,Gross,Local,
1884,106726,GDLUUTIL,MSCI Daily TR EMU Gross Utilities Local,Standard,,Gross,Local,
1890,106727,GDLMOGAS,MSCI Daily TR EMU Gross Oil Gas & Consumable Fuels Local,Standard,,Gross,Local,
1896,106728,GDLMAEDE,MSCI Daily TR EMU Gross Aerospace & Defense Local,Standard,,Gross,Local,
1902,106729,GDLMCHEM,MSCI Daily TR EMU Gross Chemicals Local,Standard,,Gross,Local,
1908,106730,GDLMPFOR,MSCI Daily TR EMU Gross Paper & Forest Products Local,Standard,,Gross,Local,
1914,106731,GDLMMMIN,MSCI Daily TR EMU Gross Metals & Mining Local,Standard,,Gross,Local,
1920,106732,GDLMAIR,MSCI Daily TR EMU Gross Airlines Local,Standard,,Gross,Local,
1926,106733,GDLMMAR,MSCI Daily TR EMU Gross Marine Local,Standard,,Gross,Local,
1932,106734,GDLMTEXT,MSCI Daily TR EMU Gross Textiles Local,Standard,,Gross,Local,
1938,106735,GDLMAUTO,MSCI Daily TR EMU Gross Automobiles Local,Standard,,Gross,Local,
1944,106736,GDLMF&DR,MSCI Daily TR EMU Gross Food & Drug Retailing Local,Standard,,Gross,Local,
1950,106737,GDLMBTEC,MSCI Daily TR EMU Gross Biotechnology Local,Standard,,Gross,Local,
1956,106738,GDLMPHA,MSCI Daily TR EMU Gross Pharmaceuticals Local,Standard,,Gross,Local,
1962,106739,GDLMCEQU,MSCI Daily TR EMU Gross Communications Equipment Local,Standard,,Gross,Local,
1968,106740,GDLMSOFT,MSCI Daily TR EMU Gross Software Local,Standard,,Gross,Local,
1974,106741,GDLMISOF,MSCI Daily TR EMU Gross Internet Software & Services Local,Standard,,Gross,Local,
1980,106742,GDLMWUTI,MSCI Daily TR EMU Gross Water Utilities Local,Standard,,Gross,Local,
1986,106743,GDLMGUTI,MSCI Daily TR EMU Gross Gas Utilities Local,Standard,,Gross,Local,
1992,106744,GDLMEUTI,MSCI Daily TR EMU Gross Electric Utilities Local,Standard,,Gross,Local,
2008,106750,GDLCHC,MSCI AC World Daily TR Gross Health Care Local,Standard,,Gross,Local,
2055,106773,GDLCRE,MSCI AC World Daily TR Gross Real Estate Industry Group Local,Standard,,Gross,Local,
2069,106778,GDLCOGAS,MSCI AC World Daily TR Gross Oil Gas & Consumable Fuels Local,Standard,,Gross,Local,
2075,106779,GDLCAEDE,MSCI AC World Daily TR Gross Aerospace & Defense Local,Standard,,Gross,Local,
2081,106780,GDLCCHEM,MSCI AC World Daily TR Gross Chemicals Local,Standard,,Gross,Local,
2087,106781,GDLCPFOR,MSCI AC World Daily TR Gross Paper & Forest Products Local,Standard,,Gross,Local,
2093,106782,GDLCMMIN,MSCI AC World Daily TR Gross Metals & Mining Local,Standard,,Gross,Local,
2099,106783,GDLCAIR,MSCI AC World Daily TR Gross Airlines Local,Standard,,Gross,Local,
2105,106784,GDLCMAR,MSCI AC World Daily TR Gross Marine Local,Standard,,Gross,Local,
2111,106785,GDLCTEXT,MSCI AC World Daily TR Gross Textiles Local,Standard,,Gross,Local,
2117,106786,GDLCAUTO,MSCI AC World Daily TR Gross Automobiles Local,Standard,,Gross,Local,
2123,106787,GDLCF&DR,MSCI AC World Daily TR Gross Food & Drug Retailing Local,Standard,,Gross,Local,
2129,106788,GDLCBTEC,MSCI AC World Daily TR Gross Biotechnology Local,Standard,,Gross,Local,
2135,106789,GDLCPHA,MSCI AC World Daily TR Gross Pharmaceuticals Local,Standard,,Gross,Local,
2141,106790,GDLCCEQU,MSCI AC World Daily TR Gross Communications Equipment Local,Standard,,Gross,Local,
2147,106791,GDLCSOFT,MSCI AC World Daily TR Gross Software Local,Standard,,Gross,Local,
2153,106792,GDLCISOF,MSCI AC World Daily TR Gross Internet Software & Services Local,Standard,,Gross,Local,
2159,106793,GDLCWUTI,MSCI AC World Daily TR Gross Water Utilities Local,Standard,,Gross,Local,
2165,106794,GDLCGUTI,MSCI AC World Daily TR Gross Gas Utilities Local,Standard,,Gross,Local,
2171,106795,GDLCEUTI,MSCI AC World Daily TR Gross Electric Utilities Local,Standard,,Gross,Local,
2177,106796,GDWLENR,MSCI Daily TR World Gross Energy Local,Standard,,Gross,Local,
2183,106797,GDWLMAT,MSCI Daily TR World Gross Materials Local,Standard,,Gross,Local,
2189,106798,GDWLIND,MSCI Daily TR World Gross Industrial Local,Standard,,Gross,Local,
2195,106799,GDWLCDIS,MSCI Daily TR World Gross Consumer Discretionary Local,Standard,,Gross,Local,
2201,106800,GDWLCSTA,MSCI Daily TR World Gross Consumer Staples Local,Standard,,Gross,Local,
2208,106801,GDWLHC,MSCI Daily TR World Gross Health Care Local,Standard,,Gross,Local,
2214,106802,GDWLFNCL,MSCI Daily TR World Gross Financials Local,Standard,,Gross,Local,
2220,106803,GDWLIT,MSCI Daily TR World Gross Information Technology Local,Standard,,Gross,Local,
2227,106804,GDWLTEL,MSCI Daily TR World Gross Telecommunication Services Sector Local,Standard,,Gross,Local,
2233,106805,GDWLUTI,MSCI Daily TR World Gross Utilities Sector Local,Standard,,Gross,Local,
2239,106806,GDWLENRG,MSCI Daily TR World Gross Energy Local,Standard,,Gross,Local,
2245,106807,GDWLMATL,MSCI Daily TR World Gross Materials Local,Standard,,Gross,Local,
2251,106809,GDWLCAP,MSCI Daily TR World Gross Capital Goods Local,Standard,,Gross,Local,
2257,106810,GDWLTRAN,MSCI Daily TR World Gross Transport Local,Standard,,Gross,Local,
2263,106811,GDWLSERV,MSCI Daily TR World Gross Commercial Services & Supplies Local,Standard,,Gross,Local,
2269,106812,GDWLAUTO,MSCI Daily TR World Gross Automobiles & Components Local,Standard,,Gross,Local,
2275,106813,GDWLHPP,MSCI Daily TR World Gross Household Local,Standard,,Gross,Local,
2281,106814,GDWLHRL,MSCI Daily TR World Gross Consumer Services Local,Standard,,Gross,Local,
2287,106815,GDWLRET,MSCI Daily TR World Gross Retail Local,Standard,,Gross,Local,
2293,106816,GDWLMED,MSCI Daily TR World Gross Media Local,Standard,,Gross,Local,
2299,106817,GDWLFB&T,MSCI Daily TR World Gross Food Beverage & Tobacco Local,Standard,,Gross,Local,
2305,106819,GDWLPHA,MSCI Daily TR World Gross Pharmaceuticals Biotechnology & Life Sciences Local,Standard,,Gross,Local,
2311,106820,GDWLHCE,MSCI Daily TR World Gross Health Care Equipment & Services Local,Standard,,Gross,Local,
2317,106821,GDWLBANK,MSCI Daily TR World Gross Banks Local,Standard,,Gross,Local,
2323,106822,GDWLINS,MSCI Daily TR World Gross Insurance Local,Standard,,Gross,Local,
2329,106823,GDWLDF,MSCI Daily TR World Gross Diversified Financials Industry Group Local,Standard,,Gross,Local,
2335,106824,GDWLRE,MSCI Daily TR World Gross Real Estate Local,Standard,,Gross,Local,
2341,106825,GDWLTECH,MSCI Daily TR World Gross Technology Hardware & Equipment Local,Standard,,Gross,Local,
2347,106826,GDWLSOFT,MSCI Daily TR World Gross Software & Services Local,Standard,,Gross,Local,
2353,106827,GDWLTELE,MSCI Daily TR World Gross Telecommunication Services Industry Group Local,Standard,,Gross,Local,
2359,106828,GDWLUTIL,MSCI Daily TR World Gross Utilities Local,Standard,,Gross,Local,
2365,106829,GDLWOGAS,MSCI Daily TR World Gross Oil Gas & Consumable Fuels Local,Standard,,Gross,Local,
2371,106830,GDLWAEDE,MSCI Daily TR World Gross Aerospace & Defense Local,Standard,,Gross,Local,
2377,106831,GDLWCHEM,MSCI Daily TR World Gross Chemicals Local,Standard,,Gross,Local,
2383,106832,GDLWPFOR,MSCI Daily TR World Gross Paper & Forest Products Local,Standard,,Gross,Local,
2389,106833,GDLWMMIN,MSCI Daily TR World Gross Metals & Mining Local,Standard,,Gross,Local,
2395,106834,GDLWAIR,MSCI Daily TR World Gross Airlines Local,Standard,,Gross,Local,
2401,106835,GDLWMAR,MSCI Daily TR World Gross Marine Local,Standard,,Gross,Local,
2407,106836,GDLWTEXT,MSCI Daily TR World Gross Textiles Local,Standard,,Gross,Local,
2413,106837,GDLWAUTO,MSCI Daily TR World Gross Automobiles Local,Standard,,Gross,Local,
2419,106838,GDLWF&DR,MSCI Daily TR World Gross Food & Drug Retailing Local,Standard,,Gross,Local,
2425,106839,GDLWBTEC,MSCI Daily TR World Gross Biotechnology Local,Standard,,Gross,Local,
2431,106840,GDLWPHA,MSCI Daily TR World Gross Pharmaceuticals Local,Standard,,Gross,Local,
2437,106841,GDLWCEQU,MSCI Daily TR World Gross Communications Equipment Local,Standard,,Gross,Local,
2443,106842,GDLWSOFT,MSCI Daily TR World Gross Software Local,Standard,,Gross,Local,
2449,106843,GDLWISOF,MSCI Daily TR World Gross Internet Software & Services Local,Standard,,Gross,Local,
2455,106844,GDLWWUTI,MSCI Daily TR World Gross Water Utilities Local,Standard,,Gross,Local,
2461,106845,GDLWGUTI,MSCI Daily TR World Gross Gas Utilities Local,Standard,,Gross,Local,
2467,106846,GDLWEUTI,MSCI Daily TR World Gross Electric Utilities Local,Standard,,Gross,Local,
2473,106847,GDLFEG,MSCI Daily TR EM Gross Energy Local,Standard,,Gross,Local,
2479,106848,GDLFML,MSCI Daily TR EM Gross Materials Local,Standard,,Gross,Local,
2485,106849,GDLFIND,MSCI Daily TR EM Gross Industrials Local,Standard,,Gross,Local,
2491,106850,GDLFCD,MSCI Daily TR EM Gross Consumer Discretionary Local,Standard,,Gross,Local,
2497,106851,GDLFCONS,MSCI Daily TR EM Gross Consumer Staples Local,Standard,,Gross,Local,
2503,106852,GDLFHC,MSCI Daily TR EM Gross Health Care Local,Standard,,Gross,Local,
2509,106853,GDLFFIN,MSCI Daily TR EM Gross Financials Local,Standard,,Gross,Local,
2515,106854,GDLFIT,MSCI Daily TR EM Gross Information Technology Local,Standard,,Gross,Local,
2521,106855,GDLFTS,MSCI Daily TR EM Gross Telecommunication Services Local,Standard,,Gross,Local,
2527,106856,GDLFULI,MSCI Daily TR EM Gross Utilities Local,Standard,,Gross,Local,
2537,106860,GDLFCGI,MSCI Daily TR EM Gross Capital Goods (Industry Group) Local,Standard,,Gross,Local,
2543,106861,GDLFTPI,MSCI Daily TR EM Gross Transportation (Industry Group) Local,Standard,,Gross,Local,
2549,106862,GDLFCMI,MSCI Daily TR EM Gross Commercial Services & Supplies (Industry Group) Local,Standard,,Gross,Local,
2555,106863,GDLFACI,MSCI Daily TR EM Gross Automobiles & Components (Industry Group) Local,Standard,,Gross,Local,
2561,106864,GDLFHPI,MSCI Daily TR EM Gross Household & Personal Products (Industry Group) Local,Standard,,Gross,Local,
2569,106866,GDLFRTI,MSCI Daily TR EM Gross Retailing (Industry Group) Local,Standard,,Gross,Local,
2575,106867,GDLFMDI,MSCI Daily TR EM Gross Media (Industry Group) Local,Standard,,Gross,Local,
2581,106868,GDLFFBI,MSCI Daily TR EM Gross Food Beverage & Tobacco (Industry Group) Local,Standard,,Gross,Local,
2587,106870,GDLFPBLI,MSCI Daily TR EM Gross Pharma Biotechnology & Life Sciences (Industry Grp) Local,Standard,,Gross,Local,
2593,106871,GDLFHSIN,MSCI Daily TR EM Gross Health Care Equipment & Services (Industry Group) Local,Standard,,Gross,Local,
2607,106876,GDLFTHI,MSCI Daily TR EM Gross Technology Hardware & Equipment (Industry Group) Local,Standard,,Gross,Local,
2613,106877,GDLFSWS,MSCI Daily TR EM Gross Software & Services Local,Standard,,Gross,Local,
2619,106878,GDLFTSI,MSCI Daily TR EM Gross Telecommunication Services (Industry Group) Local,Standard,,Gross,Local,
2625,106879,GDLFULIG,MSCI Daily TR EM Gross Utilities (Industry Group) Local,Standard,,Gross,Local,
2631,106880,GDLFOGAS,MSCI Daily TR EM Gross Oil Gas & Consumable Fuels Local,Standard,,Gross,Local,
2637,106881,GDLFAEDE,MSCI Daily TR EM Gross Aerospace & Defense Local,Standard,,Gross,Local,
2643,106882,GDLFCHEM,MSCI Daily TR EM Gross Chemicals Local,Standard,,Gross,Local,
2649,106883,GDLFPFOR,MSCI Daily TR EM Gross Paper & Forest Products Local,Standard,,Gross,Local,
2655,106884,GDLFMMIN,MSCI Daily TR EM Gross Metals & Mining Local,Standard,,Gross,Local,
2661,106885,GDLFAIR,MSCI Daily TR EM Gross Airlines Local,Standard,,Gross,Local,
2667,106886,GDLFMAR,MSCI Daily TR EM Gross Marine Local,Standard,,Gross,Local,
2673,106887,GDLFTEXT,MSCI Daily TR EM Gross Textiles Local,Standard,,Gross,Local,
2679,106888,GDLFAUTO,MSCI Daily TR EM Gross Automobiles Local,Standard,,Gross,Local,
2685,106889,GDLFF&DR,MSCI Daily TR EM Gross Food & Drug Retailing Local,Standard,,Gross,Local,
2691,106890,GDLFBTEC,MSCI Daily TR EM Gross Biotechnology Local,Standard,,Gross,Local,
2697,106891,GDLFPH,MSCI Daily TR EM Gross Pharmaceuticals Local,Standard,,Gross,Local,
2703,106892,GDLFCEQU,MSCI Daily TR EM Gross Communications Equipment Local,Standard,,Gross,Local,
2709,106893,GDLFSOFT,MSCI Daily TR EM Gross Software Local,Standard,,Gross,Local,
2715,106894,GDLFISOF,MSCI Daily TR EM Gross Internet Software & Services Local,Standard,,Gross,Local,
2721,106895,GDLFWUTI,MSCI Daily TR EM Gross Water Utilities Local,Standard,,Gross,Local,
2727,106896,GDLFGUTI,MSCI Daily TR EM Gross Gas Utilities Local,Standard,,Gross,Local,
2733,106897,GDLFEUTI,MSCI Daily TR EM Gross Electric Utilities Local,Standard,,Gross,Local,
2741,106900,GDLUCDUR,MSCI Daily TR EMU Gross Consumer Durables & Apparel Local,Standard,,Gross,Local,
2747,106901,GDRLCDUR,MSCI Daily TR Europe Gross Consumer Durables & Apparel Local,Standard,,Gross,Local,
2753,106902,GDWLCDUR,MSCI Daily TR World Gross Consumer Durables & Apparel Local,Standard,,Gross,Local,
2759,106903,GDLFCAI,MSCI Daily TR EM Gross Consumer Durables & Apparel (Industry Group) Local,Standard,,Gross,Local,
2766,106904,GTLRWTEL,MSCI Daily TR Europe Gross Wireless Telecommunication Services Local,Standard,,Gross,Local,
2772,106905,GTLRFPRO,MSCI Daily TR Europe Gross Food Products Local,Standard,,Gross,Local,
2778,106906,GTLRMRET,MSCI Daily TR Europe Gross Multiline Retail Local,Standard,,Gross,Local,
2784,106907,GTLRIDCO,MSCI Daily TR Europe Gross Industrial Conglomerates Local,Standard,,Gross,Local,
2790,106908,GTLRMACH,MSCI Daily TR Europe Gross Machinery Local,Standard,,Gross,Local,
2796,106909,GTLRBEV,MSCI Daily TR Europe Gross Beverages Local,Standard,,Gross,Local,
2802,106910,GTLRHDUR,MSCI Daily TR Europe Gross Household Durables Local,Standard,,Gross,Local,
2808,106911,GTLREEQU,MSCI Daily TR Europe Gross Electrical Equipment Local,Standard,,Gross,Local,
2814,106912,GTLRDTEL,MSCI Daily TR Europe Gross Diversified Telecommunication Services Local,Standard,,Gross,Local,
2819,106913,GDLMWTEL,MSCI Daily TR EMU Gross Wireless Telecommunication Services Local,Standard,,Gross,Local,
2825,106914,GDLMFPRO,MSCI Daily TR EMU Gross Food Products Local,Standard,,Gross,Local,
2831,106915,GDLMMRET,MSCI Daily TR EMU Gross Multiline Retail Local,Standard,,Gross,Local,
2837,106916,GDLMIDCO,MSCI Daily TR EMU Gross Industrial Conglomerates Local,Standard,,Gross,Local,
2843,106917,GDLMMACH,MSCI Daily TR EMU Gross Machinery Local,Standard,,Gross,Local,
2849,106918,GDLMBEV,MSCI Daily TR EMU Gross Beverages Local,Standard,,Gross,Local,
2855,106919,GDLMHDUR,MSCI Daily TR EMU Gross Household Durables Local,Standard,,Gross,Local,
2861,106920,GDLMEEQU,MSCI Daily TR EMU Gross Electrical Equipment Local,Standard,,Gross,Local,
2867,106921,GDLMDTEL,MSCI Daily TR EMU Gross Diversified Telecommunication Services Local,Standard,,Gross,Local,
2873,106922,GDLFWTS,MSCI Daily TR EM Gross Wireless Telecommunication Services Local,Standard,,Gross,Local,
2879,106923,GDLFFPRO,MSCI Daily TR EM Gross Food Products Local,Standard,,Gross,Local,
2885,106924,GDLFMRET,MSCI Daily TR EM Gross Multiline Retail Local,Standard,,Gross,Local,
2891,106925,GDLFIDCO,MSCI Daily TR EM Gross Industrial Conglomerates Local,Standard,,Gross,Local,
2897,106926,GDLFMACH,MSCI Daily TR EM Gross Machinery Local,Standard,,Gross,Local,
2903,106927,GDLFBEV,MSCI Daily TR EM Gross Beverages Local,Standard,,Gross,Local,
2909,106928,GDLFHDUR,MSCI Daily TR EM Gross Household Durables Local,Standard,,Gross,Local,
2915,106929,GDLFEEQU,MSCI Daily TR EM Gross Electrical Equipment Local,Standard,,Gross,Local,
2921,106930,GDLFDTEL,MSCI Daily TR EM Gross Diversified Telecommunication Services Local,Standard,,Gross,Local,
