datetime,CN_Quality2
2016-06-12,-0.00524756674379534
2016-06-13,-0.038167066306521114
2016-06-14,-0.03593877577757831
2016-06-15,-0.01909593674688792
2016-06-16,-0.028053465749460993
2016-06-17,-0.019671591602745786
2016-06-18,-0.019671591602745786
2016-06-19,-0.019671591602745786
2016-06-20,-0.01720644375094449
2016-06-21,-0.02551264039894463
2016-06-22,-0.011497897856771577
2016-06-23,-0.01423038683146971
2016-06-24,-0.01870186386051098
2016-06-25,-0.01870186386051098
2016-06-26,-0.01870186386051098
2016-06-27,0.005577108047298163
2016-06-28,0.027805241086186427
2016-06-29,0.02218987565352748
2016-06-30,0.01988664926525674
2016-07-01,0.02166809427262195
2016-07-02,0.02166809427262195
2016-07-03,0.02166809427262195
2016-07-04,0.040306727149865385
2016-07-05,0.04006060596523131
