,HK_10_3081,HK_10_3081
2016-06-23,10000.0000,30.7000
2016-06-24,10000.0000,32.0000
2016-06-27,10000.0000,32.2000
2016-06-28,10000.0000,32.0000
2016-06-29,10000.0000,32.1500
2016-06-30,10000.0000,31.9000
2016-07-04,10000.0000,32.7000
2016-07-05,10000.0000,32.6500
2016-07-06,10000.0000,33.1500
2016-07-07,10000.0000,33.1500
2016-07-08,10000.0000,32.9000
2016-07-11,10000.0000,33.1000
2016-07-12,10000.0000,32.9000
2016-07-13,10000.0000,32.6000
2016-07-14,10000.0000,32.4000
2016-07-15,10000.0000,32.3000
2016-07-18,10000.0000,32.2000
2016-07-19,10000.0000,32.3000
2016-07-20,10000.0000,32.3000
2016-07-21,10000.0000,32.1000
2016-07-22,10000.0000,32.1500
2016-07-25,10000.0000,32.1000
2016-07-26,10000.0000,32.1000
2016-07-27,10000.0000,32.1000
2016-07-28,10000.0000,32.6500
2016-07-29,10000.0000,32.5000
2016-08-01,10000.0000,32.9000
2016-08-03,10000.0000,33.2000
2016-08-04,10000.0000,32.8500
2016-08-05,10000.0000,33.1500
2016-08-08,10000.0000,32.4000
2016-08-09,10000.0000,32.4000
2016-08-10,10000.0000,32.9000
2016-08-11,10000.0000,32.6000
2016-08-12,10000.0000,32.5500
2016-08-15,10000.0000,32.6000
2016-08-16,10000.0000,32.8000
2016-08-17,10000.0000,32.7000
2016-08-18,10000.0000,32.8500
2016-08-19,10000.0000,32.7500
2016-08-22,10000.0000,32.3500
2016-08-23,10000.0000,32.5500
2016-08-24,10000.0000,32.4500
2016-08-25,10000.0000,32.1500
2016-08-26,10000.0000,32.2000
2016-08-29,10000.0000,32.0500
2016-08-30,10000.0000,32.1000
2016-08-31,10000.0000,31.9000
2016-09-01,10000.0000,31.7000
2016-09-02,10000.0000,31.8500
2016-09-05,10000.0000,32.2000
2016-09-06,10000.0000,32.3000
2016-09-07,10000.0000,32.7500
2016-09-08,10000.0000,32.7000
2016-09-09,10000.0000,32.4000
2016-09-12,10000.0000,32.3000
2016-09-13,10000.0000,32.3000
2016-09-14,10000.0000,32.1000
2016-09-15,10000.0000,32.1000
2016-09-19,10000.0000,31.9500
2016-09-20,10000.0000,31.9500
2016-09-21,10000.0000,32.1500
2016-09-22,10000.0000,32.4000
2016-09-23,10000.0000,32.4500
2016-09-26,10000.0000,32.5000
2016-09-27,10000.0000,32.5000
2016-09-28,10000.0000,32.2000
2016-09-29,10000.0000,32.1500
2016-09-30,10000.0000,32.2000
2016-10-03,10000.0000,32.0500
2016-10-04,10000.0000,31.8500
2016-10-05,10000.0000,31.0000
2016-10-06,10000.0000,30.7500
2016-10-07,10000.0000,30.8000
2016-10-11,10000.0000,30.6500
2016-10-12,10000.0000,30.5500
2016-10-13,10000.0000,30.7000
2016-10-14,10000.0000,30.6000
2016-10-17,10000.0000,30.5500
2016-10-18,10000.0000,30.7000
2016-10-19,10000.0000,30.6500
2016-10-20,10000.0000,30.9000
2016-10-24,10000.0000,30.8500
2016-10-25,10000.0000,30.8500
2016-10-26,10000.0000,31.0000
2016-10-27,10000.0000,30.9000
2016-10-28,10000.0000,30.9000
2016-10-31,10000.0000,31.0000
2016-11-01,10000.0000,31.1500
2016-11-02,10000.0000,31.5500
2016-11-03,10000.0000,31.6000
2016-11-04,10000.0000,31.5500
2016-11-07,10000.0000,31.4000
2016-11-08,10000.0000,31.3000
2016-11-09,10000.0000,32.0000
2016-11-10,10000.0000,31.2500
2016-11-11,10000.0000,30.7000
2016-11-14,10000.0000,29.8000
2016-11-15,10000.0000,29.8500
2016-11-16,10000.0000,29.8500
2016-11-17,10000.0000,29.9000
2016-11-18,10000.0000,29.3000
2016-11-21,10000.0000,29.4500
2016-11-22,10000.0000,29.6000
2016-11-23,10000.0000,29.5000
2016-11-24,10000.0000,28.7500
2016-11-25,10000.0000,28.6000
2016-11-28,10000.0000,28.9500
2016-11-29,10000.0000,28.9000
2016-11-30,10000.0000,28.8500
2016-12-01,10000.0000,28.2500
2016-12-02,10000.0000,28.4500
2016-12-05,10000.0000,28.3500
2016-12-06,10000.0000,28.4000
2016-12-07,10000.0000,28.2000
2016-12-08,10000.0000,28.4500
2016-12-09,10000.0000,28.2500
2016-12-12,10000.0000,28.0000
2016-12-13,10000.0000,28.0500
2016-12-14,10000.0000,28.1500
2016-12-15,10000.0000,27.5000
2016-12-16,10000.0000,27.5000
2016-12-19,10000.0000,27.6000
2016-12-20,10000.0000,27.5000
2016-12-21,10000.0000,27.4500
2016-12-22,10000.0000,27.3500
2016-12-23,10000.0000,27.4000
2016-12-28,10000.0000,27.7000
2016-12-29,10000.0000,28.4000
2016-12-30,10000.0000,28.3000
2017-01-03,10000.0000,28.4000
2017-01-04,10000.0000,28.3000
2017-01-05,10000.0000,28.7000
2017-01-06,10000.0000,28.5000
2017-01-09,10000.0000,28.6000
2017-01-10,10000.0000,28.8500
2017-01-11,10000.0000,28.9000
2017-01-12,10000.0000,29.2000
2017-01-13,10000.0000,29.1000
2017-01-16,10000.0000,29.3500
2017-01-17,10000.0000,29.6500
2017-01-18,10000.0000,29.5500
2017-01-19,10000.0000,29.2500
2017-01-20,10000.0000,29.3000
2017-01-23,10000.0000,29.5500
2017-01-24,10000.0000,29.5500
2017-01-25,10000.0000,29.3500
2017-01-26,10000.0000,29.1500
2017-01-27,10000.0000,28.8500
2017-02-01,10000.0000,29.4500
2017-02-02,10000.0000,29.6000
2017-02-03,10000.0000,29.6500
2017-02-06,10000.0000,29.8500
2017-02-07,10000.0000,30.1000
2017-02-08,10000.0000,29.9000
2017-02-09,10000.0000,30.1000
2017-02-10,10000.0000,29.7500
2017-02-13,10000.0000,29.9000
2017-02-14,10000.0000,29.8000
2017-02-15,10000.0000,29.8000
2017-02-16,10000.0000,29.9000
2017-02-17,10000.0000,30.1000
2017-02-20,10000.0000,30.0000
2017-02-21,10000.0000,30.0000
2017-02-22,10000.0000,29.9000
2017-02-23,10000.0000,30.0000
2017-02-24,10000.0000,30.5500
2017-02-27,10000.0000,30.6000
2017-02-28,10000.0000,30.4000
2017-03-01,10000.0000,30.2000
2017-03-02,10000.0000,30.2500
2017-03-03,10000.0000,29.8500
2017-03-06,10000.0000,29.9500
2017-03-07,10000.0000,29.7500
2017-03-08,10000.0000,29.5500
2017-03-09,10000.0000,29.3000
2017-03-10,10000.0000,29.1000
2017-03-13,10000.0000,29.4000
2017-03-14,10000.0000,29.1500
2017-03-15,10000.0000,29.3000
2017-03-16,10000.0000,29.8500
2017-03-17,10000.0000,29.8500
2017-03-20,10000.0000,29.9000
2017-03-21,10000.0000,29.8000
2017-03-22,10000.0000,30.2500
2017-03-23,10000.0000,30.3000
2017-03-24,10000.0000,30.1000
2017-03-27,10000.0000,30.5500
2017-03-28,10000.0000,30.4000
2017-03-29,10000.0000,30.3000
2017-03-30,10000.0000,30.3000
2017-03-31,10000.0000,30.1500
2017-04-03,10000.0000,30.3000
2017-04-05,10000.0000,30.5500
2017-04-06,10000.0000,30.6000
2017-04-07,10000.0000,30.8000
2017-04-10,10000.0000,30.5000
2017-04-11,10000.0000,30.6500
2017-04-12,10000.0000,31.0000
2017-04-13,10000.0000,31.2500
2017-04-18,10000.0000,31.2000
2017-04-19,10000.0000,31.1500
