,history_date,history_value
157,2018-08-17,1.3506
158,2018-08-20,1.3583
159,2018-08-21,1.3612
160,2018-08-22,1.3645
161,2018-08-23,1.3635
162,2018-08-24,1.3630
163,2018-08-27,1.3750
164,2018-08-28,1.3801
165,2018-08-29,1.3787
166,2018-08-30,1.3761
167,2018-08-31,1.3708
168,2018-09-03,1.3688
169,2018-09-04,1.3698
170,2018-09-05,1.3580
171,2018-09-06,1.3566
172,2018-09-07,1.3557
173,2018-09-10,1.3485
174,2018-09-11,1.3493
175,2018-09-12,1.3476
176,2018-09-13,1.3537
177,2018-09-14,1.3615
178,2018-09-17,1.3545
179,2018-09-18,1.3581
180,2018-09-19,1.3595
181,2018-09-20,1.3627
182,2018-09-21,1.3690
183,2018-09-24,1.3595
184,2018-09-26,1.3651
185,2018-09-27,1.3623
186,2018-09-28,1.3654
187,2018-10-02,1.3618
188,2018-10-03,1.3640
189,2018-10-04,1.3525
190,2018-10-05,1.3484
191,2018-10-08,1.3431
192,2018-10-09,1.3384
193,2018-10-10,1.3385
194,2018-10-11,1.3127
195,2018-10-12,1.3212
196,2018-10-15,1.3149
197,2018-10-16,1.3154
198,2018-10-18,1.3188
199,2018-10-19,1.3195
200,2018-10-22,1.3250
201,2018-10-23,1.3113
202,2018-10-24,1.3091
203,2018-10-25,1.3000
204,2018-10-26,1.2945
205,2018-10-29,1.2946
206,2018-10-30,1.2953
207,2018-10-31,1.3017
208,2018-11-01,1.3096
209,2018-11-02,1.3302
210,2018-11-05,1.3170
211,2018-11-06,1.3209
212,2018-11-07,1.3241
213,2018-11-08,1.3297
214,2018-11-09,1.3210
215,2018-11-12,1.3199
216,2018-11-13,1.3158
217,2018-11-14,1.3136
218,2018-11-15,1.3172
219,2018-11-16,1.3204
220,2018-11-19,1.3247
221,2018-11-20,1.3143
222,2018-11-21,1.3088
223,2018-11-22,1.3101
224,2018-11-23,1.3050
225,2018-11-26,1.3073
226,2018-11-27,1.3093
227,2018-11-28,1.3146
228,2018-11-29,1.3200
229,2018-11-30,1.3234
230,2018-12-03,1.3433
231,2018-12-04,1.3357
232,2018-12-05,1.3248
233,2018-12-06,1.3142
234,2018-12-07,1.3137
235,2018-12-10,1.3017
236,2018-12-11,1.3055
237,2018-12-12,1.3103
238,2018-12-13,1.3162
239,2018-12-14,1.3071
240,2018-12-17,1.2986
241,2018-12-18,1.2944
242,2018-12-19,1.2907
243,2018-12-20,1.2858
244,2018-12-21,1.2849
245,2018-12-24,1.2796
246,2018-12-27,1.2816
247,2018-12-28,1.2878
248,2018-12-31,1.2947
249,2019-01-02,1.2844
250,2019-01-03,1.2822
251,2019-01-04,1.2875
252,2019-01-07,1.2984
253,2019-01-08,1.3005
254,2019-01-09,1.3080
255,2019-01-10,1.3137
256,2019-01-11,1.3186
257,2019-01-14,1.3139
258,2019-01-15,1.3223
259,2019-01-16,1.3220
260,2019-01-17,1.3210
261,2019-01-18,1.3269
262,2019-01-21,1.3309
263,2019-01-22,1.3273
264,2019-01-23,1.3273
265,2019-01-24,1.3270
266,2019-01-25,1.3308
267,2019-01-28,1.3350
268,2019-01-29,1.3322
269,2019-01-30,1.3315
270,2019-01-31,1.3456
271,2019-02-01,1.3503
272,2019-02-04,1.3504
273,2019-02-05,1.3504
274,2019-02-06,1.3504
275,2019-02-07,1.3504
276,2019-02-08,1.3477
277,2019-02-11,1.3519
278,2019-02-12,1.3547
279,2019-02-13,1.3619
280,2019-02-14,1.3624
281,2019-02-15,1.3556
282,2019-02-18,1.3683
283,2019-02-19,1.3696
284,2019-02-20,1.3696
