,SmartGlobal Max-Growth,Benchmark-Growth
2016/9/12,1.09635315,1.073118004
2016/9/13,1.081371576,1.064463734
2016/9/14,1.081863986,1.064461197
2016/9/15,1.089990027,1.068864044
2016/9/16,1.085148883,1.065642533
2016/9/19,1.08801332,1.069083776
2016/9/20,1.088871402,1.069447075
2016/9/21,1.102016936,1.076796767
2016/9/22,1.107928217,1.085456053
2016/9/23,1.101091582,1.081827229
2016/9/26,1.094162552,1.076227336
2016/9/27,1.098620927,1.079034958
2016/9/28,1.10549863,1.080953406
2016/9/29,1.096248723,1.079308388
2016/9/30,1.101963262,1.079551048
2016/10/3,1.101799121,1.079035789
2016/10/4,1.096400282,1.076489983
2016/10/5,1.101359654,1.077087805
2016/10/6,1.099937381,1.075949777
2016/10/7,1.097183204,1.073795628
2016/10/10,1.097183204,1.076475473
2016/10/11,1.090450255,1.068545567
2016/10/12,1.090283913,1.066445678
2016/10/13,1.087279678,1.064337157
2016/10/14,1.087341128,1.065306123
2016/10/17,1.085536543,1.063755574
2016/10/18,1.093546233,1.069837295
2016/10/19,1.09655562,1.072242296
2016/10/20,1.095570922,1.071436963
2016/10/21,1.095090458,1.070346798
2016/10/24,1.09755329,1.072286119
2016/10/25,1.095687094,1.070609242
2016/10/26,1.091719496,1.068876411
2016/10/27,1.088038317,1.065619337
2016/10/28,1.086217746,1.064159039
2016/10/31,1.08732939,1.064602958
2016/11/1,1.083401639,1.062255179
2016/11/2,1.077406975,1.057634306
2016/11/3,1.076298321,1.054980979
2016/11/4,1.07245554,1.052721766
2016/11/7,1.087498258,1.062071246
2016/11/8,1.089269584,1.064161418
2016/11/9,1.087169977,1.059943417
2016/11/10,1.079733444,1.060314864
2016/11/11,1.079733444,1.056699451
2016/11/14,1.072401263,1.051914286
2016/11/15,1.080747324,1.055444174
2016/11/16,1.076843129,1.055208539
2016/11/17,1.079090679,1.057122915
2016/11/18,1.075209333,1.052286822
2016/11/21,1.082075451,1.056963211
2016/11/22,1.086165726,1.058968329
2016/11/23,1.082912195,1.056862357
2016/11/25,1.085973667,1.060433656
2016/11/28,1.084820274,1.059521059
2016/11/29,1.086526771,1.060538504
2016/11/30,1.085759414,1.058675405
2016/12/1,1.081813761,1.05558909
2016/12/2,1.082614776,1.056446841
2016/12/5,1.087784771,1.05975822
2016/12/6,1.091430776,1.063574355
2016/12/7,1.101504298,1.072522447
2016/12/8,1.103242227,1.074020374
2016/12/9,1.104245661,1.074906868
2016/12/12,1.100568102,1.074521136
2016/12/13,1.106527862,1.079719024
2016/12/14,1.093347742,1.074935362
2016/12/15,1.094365938,1.069363604
2016/12/16,1.093409888,1.068859971
2016/12/19,1.093764631,1.071113998
2016/12/20,1.095762737,1.071672677
2016/12/21,1.095015608,1.071860761
2016/12/22,1.092266937,1.070351332
2016/12/23,1.093667254,1.070964741
2016/12/27,1.09566136,1.071308143
2016/12/28,1.092658985,1.06963838
2016/12/29,1.096493302,1.071867718
2016/12/30,1.094918112,1.072579007
2017/1/3,1.101721877,1.075271332
2017/1/4,1.109046246,1.080961497
2017/1/5,1.113366091,1.086650224
2017/1/6,1.11160033,1.085713557
2017/1/9,1.109876729,1.084262864
2017/1/10,1.111097006,1.085725912
2017/1/11,1.115236426,1.085583715
2017/1/12,1.115404888,1.088361486
2017/1/13,1.116621428,1.089473344
2017/1/17,1.115718691,1.088782635
2017/1/18,1.113849591,1.088592295
2017/1/19,1.111289625,1.083668747
2017/1/20,1.114185292,1.085969358
2017/1/23,1.116530752,1.087766201
2017/1/24,1.120964342,1.089981569
2017/1/25,1.127361835,1.094425983
2017/1/26,1.125246783,1.094589301
2017/1/27,1.124602814,1.095030134
2017/1/30,1.119534414,1.090914981
2017/1/31,1.121393912,1.091274116
2017/2/1,1.122673039,1.091403913
2017/2/2,1.124049398,1.09240558
2017/2/3,1.128933275,1.095844231
2017/2/6,1.126764283,1.095364522
2017/2/7,1.124968025,1.095257304
2017/2/8,1.128090479,1.098048508
2017/2/9,1.131705981,1.099072474
2017/2/10,1.135618881,1.101676491
2017/2/13,1.138277688,1.104733383
2017/2/14,1.139190747,1.104032822
2017/2/15,1.142522169,1.107288954
2017/2/16,1.142584783,1.109776494
2017/2/17,1.141773079,1.109762746
2017/2/21,1.147039222,1.112494843
2017/2/22,1.146902732,1.112944519
2017/2/23,1.147582805,1.114809739
2017/2/24,1.145057816,1.114100569
2017/2/27,1.144991821,1.113124277
2017/2/28,1.141558894,1.112022114
2017/3/1,1.151072522,1.115946939
2017/3/2,1.143606938,1.112672145
2017/3/3,1.146427299,1.112422292
2017/3/6,1.144284411,1.11167426
2017/3/7,1.141665935,1.109592236
2017/3/8,1.136459235,1.106442077
2017/3/9,1.135868247,1.104676388
2017/3/10,1.140511291,1.108698844
2017/3/13,1.143674379,1.110581684
2017/3/14,1.13936101,1.108480043
2017/3/15,1.152327973,1.114758153
2017/3/16,1.153466353,1.119534106
2017/3/17,1.153516391,1.119831002
2017/3/20,1.154031602,1.120210337
2017/3/21,1.146423236,1.116309485
2017/3/22,1.14806173,1.115346871
2017/3/23,1.148899732,1.115834547
2017/3/24,1.150317854,1.116641989
2017/3/27,1.151128755,1.116683982
2017/3/28,1.154652283,1.120908586
2017/3/29,1.156807076,1.12094122
2017/3/30,1.155974061,1.121275229
2017/3/31,1.154607334,1.118737199
2017/4/3,1.15517343,1.118749105
2017/4/4,1.155522838,1.119095435
2017/4/5,1.152962105,1.117977865
2017/4/6,1.154120488,1.11800445
2017/4/7,1.153558687,1.116843922
2017/4/10,1.153277598,1.117331327
2017/4/11,1.155610498,1.118870966
2017/4/12,1.15434861,1.117544022
2017/4/13,1.15E+00,1.11583378
2017/4/17,1.155054879,1.119963308
2017/4/18,1.15160756,1.118018475
2017/4/19,1.148593317,1.116405924
2017/4/20,1.155140676,1.119933894
2017/4/21,1.154139893,1.118827164
2017/4/24,1.165183594,1.129069433
2017/4/25,1.169377238,1.132374887
2017/4/26,1.168585547,1.13289798
2017/4/27,1.168467375,1.132632786
2017/4/28,1.167614598,1.131868448
2017/5/1,1.169670917,1.132561603
2017/5/2,1.171919587,1.135271816
2017/5/3,1.168678498,1.133912417
2017/5/4,1.168226275,1.133707847
2017/5/5,1.173823617,1.137265622
2017/5/8,1.170672486,1.137673417
2017/5/9,1.170706094,1.136244171
2017/5/10,1.173622278,1.137467209
2017/5/11,1.172334692,1.136488301
2017/5/12,1.174469109,1.13875833
2017/5/15,1.179376929,1.142406905
2017/5/16,1.181514087,1.144667295
2017/5/17,1.170741647,1.13836235
2017/5/18,1.170026004,1.135611322
2017/5/19,1.177974442,1.140776385
2017/5/22,1.180325304,1.1448788
2017/5/23,1.180065552,1.144878958
2017/5/24,1.182269099,1.145733971
2017/5/25,1.184542885,1.149154936
2017/5/26,1.184708501,1.148603428
2017/5/30,1.183748437,1.148176947
2017/5/31,1.183612481,1.148692835
2017/6/1,1.19010581,1.152465933
2017/6/2,1.194883799,1.158303883
2017/6/5,1.192728721,1.156944933
2017/6/6,1.192529216,1.155602939
2017/6/7,1.191793642,1.155376305
2017/6/8,1.192640115,1.154349759
2017/6/9,1.190338737,1.153688554
2017/6/12,1.188836018,1.151256261
2017/6/13,1.19415107,1.154891391
2017/6/14,1.192475447,1.157379705
2017/6/15,1.186830868,1.15125112
2017/6/16,1.189388365,1.153705028
2017/6/19,1.193975186,1.158607692
2017/6/20,1.187190629,1.154338042
2017/6/21,1.186632486,1.153275136
2017/6/22,1.187919657,1.154069919
2017/6/23,1.190755185,1.155722208
2017/6/26,1.192955397,1.157509894
2017/6/27,1.188208453,1.152833483
2017/6/28,1.194899278,1.157046269
2017/6/29,1.187562311,1.152285927
2017/6/30,1.189219893,1.150339637
2017/7/3,1.18925514,1.151237745
2017/7/5,1.189667753,1.151151176
2017/7/6,1.182921356,1.146327181
2017/7/7,1.185764673,1.147032288
2017/7/10,1.18807458,1.149554
2017/7/11,1.190114203,1.149992016
2017/7/12,1.198152154,1.157765944
2017/7/13,1.200052586,1.159681721
2017/7/14,1.205874256,1.164474822
2017/7/17,1.204561324,1.16543014
2017/7/18,1.205728282,1.166865322
2017/7/19,1.211387128,1.170531797
2017/7/20,1.212667331,1.172241016
2017/7/21,1.211139981,1.171515889
2017/7/24,1.211292338,1.170084375
2017/7/25,1.211864356,1.170300417
2017/7/26,1.215235055,1.171788703
2017/7/27,1.212757978,1.172428934
2017/7/28,1.213391179,1.171408986
2017/7/31,1.214459008,1.171922057
2017/8/1,1.217904504,1.176299451
2017/8/2,1.217567092,1.176206093
2017/8/3,1.215649862,1.175877986
2017/8/4,1.216447768,1.174973068
2017/8/7,1.218054251,1.177243783
2017/8/8,1.215262636,1.175240674
2017/8/9,1.212951288,1.173526763
2017/8/10,1.200189321,1.165386472
2017/8/11,1.200912038,1.163714791
2017/8/14,1.207990659,1.169429431
2017/8/15,1.206584238,1.167375599
2017/8/16,1.210876764,1.170515288
