,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
601898,0,0,0,1,0,0,0,0,0,0,0
601899,0,0,0,0,0,0,0,0,1,0,0
601901,0,0,0,0,1,0,0,0,0,0,0
601919,0,0,0,0,0,0,1,0,0,0,0
601933,0,0,1,0,0,0,0,0,0,0,0
601939,0,0,0,0,1,0,0,0,0,0,0
601958,0,0,0,0,0,0,0,0,1,0,0
601966,0,1,0,0,0,0,0,0,0,0,0
601985,0,0,0,0,0,0,0,0,0,0,1
601988,0,0,0,0,1,0,0,0,0,0,0
601989,0,0,0,0,0,0,1,0,0,0,0
601991,0,0,0,0,0,0,0,0,0,0,1
601992,0,0,0,0,0,0,0,0,1,0,0
601997,0,0,0,0,1,0,0,0,0,0,0
601998,0,0,0,0,1,0,0,0,0,0,0
603160,0,0,0,0,0,0,0,1,0,0,0
603799,0,0,0,0,0,0,0,0,1,0,0
603833,0,1,0,0,0,0,0,0,0,0,0
603858,0,0,0,0,0,1,0,0,0,0,0
603993,0,0,0,0,0,0,0,0,1,0,0
