date,sp500
2011-03-12,0.16965294600000003
2011-03-13,0.16965294600000003
2011-03-14,0.16257734699999998
2011-03-15,0.149556094
2011-03-16,0.127145547
2011-03-17,0.142247332
2011-03-18,0.14716169
2011-03-19,0.14716169
2011-03-20,0.14716169
2011-03-21,0.16436194099999998
2011-03-22,0.16022778199999999
2011-03-23,0.163608645
2011-03-24,0.174477625
2011-03-25,0.178190297
2011-03-26,0.178190297
2011-03-27,0.178190297
2011-03-28,0.17495291899999998
2011-03-29,0.18324813899999998
2011-03-30,0.191157744
2011-03-31,0.188978567
2011-04-01,0.19487938300000002
2011-04-02,0.19487938300000002
2011-04-03,0.19487938300000002
2011-04-04,0.195291902
2011-04-05,0.195076675
2011-04-06,0.197686306
2011-04-07,0.19586584199999998
2011-04-08,0.191077033
2011-04-09,0.191077033
2011-04-10,0.191077033
2011-04-11,0.187749978
2011-04-12,0.17851313800000002
2011-04-13,0.178737333
2011-04-14,0.17883597899999998
2011-04-15,0.183463367
2011-04-16,0.183463367
2011-04-17,0.183463367
2011-04-18,0.17042417699999998
2011-04-19,0.17713209600000002
2011-04-20,0.193040983
2011-04-21,0.199336382
2011-04-22,0.199336382
2011-04-23,0.199336382
2011-04-24,0.199336382
2011-04-25,0.19742624
2011-04-26,0.208178639
2011-04-27,0.215729531
2011-04-28,0.22005201300000002
2011-04-29,0.222858936
2011-04-30,0.222858936
2011-05-01,0.222858936
2011-05-02,0.22071563100000002
2011-05-03,0.21659044
2011-05-04,0.208250381
2011-05-05,0.197291723
2011-05-06,0.201865304
2011-05-07,0.201865304
2011-05-08,0.201865304
2011-05-09,0.207326697
2011-05-10,0.21707470199999998
2011-05-11,0.20355125100000002
2011-05-12,0.209443099
2011-05-13,0.199686127
2011-05-14,0.199686127
2011-05-15,0.199686127
2011-05-16,0.192242848
2011-05-17,0.19180342600000003
2011-05-18,0.20229575800000002
2011-05-19,0.204914357
2011-05-20,0.19565061399999997
2011-05-21,0.19565061399999997
2011-05-22,0.19565061399999997
2011-05-23,0.18139180300000002
2011-05-24,0.18041431300000002
2011-05-25,0.184171823
2011-05-26,0.188853018
2011-05-27,0.1937046
2011-05-28,0.1937046
2011-05-29,0.1937046
2011-05-30,0.1937046
2011-05-31,0.206349206
2011-06-01,0.178862882
2011-06-02,0.17741906600000001
2011-06-03,0.16595821
2011-06-04,0.16595821
2011-06-05,0.16595821
2011-06-06,0.15341225
2011-06-07,0.15230921
2011-06-08,0.147484531
2011-06-09,0.15595013900000002
2011-06-10,0.139790153
2011-06-11,0.139790153
2011-06-12,0.139790153
2011-06-13,0.14055241699999999
2011-06-14,0.154936777
2011-06-15,0.134804053
2011-06-16,0.136794906
2011-06-17,0.14025647900000002
2011-06-18,0.14025647900000002
2011-06-19,0.14025647900000002
2011-06-20,0.146408394
2011-06-21,0.161797148
2011-06-22,0.154282127
2011-06-23,0.15101784599999998
2011-06-24,0.137521299
2011-06-25,0.137521299
2011-06-26,0.137521299
2011-06-27,0.147968792
2011-06-28,0.162828446
2011-06-29,0.172459869
2011-06-30,0.184324276
2011-07-01,0.20139001
2011-07-02,0.20139001
2011-07-03,0.20139001
2011-07-04,0.20139001
2011-07-05,0.199784773
2011-07-06,0.20098645899999998
2011-07-07,0.21354138600000003
2011-07-08,0.20509371399999998
2011-07-09,0.20509371399999998
2011-07-10,0.20509371399999998
2011-07-11,0.183292978
2011-07-12,0.178046812
2011-07-13,0.18170567699999998
2011-07-14,0.17376916899999997
2011-07-15,0.18028876300000002
2011-07-16,0.18028876300000002
2011-07-17,0.18028876300000002
2011-07-18,0.170693211
2011-07-19,0.189785669
2011-07-20,0.188987535
2011-07-21,0.20509371399999998
2011-07-22,0.206187786
2011-07-23,0.206187786
2011-07-24,0.206187786
2011-07-25,0.19938122100000003
2011-07-26,0.19445789600000002
2011-07-27,0.170199982
2011-07-28,0.166415568
2011-07-29,0.158891579
2011-07-30,0.158891579
2011-07-31,0.158891579
2011-08-01,0.154102771
2011-08-02,0.12460765900000001
2011-08-03,0.130248408
2011-08-04,0.076199444
2011-08-05,0.075580665
2011-08-06,0.075580665
2011-08-07,0.075580665
2011-08-08,0.003909963
2011-08-09,0.051502107000000005
2011-08-10,0.0050757779999999995
2011-08-11,0.051600753
2011-08-12,0.05713388900000001
2011-08-13,0.05713388900000001
2011-08-14,0.05713388900000001
2011-08-15,0.08016321400000001
2011-08-16,0.069643978
2011-08-17,0.07065734
2011-08-18,0.022912743
2011-08-19,0.00755986
2011-08-20,0.00755986
2011-08-21,0.00755986
2011-08-22,0.007819926
2011-08-23,0.042372880999999994
2011-08-24,0.056048785
2011-08-25,0.039610797
2011-08-26,0.05533136
2011-08-27,0.05533136
2011-08-28,0.05533136
2011-08-29,0.085176217
2011-08-30,0.087723074
2011-08-31,0.093076854
2011-09-01,0.08010043900000001
2011-09-02,0.052793470999999995
2011-09-03,0.052793470999999995
2011-09-04,0.052793470999999995
2011-09-05,0.052793470999999995
2011-09-06,0.044964577
2011-09-07,0.074899112
2011-09-08,0.063492063
2011-09-09,0.035091023
2011-09-10,0.035091023
2011-09-11,0.035091023
2011-09-12,0.042301139
2011-09-13,0.051807013
2011-09-14,0.065985113
2011-09-15,0.08430634
2011-09-16,0.090494126
2011-09-17,0.090494126
2011-09-18,0.090494126
2011-09-19,0.079804502
2011-09-20,0.078010941
2011-09-21,0.046327684
2011-09-22,0.012967447
2011-09-23,0.019128329
2011-09-24,0.019128329
2011-09-25,0.019128329
2011-09-26,0.04291095
2011-09-27,0.054057932
2011-09-28,0.032248228999999996
2011-09-29,0.040624159
2011-09-30,0.014635458999999998
2011-10-01,0.014635458999999998
2011-10-02,0.014635458999999998
2011-10-03,-0.014231907
2011-10-04,0.007936508
2011-10-05,0.025943862
2011-10-06,0.044722446
2011-10-07,0.036194063
2011-10-08,0.036194063
2011-10-09,0.036194063
2011-10-10,0.071554121
2011-10-11,0.07213702799999999
2011-10-12,0.082638328
2011-10-13,0.079418886
2011-10-14,0.098179535
2011-10-15,0.098179535
2011-10-16,0.098179535
2011-10-17,0.076907901
2011-10-18,0.09889696
2011-10-19,0.08499686099999999
2011-10-20,0.089938122
2011-10-21,0.110438526
2011-10-22,0.110438526
2011-10-23,0.110438526
2011-10-24,0.12473320800000001
2011-10-25,0.102188145
2011-10-26,0.11380145300000001
2011-10-27,0.15199533699999998
2011-10-28,0.152443727
2011-10-29,0.152443727
2011-10-30,0.152443727
2011-10-31,0.123935073
2011-11-01,0.09252981800000001
2011-11-02,0.11012465199999999
2011-11-03,0.1309748
2011-11-04,0.123872298
2011-11-05,0.123872298
2011-11-06,0.123872298
2011-11-07,0.13094789699999998
2011-11-08,0.144220249
2011-11-09,0.102232984
2011-11-10,0.11172989
2011-11-11,0.133396108
2011-11-12,0.133396108
2011-11-13,0.133396108
2011-11-14,0.12257196699999999
2011-11-15,0.127979553
2011-11-16,0.10923684
2011-11-17,0.09060174
2011-11-18,0.090171285
2011-11-19,0.090171285
2011-11-20,0.090171285
2011-11-21,0.06984127
2011-11-22,0.065411174
2011-11-23,0.041870684
2011-11-24,0.041870684
2011-11-25,0.039072729
2011-11-26,0.039072729
2011-11-27,0.039072729
2011-11-28,0.069455654
2011-11-29,0.071823155
2011-11-30,0.118249484
2011-12-01,0.11611514699999999
2011-12-02,0.11584611199999999
2011-12-03,0.11584611199999999
2011-12-04,0.11584611199999999
2011-12-05,0.12732490400000002
2011-12-06,0.12857142900000001
2011-12-07,0.130849251
2011-12-08,0.10694108199999999
2011-12-09,0.125629988
2011-12-10,0.125629988
2011-12-11,0.125629988
2011-12-12,0.108842256
2011-12-13,0.09921083300000001
2011-12-14,0.086736616
2011-12-15,0.09026096300000001
2011-12-16,0.093767375
2011-12-17,0.093767375
2011-12-18,0.093767375
2011-12-19,0.080934445
2011-12-20,0.113173706
2011-12-21,0.115343915
2011-12-22,0.124562819
2011-12-23,0.134723343
2011-12-24,0.134723343
2011-12-25,0.134723343
2011-12-26,0.134723343
2011-12-27,0.134813021
2011-12-28,0.120652856
2011-12-29,0.13265178
2011-12-30,0.127791229
2011-12-31,0.127791229
2012-01-01,0.127791229
2012-01-02,0.127791229
2012-01-03,0.145242579
2012-01-04,0.145457806
2012-01-05,0.148829701
2012-01-06,0.145915165
2012-01-07,0.145915165
2012-01-08,0.145915165
2012-01-09,0.14850686
2012-01-10,0.158712223
2012-01-11,0.159070935
2012-01-12,0.161779213
2012-01-13,0.156030849
2012-01-14,0.156030849
2012-01-15,0.156030849
2012-01-16,0.156030849
2012-01-17,0.160138104
2012-01-18,0.173024841
2012-01-19,0.178818043
2012-01-20,0.17960721
2012-01-21,0.17960721
2012-01-22,0.17960721
2012-01-23,0.180163214
2012-01-24,0.17895256
2012-01-25,0.18917585899999997
2012-01-26,0.18234239100000002
2012-01-27,0.18045915199999998
2012-01-28,0.18045915199999998
2012-01-29,0.18045915199999998
2012-01-30,0.17748184
2012-01-31,0.176943772
2012-02-01,0.187418169
2012-02-02,0.188718501
2012-02-03,0.206080172
2012-02-04,0.206080172
2012-02-05,0.206080172
2012-02-06,0.205569007
2012-02-07,0.20800825
2012-02-08,0.210617882
2012-02-09,0.212402475
2012-02-10,0.204053448
2012-02-11,0.204053448
2012-02-12,0.204053448
2012-02-13,0.212241055
2012-02-14,0.21110214300000002
2012-02-15,0.20458254899999997
2012-02-16,0.217863869
2012-02-17,0.220724599
2012-02-18,0.220724599
2012-02-19,0.220724599
2012-02-20,0.220724599
2012-02-21,0.22160344399999998
2012-02-22,0.217523092
2012-02-23,0.22272441899999998
2012-02-24,0.22476907899999998
2012-02-25,0.22476907899999998
2012-02-26,0.22476907899999998
2012-02-27,0.226428123
2012-02-28,0.230544346
2012-02-29,0.224715272
2012-03-01,0.232257197
2012-03-02,0.228257555
2012-03-03,0.228257555
2012-03-04,0.228257555
2012-03-05,0.22350461800000002
2012-03-06,0.20469913
2012-03-07,0.21301228600000002
2012-03-08,0.22492153199999998
2012-03-09,0.229369563
2012-03-10,0.229369563
2012-03-11,0.229369563
2012-03-12,0.229566855
2012-03-13,0.25186082
2012-03-14,0.250363196
2012-03-15,0.25782441
2012-03-16,0.259232356
2012-03-17,0.259232356
2012-03-18,0.259232356
2012-03-19,0.264236391
2012-03-20,0.26044301
2012-03-21,0.258084477
2012-03-22,0.249018025
2012-03-23,0.252901085
2012-03-24,0.252901085
2012-03-25,0.252901085
2012-03-26,0.270298628
2012-03-27,0.266720474
