datetime,US_Tech
2010-06-17,-0.037775764813265944
2010-06-18,-0.04059510595536664
2010-06-19,-0.04059510595536664
2010-06-20,-0.04059510595536664
2010-06-21,-0.05090205215104837
2010-06-22,-0.07209223830159939
2010-06-23,-0.07777990073994467
2010-06-24,-0.10044551537748758
2010-06-25,-0.10450698535628433
2010-06-26,-0.10450698535628433
2010-06-27,-0.10450698535628433
2010-06-28,-0.10467936184482807
2010-06-29,-0.15570257159924217
2010-06-30,-0.16473517906899104
2010-07-01,-0.16730721354477196
2010-07-02,-0.17035606698851102
2010-07-03,-0.17035606698851102
2010-07-04,-0.17035606698851102
2010-07-05,-0.17035606698851102
2010-07-06,-0.17269428563919165
2010-07-07,-0.12795420899022036
2010-07-08,-0.12400213409292016
2010-07-09,-0.10653863133990837
2010-07-10,-0.10653863133990837
