,SPX Index,NDX Index,INDU Index,ACDER Index,DAX Index,NKY Index,HSI Index,SHSZ300 Index,SENSEX Index,UKX Index,LBUSTRUU Index,IBOXHY Index,IDCOTCPR Index,IDCOTSPR Index,LBUTTRUU Index,GOLDLNAM Index,CL1 Comdty
2014/10/27,1961.63,4046.015,16817.94,1188.12,8902.61,15388.72,23143.23,2368.83,26752.9,6363.46,1905.43,235.6913,100.9555,100.7037,282.09,1230.5,81
2014/10/28,1985.05,4106.625,17005.75,1202.56,9068.19,15329.91,23520.36,2416.65,26880.82,6402.17,1903.45,235.6573,100.8357,100.7043,281.9703,1228.25,81.42
2014/10/29,1982.3,4090.553,16974.31,1206.4,9082.81,15553.91,23819.87,2451.38,27098.17,6453.87,1900.15,235.7148,100.6703,100.6977,281.3008,1228,82.2
2014/10/30,1994.65,4100.637,17195.42,1199.94,9114.84,15658.2,23702.04,2468.93,27346.33,6463.55,1901.67,235.5502,100.7061,100.6963,281.7444,1205.75,81.12
2014/10/31,2018.05,4158.21,17390.52,1212.66,9326.87,16413.76,23998.06,2508.32,27865.83,6546.47,1899.6,235.9781,100.555,100.6842,281.4047,1173.25,80.54
2014/11/3,2017.81,4169.285,17366.24,1199.67,9251.7,16413.76,23915.97,2512.55,27860.38,6487.97,1898.28,235.8954,100.4927,100.6851,281.1346,1170.75,78.78
2014/11/4,2012.1,4156.228,17383.84,1195.68,9166.47,16862.47,23845.66,2513.17,27860.38,6453.97,1898.52,235.2679,100.5323,100.6958,281.1204,1169.25,77.19
2014/11/5,2023.57,4153.269,17484.53,1206.87,9315.48,16937.32,23695.62,2503.45,27915.88,6539.14,1898.05,235.3729,100.5041,100.6855,281.3345,1145.25,78.68
2014/11/6,2031.21,4164.081,17554.47,1205.11,9377.41,16792.48,23649.31,2506.07,27915.88,6551.15,1896.04,235.389,100.3663,100.6824,281.152,1144.5,77.91
2014/11/7,2031.92,4160.505,17573.93,1196.86,9291.83,16880.38,23550.24,2502.15,27868.63,6567.24,1901.06,235.4004,100.6472,100.6743,282.4825,1145,78.65
2014/11/10,2038.26,4175.946,17613.74,1208.46,9351.87,16780.53,23744.7,2565.73,27874.73,6611.25,1897.28,235.5854,100.4216,100.6716,281.6205,1172,77.4
2014/11/11,2039.68,4187.164,17614.9,1210.97,9369.03,17124.11,23808.28,2558.61,27910.06,6627.4,1897.28,235.6271,100.4216,100.6716,281.6205,1151.25,77.94
2014/11/12,2038.25,4195.401,17612.2,1202.59,9210.96,17197.05,23938.18,2594.32,28008.9,6611.04,1897.99,235.569,100.4479,100.6683,281.4465,1163.25,77.18
2014/11/13,2039.33,4213.485,17652.79,1204.98,9248.51,17392.79,24019.94,2579.75,27940.64,6635.45,1898.88,235.3525,100.5293,100.6737,281.0609,1161,74.21
2014/11/14,2039.82,4224.986,17634.74,1204.57,9252.94,17490.83,24087.38,2581.09,28046.66,6654.37,1900.82,234.8974,100.6352,100.6657,281.627,1154,75.82
2014/11/17,2041.32,4213.789,17647.75,1207.96,9306.35,16973.8,23797.08,2567.1,28177.88,6671.97,1899.77,234.5267,100.5411,100.6616,280.7841,1187,75.64
2014/11/18,2051.8,4242.186,17687.82,1222.46,9456.53,17344.06,23529.17,2541.42,28163.29,6709.13,1900.28,233.9341,100.6219,100.6635,280.893,1202,74.61
2014/11/19,2048.72,4222.662,17685.73,1223.03,9472.8,17288.75,23373.31,2537.22,28032.85,6696.6,1897.79,233.3307,100.4946,100.6597,279.9547,1200.75,74.58
2014/11/20,2052.75,4242.09,17719,1220.75,9483.97,17300.86,23349.64,2537.1,28067.56,6678.9,1899.75,233.0574,100.5655,100.654,280.5444,1194,75.58
2014/11/21,2063.5,4251.324,17810.06,1232.71,9732.55,17357.51,23437.12,2583.45,28334.63,6750.76,1902.57,234.0822,100.6722,100.6492,281.3173,1193.25,76.51
2014/11/24,2069.41,4284.318,17817.9,1236.96,9785.54,17357.51,23893.14,2649.26,28499.54,6729.79,1904.11,234.2141,100.6911,100.6474,281.5334,1196,75.78
2014/11/25,2067.03,4288.229,17814.94,1243.99,9861.21,17407.62,23843.91,2685.56,28338.05,6731.14,1908.27,234.4825,100.9207,100.6547,281.981,1202.25,74.09
2014/11/26,2072.83,4317.988,17827.75,1248.08,9915.56,17383.58,24111.98,2723.02,28386.19,6729.17,1910,234.5167,101.0316,100.6404,282.1852,1195.75,73.69
2014/11/27,2072.83,4317.988,17827.75,1247.01,9974.87,17248.5,24004.28,2754.49,28438.91,6723.42,1910,234.5589,101.0316,100.6404,282.1852,1196.5,73.69
2014/11/28,2067.56,4337.785,17828.24,1244.18,9980.85,17459.85,23987.45,2808.82,28693.99,6722.62,1913.08,233.5576,101.2094,100.6461,282.1422,1184.5,66.15
2014/12/1,2053.44,4287.813,17776.8,1239.47,9963.51,17590.1,23367.45,2819.81,28559.62,6656.37,1910.93,232.3065,101.0765,100.6413,281.6982,1178.75,69
2014/12/2,2066.55,4305.962,17879.55,1238.76,9934.08,17663.22,23654.3,2923.94,28444.01,6742.1,1905.15,231.7287,100.7635,100.6344,280.0624,1197,66.88
2014/12/3,2074.33,4312.933,17912.62,1237.73,9971.79,17720.43,23428.62,2967.55,28442.71,6716.63,1905.1,231.7385,100.7393,100.634,280.1613,1203.25,67.38
2014/12/4,2071.92,4311.931,17900.1,1233.8,9851.35,17887.21,23832.56,3104.35,28562.82,6679.37,1907.69,231.887,100.8947,100.6312,280.5342,1204,66.81
2014/12/5,2075.37,4311.573,17958.79,1240.95,10087.12,17920.45,24002.64,3124.89,28458.1,6742.84,1902.92,231.7375,100.6052,100.6217,279.1548,1204.5,65.84
2014/12/8,2060.31,4278.337,17852.48,1232.22,10014.99,17935.64,24047.67,3252.88,28119.4,6672.15,1907.04,231.3418,100.799,100.6159,279.4474,1195.25,63.05
2014/12/9,2059.82,4294.667,17801.2,1217.06,9793.71,17813.38,23485.83,3106.91,27797.01,6529.47,1908.97,229.6963,100.9698,100.6041,280.4772,1206.5,63.82
2014/12/10,2026.14,4224.872,17533.15,1212.18,9799.73,17412.58,23524.52,3221.55,27831.1,6500.04,1912.46,228.757,101.2259,100.6093,280.8198,1228.25,60.94
2014/12/11,2035.33,4246.477,17596.34,1208.63,9862.53,17257.4,23312.54,3183.01,27602.01,6461.7,1911.12,228.0959,101.1497,100.6044,280.5526,1219.5,59.95
2014/12/12,2002.33,4199.285,17280.83,1185.31,9594.73,17371.58,23249.2,3193.23,27350.68,6300.63,1916.65,226.7118,101.5304,100.6064,280.7574,1223.5,57.81
2014/12/15,1989.63,4157.415,17180.84,1156.4,9334.01,17099.4,23027.85,3217.23,27319.56,6182.72,1913.76,225.5645,101.4223,100.5999,280.1265,1210.75,55.91
2014/12/16,1972.74,4089.601,17068.87,1184.05,9563.89,16755.32,22670.5,3303.4,26781.44,6331.83,1915.9,223.9093,101.6422,100.5893,281.2984,1199.25,55.93
2014/12/17,2012.89,4165.099,17356.87,1175.45,9544.43,16819.73,22585.84,3360.6,26710.13,6336.48,1911.28,225.2554,101.2736,100.5821,280.2285,1199,56.47
2014/12/18,2061.23,4267.774,17778.15,1198.37,9811.06,17210.05,22832.21,3345.93,27126.57,6466,1908.92,229.324,101.0149,100.5841,278.2769,1210.75,54.11
2014/12/19,2070.65,4281.783,17804.8,1201.77,9786.96,17621.4,23116.63,3383.17,27371.84,6545.27,1911.42,229.9285,101.1106,100.5724,279.4429,1197.5,56.52
2014/12/22,2078.54,4293.673,17959.44,1207.43,9865.76,17635.14,23408.57,3394.48,27701.79,6576.74,1913.1,230.5925,101.1415,100.567,279.9932,1195.25,55.26
2014/12/23,2082.17,4279.302,18024.17,1206.85,9922.11,17635.14,23333.69,3324.92,27506.46,6598.18,1905.8,230.8539,100.6994,100.573,278.2256,1179.5,57.12
2014/12/24,2081.88,4283.098,18030.21,1207.85,9922.11,17854.23,23349.34,3230.39,27208.61,6609.93,1906.38,230.9901,100.713,100.5672,277.8081,1177,55.84
2014/12/25,2081.88,4283.098,18030.21,1207.85,9922.11,17808.75,23349.34,3335.42,27208.61,6609.93,1906.38,230.9901,100.713,100.5672,277.8081,1177,55.84
2014/12/26,2088.77,4314.095,18053.71,1206.71,9922.11,17818.96,23349.34,3445.84,27241.78,6609.93,1907.87,231.1012,100.7634,100.5611,277.939,1177,54.73
2014/12/29,2090.57,4312.644,18038.23,1208.11,9927.13,17729.84,23773.18,3455.45,27395.73,6633.51,1911.7,231.2761,100.9989,100.5665,278.1237,1194,53.61
2014/12/30,2080.35,4282.348,17983.07,1195.69,9805.55,17450.77,23501.1,3457.55,27403.54,6547,1913.34,231.3374,101.095,100.5695,278.1966,1186.5,54.12
2014/12/31,2058.9,4236.279,17823.07,1194.85,9805.55,17450.77,23605.04,3533.7,27499.42,6566.09,1914.87,231.1543,101.1958,100.5675,278.9525,1199.25,53.27
2015/1/1,2058.9,4236.279,17823.07,1194.85,9805.55,17450.77,23605.04,3533.7,27507.54,6566.09,1914.87,231.1543,101.1958,100.5675,278.9525,1199.25,53.27
2015/1/2,2058.2,4230.237,17832.99,1184,9764.73,17450.77,23857.82,3533.7,27887.9,6547.8,1919.31,231.1508,101.4252,100.5661,280.7869,1184.25,52.69
2015/1/5,2020.58,4160.964,17501.65,1150.12,9473.16,17408.71,23721.32,3641.54,27842.32,6417.16,1925.4,230.8116,101.7751,100.5648,281.088,1192,50.04
2015/1/6,2002.61,4110.83,17371.64,1140.4,9469.66,16883.19,23485.41,3641.06,26987.46,6366.51,1931.52,229.7921,102.1978,100.5662,281.1321,1211,47.93
2015/1/7,2025.9,4160,17584.52,1134.42,9518.18,16885.33,23681.26,3643.79,26908.82,6419.83,1931.91,230.2279,102.2464,100.5618,281.388,1213.75,48.65
2015/1/8,2062.14,4240.549,17907.87,1163.52,9837.61,17167.1,23835.53,3559.26,27274.71,6569.96,1927.8,231.3593,102.0087,100.5672,280.8786,1206.5,48.79
2015/1/9,2044.81,4213.276,17737.37,1153.21,9648.5,17197.73,23919.95,3546.72,27458.38,6501.14,1931.54,231.8024,102.2322,100.5691,281.5803,1211.25,48.36
2015/1/12,2028.26,4169.97,17640.84,1157.62,9781.9,17197.73,24026.46,3513.58,27585.27,6501.42,1936.14,231.6855,102.5295,100.5683,281.5939,1222,46.07
2015/1/13,2023.03,4166.203,17613.68,1170.24,9941,17087.71,24215.97,3514.04,27425.73,6542.2,1937.67,231.7157,102.6415,100.5666,281.2315,1239,45.89
2015/1/14,2011.27,4145.841,17427.09,1153.76,9817.08,16795.96,24112.6,3502.42,27346.82,6388.46,1941.08,231.1907,102.8871,100.5643,283.0753,1228.75,48.48
2015/1/15,1992.67,4089.648,17320.71,1163.38,10032.61,17108.7,24350.91,3604.12,28075.55,6498.78,1945.93,231.2726,103.1888,100.5648,284.4564,1235.25,46.25
2015/1/16,2019.42,4142.14,17511.57,1167.2,10167.77,16864.16,24103.52,3635.15,28121.89,6550.27,1940.79,230.9241,102.9671,100.5554,283.8145,1258.25,48.69
2015/1/19,2019.42,4142.14,17511.57,1183.47,10242.35,17014.29,23738.49,3355.16,28262.01,6585.53,1940.79,231.0471,102.9671,100.5554,283.8145,1275.5,48.69
2015/1/20,2022.55,4171.214,17515.23,1186.65,10257.13,17366.3,23951.16,3396.22,28784.67,6620.1,1942.19,231.1433,103.0231,100.548,283.9031,1292.25,46.39
2015/1/21,2032.12,4192.093,17554.28,1195.18,10299.23,17280.48,24352.58,3548.89,28888.86,6728.04,1938.8,231.1974,102.7845,100.5507,282.9697,1298,47.78
2015/1/22,2063.15,4270.363,17813.98,1197.35,10435.62,17329.02,24522.63,3567.61,29006.02,6796.63,1937.13,231.7213,102.5884,100.5535,282.8728,1287,46.31
2015/1/23,2051.82,4278.143,17672.6,1200.18,10649.58,17511.75,24850.45,3571.73,29278.84,6832.83,1943.59,232.0461,102.9417,100.55,284.5308,1293.5,45.59
2015/1/26,2057.09,4275.715,17678.7,1207.6,10798.33,17468.52,24909.9,3607.99,29278.84,6852.4,1942.39,232.299,102.8607,100.5491,284.2947,1282.75,45.15
2015/1/27,2029.55,4165.502,17387.21,1210.79,10628.58,17768.3,24807.28,3574.93,29571.04,6811.61,1943.1,232.3671,102.8931,100.5447,285.0212,1279,46.23
2015/1/28,2002.16,4140.375,17191.37,1206.34,10710.97,17795.73,24861.81,3525.32,29559.18,6825.94,1951.07,232.9152,103.3904,100.5451,286.3062,1287,44.45
2015/1/29,2021.25,4181.352,17416.85,1204.19,10737.87,17606.22,24595.85,3481.8,29681.77,6810.6,1948.51,232.941,103.2748,100.549,286.0898,1275.5,44.53
2015/1/30,1994.99,4148.43,17164.95,1193.52,10694.32,17674.39,24507.05,3434.39,29182.95,6749.4,1955.02,233.0328,103.656,100.5372,287.7336,1263.5,48.24
2015/2/2,2020.85,4188.586,17361.04,1201.12,10828.01,17558.04,24484.74,3353.96,29122.27,6782.55,1955.55,233.04,103.6642,100.5364,287.832,1274.25,49.57
2015/2/3,2050.03,4229.149,17666.4,1222.71,10890.95,17335.85,24554.78,3437.45,29000.14,6871.8,1947.34,233.8032,103.0494,100.5327,286.5806,1281,53.05
2015/2/4,2041.51,4221.199,17673.02,1225.99,10911.32,17678.74,24679.76,3401.77,28883.11,6860.02,1946.46,234.2579,102.997,100.5362,286.4099,1269.25,48.45
2015/2/5,2062.52,4256.181,17884.88,1229.08,10905.41,17504.62,24765.49,3366.95,28850.97,6865.93,1945.44,234.8559,102.8608,100.5302,285.9252,1263.75,50.48
2015/2/6,2055.47,4228.682,17824.29,1222.37,10846.39,17648.5,24679.39,3312.42,28717.91,6853.44,1935.38,235.4884,102.1669,100.5173,283.8926,1264,51.69
2015/2/9,2046.74,4216.086,17729.21,1212.66,10663.51,17711.93,24521,3345.92,28227.39,6837.15,1935.22,235.5981,102.1143,100.5158,283.5195,1242.25,52.86
2015/2/10,2068.59,4281.155,17868.76,1219.13,10753.83,17652.68,24528.1,3406.94,28355.62,6829.12,1931.74,235.7436,101.8968,100.5167,282.1937,1237.5,50.02
2015/2/11,2068.53,4297.282,17862.14,1213.72,10752.11,17652.68,24315.02,3434.12,28533.97,6818.17,1932,235.5855,101.9122,100.5201,281.9799,1235.5,48.84
2015/2/12,2088.48,4347.972,17972.38,1230.85,10919.65,17979.72,24422.15,3442.87,28805.1,6828.11,1933.37,235.664,101.9446,100.5278,281.5,1225.25,51.21
2015/2/13,2096.99,4384.028,18019.35,1241.63,10963.4,17913.36,24682.54,3469.83,29094.93,6873.52,1930.84,235.9789,101.7279,100.5086,281.1656,1225.75,52.78
2015/2/16,2096.99,4384.028,18019.35,1240.43,10923.23,18004.77,24726.53,3499.48,29135.88,6857.05,1930.84,236.1031,101.7279,100.5086,281.1656,1233.5,52.78
2015/2/17,2100.34,4385.342,18047.58,1241.3,10895.62,17987.09,24784.88,3522.32,29135.88,6898.13,1921.31,236.3851,101.1756,100.5178,279.2879,1221.75,53.53
2015/2/18,2099.68,4390.912,18029.85,1248.59,10961,18199.17,24832.08,3522.32,29320.26,6898.08,1928.29,236.5491,101.5714,100.5102,280.6365,1206.5,52.14
2015/2/19,2097.45,4411.863,17985.77,1255.1,11001.94,18264.79,24832.08,3522.32,29462.27,6888.9,1925.44,236.645,101.331,100.5076,280.2231,1217.75,51.16
2015/2/20,2110.3,4443.053,18140.44,1255.63,11050.64,18332.3,24832.08,3522.32,29231.41,6915.2,1924.09,236.7978,101.2167,100.4939,280.0189,1203.5,50.34
2015/2/23,2109.66,4449.491,18116.84,1262.94,11130.92,18466.92,24836.76,3522.32,28975.11,6912.16,1930.34,236.8156,101.6176,100.507,280.9655,1193.5,49.45
2015/2/24,2115.48,4451.029,18209.19,1268.17,11205.74,18603.48,24750.07,3522.32,29004.66,6949.63,1937.1,237.2187,101.9729,100.4963,282.2485,1195.5,49.28
2015/2/25,2113.86,4440.591,18224.57,1269.23,11210.27,18585.2,24778.28,3478.73,29007.99,6935.38,1938.47,237.6535,102.0246,100.4874,282.917,1206.5,50.99
2015/2/26,2110.74,4462.272,18214.42,1265.68,11327.19,18785.79,24902.06,3566.3,28746.65,6949.73,1934.58,238.1766,101.7853,100.4998,283.0362,1220,48.17
2015/2/27,2104.5,4440.672,18132.7,1271.13,11401.66,18797.94,24823.29,3572.84,29220.12,6946.66,1936.64,238.2044,101.869,100.4883,284.2669,1205,49.76
2015/3/2,2117.39,4483.049,18288.63,1265.54,11410.36,18826.88,24887.44,3601.26,29459.14,6940.64,1929.91,238.3993,101.439,100.4947,282.2305,1216.75,49.59
2015/3/3,2107.78,4458.778,18203.37,1253.7,11280.36,18815.16,24702.78,3507.9,29593.73,6889.13,1926.97,238.1095,101.2623,100.4946,282.2677,1207.75,50.52
2015/3/4,2098.53,4445.36,18096.9,1249.43,11390.38,18703.6,24465.38,3530.82,29380.73,6919.24,1927.5,237.4789,101.2885,100.483,282.5122,1204.25,51.53
