,Dymon-AQUMON,Dymon-AQUMON (VaR-adjusted),PLMAX US Equity,MERKX US Equity,ICPHX US Equity
2018/4/18,1.29172003,2.057147136,1.081818182,0.895348837,0.859171598
2018/4/19,1.290444963,2.051453029,1.077922078,0.893559928,0.855621302
2018/4/20,1.292542584,2.061467591,1.071428571,0.889087657,0.856804734
2018/4/23,1.294090452,2.069503252,1.061038961,0.882826476,0.855621302
2018/4/24,1.293900061,2.068496093,1.064935065,0.884615385,0.855621302
2018/4/25,1.296983073,2.08451197,1.05974026,0.880143113,0.857988166
2018/4/26,1.296803595,2.08352537,1.05974026,0.875670841,0.859171598
2018/4/27,1.295720815,2.07755614,1.063636364,0.878354204,0.86035503
2018/4/30,1.295122151,2.074262351,1.062337662,0.873881932,0.861538462
2018/5/1,1.298713301,2.096269632,1.055844156,0.868515206,0.861538462
2018/5/2,1.303382463,2.124614108,1.048051948,0.865831843,0.857988166
2018/5/3,1.302017029,2.116244841,1.050649351,0.86940966,0.855621302
2018/5/4,1.302177882,2.117231249,1.050649351,0.86940966,0.85443787
2018/5/7,1.305082638,2.13493701,1.045454545,0.867620751,0.850887574
2018/5/8,1.304368723,2.130758241,1.037662338,0.864042934,0.849704142
2018/5/9,1.307347792,2.150176522,1.037662338,0.865831843,0.849704142
2018/5/10,1.306539587,2.144884646,1.048051948,0.871198569,0.852071006
2018/5/11,1.304964581,2.134604545,1.045454545,0.872093023,0.84852071
2018/5/14,1.303982738,2.129385222,1.038961039,0.870304114,0.84260355
2018/5/15,1.307676271,2.14898792,1.031168831,0.863148479,0.843786982
2018/5/16,1.309127955,2.158443293,1.035064935,0.863148479,0.844970414
2018/5/17,1.308201026,2.153198667,1.02987013,0.861359571,0.843786982
2018/5/18,1.309236458,2.160232398,1.027272727,0.859570662,0.840236686
2018/5/21,1.310241959,2.16703311,1.028571429,0.862254025,0.84260355
2018/5/22,1.308212486,2.150395481,1.031168831,0.862254025,0.846153846
2018/5/23,1.310804751,2.173254413,1.02987013,0.859570662,0.847337278
2018/5/24,1.311597598,2.178960329,1.028571429,0.860465116,0.844970414
2018/5/25,1.309344629,2.159436898,1.028571429,0.855992844,0.84852071
2018/5/28,1.307846975,2.148124814,1.028571429,0.855992844,0.84852071
2018/5/29,1.311378105,2.174877491,1.022077922,0.849731664,0.844970414
2018/5/30,1.312979728,2.187736061,1.02987013,0.856887299,0.84260355
2018/5/31,1.310539976,2.169077731,1.02987013,0.856887299,0.840236686
2018/6/1,1.310298438,2.167443916,1.02987013,0.854203936,0.843786982
2018/6/4,1.308095863,2.154602082,1.032467532,0.857781753,0.84260355
